betweeness_centrality,[12 17 16 14]
0,"[0.06986027944111776, 0.086, 0.084, 0.096, 0.122, 0.096, 0.106, 0.098, 0.118, 0.11, 0.108, 0.096, 0.09, 0.076, 0.078, 0.114, 0.102, 0.102, 0.078, 0.08617234468937876]"
1,"[0.10379241516966067, 0.102, 0.084, 0.104, 0.092, 0.096, 0.106, 0.098, 0.106, 0.11, 0.098, 0.082, 0.116, 0.112, 0.102, 0.11, 0.082, 0.102, 0.108, 0.11422845691382766]"
2,"[0.10379241516966067, 0.102, 0.098, 0.104, 0.11, 0.096, 0.106, 0.098, 0.118, 0.11, 0.098, 0.082, 0.096, 0.112, 0.116, 0.11, 0.108, 0.078, 0.08, 0.11422845691382766]"
3,"[0.10379241516966067, 0.09, 0.104, 0.096, 0.11, 0.086, 0.118, 0.086, 0.082, 0.11, 0.098, 0.1, 0.116, 0.102, 0.116, 0.11, 0.082, 0.078, 0.102, 0.12224448897795591]"
4,"[0.10778443113772455, 0.116, 0.13, 0.094, 0.11, 0.096, 0.108, 0.112, 0.082, 0.084, 0.082, 0.132, 0.106, 0.112, 0.116, 0.09, 0.082, 0.114, 0.108, 0.09218436873747494]"
5,"[0.10778443113772455, 0.09, 0.1, 0.096, 0.096, 0.102, 0.106, 0.086, 0.11, 0.102, 0.086, 0.098, 0.11, 0.102, 0.106, 0.11, 0.116, 0.1, 0.102, 0.1062124248496994]"
6,"[0.10778443113772455, 0.092, 0.098, 0.106, 0.092, 0.096, 0.09, 0.106, 0.082, 0.094, 0.082, 0.132, 0.098, 0.112, 0.102, 0.09, 0.106, 0.102, 0.124, 0.08016032064128256]"
7,"[0.1157684630738523, 0.092, 0.084, 0.14, 0.16, 0.118, 0.138, 0.112, 0.122, 0.1, 0.114, 0.132, 0.13, 0.102, 0.128, 0.108, 0.088, 0.104, 0.1, 0.10821643286573146]"
8,"[0.0998003992015968, 0.116, 0.098, 0.11, 0.086, 0.098, 0.092, 0.126, 0.08, 0.094, 0.108, 0.128, 0.09, 0.152, 0.106, 0.1, 0.088, 0.138, 0.13, 0.11222444889779559]"
9,"[0.11177644710578842, 0.112, 0.104, 0.144, 0.116, 0.1, 0.13, 0.122, 0.118, 0.114, 0.12, 0.126, 0.108, 0.146, 0.094, 0.152, 0.07, 0.128, 0.13, 0.11823647294589178]"
10,"[0.09780439121756487, 0.096, 0.08, 0.138, 0.142, 0.124, 0.12, 0.118, 0.116, 0.138, 0.088, 0.126, 0.13, 0.142, 0.138, 0.112, 0.096, 0.106, 0.112, 0.11623246492985972]"
11,"[0.11377245508982035, 0.104, 0.102, 0.132, 0.164, 0.118, 0.176, 0.142, 0.12, 0.134, 0.1, 0.124, 0.116, 0.124, 0.124, 0.102, 0.09, 0.142, 0.12, 0.13827655310621242]"
12,"[0.11776447105788423, 0.114, 0.126, 0.15, 0.148, 0.15, 0.096, 0.142, 0.086, 0.116, 0.086, 0.084, 0.108, 0.112, 0.112, 0.158, 0.128, 0.108, 0.18, 0.1342685370741483]"
13,"[0.10379241516966067, 0.12, 0.13, 0.184, 0.17, 0.11, 0.144, 0.16, 0.126, 0.132, 0.108, 0.126, 0.098, 0.148, 0.116, 0.13, 0.11, 0.12, 0.146, 0.12625250501002003]"
