in_deg_centrality,[ 6 13 15 10]
0,"[0.09580838323353294, 0.116, 0.1, 0.096, 0.122, 0.104, 0.118, 0.124, 0.104, 0.094, 0.108, 0.096, 0.096, 0.106, 0.102, 0.114, 0.106, 0.078, 0.112, 0.11422845691382766]"
1,"[0.08982035928143713, 0.102, 0.128, 0.104, 0.092, 0.086, 0.106, 0.098, 0.104, 0.094, 0.098, 0.082, 0.116, 0.1, 0.098, 0.11, 0.106, 0.1, 0.094, 0.11422845691382766]"
2,"[0.10379241516966067, 0.092, 0.098, 0.094, 0.092, 0.074, 0.078, 0.098, 0.082, 0.112, 0.098, 0.096, 0.096, 0.112, 0.116, 0.098, 0.092, 0.122, 0.094, 0.12224448897795591]"
3,"[0.10379241516966067, 0.086, 0.1, 0.096, 0.092, 0.086, 0.118, 0.086, 0.096, 0.106, 0.108, 0.132, 0.074, 0.106, 0.106, 0.11, 0.106, 0.1, 0.134, 0.12224448897795591]"
4,"[0.09381237524950099, 0.092, 0.084, 0.102, 0.092, 0.104, 0.09, 0.092, 0.082, 0.112, 0.098, 0.096, 0.116, 0.088, 0.116, 0.098, 0.082, 0.094, 0.108, 0.12224448897795591]"
5,"[0.10778443113772455, 0.102, 0.128, 0.096, 0.086, 0.102, 0.1, 0.09, 0.104, 0.094, 0.122, 0.132, 0.074, 0.106, 0.106, 0.11, 0.116, 0.1, 0.134, 0.10020040080160321]"
6,"[0.09381237524950099, 0.09, 0.098, 0.102, 0.092, 0.09, 0.1, 0.092, 0.082, 0.102, 0.086, 0.132, 0.118, 0.088, 0.102, 0.098, 0.082, 0.094, 0.106, 0.12224448897795591]"
7,"[0.10778443113772455, 0.09, 0.084, 0.096, 0.096, 0.094, 0.1, 0.104, 0.082, 0.094, 0.082, 0.132, 0.104, 0.102, 0.106, 0.098, 0.092, 0.1, 0.078, 0.10020040080160321]"
8,"[0.10778443113772455, 0.092, 0.098, 0.102, 0.092, 0.118, 0.1, 0.116, 0.082, 0.112, 0.082, 0.13, 0.118, 0.088, 0.106, 0.106, 0.082, 0.1, 0.106, 0.10020040080160321]"
9,"[0.10179640718562874, 0.082, 0.082, 0.112, 0.116, 0.102, 0.098, 0.116, 0.096, 0.104, 0.082, 0.13, 0.124, 0.102, 0.104, 0.128, 0.092, 0.1, 0.118, 0.10821643286573146]"
10,"[0.10778443113772455, 0.092, 0.1, 0.104, 0.108, 0.076, 0.1, 0.104, 0.086, 0.098, 0.096, 0.102, 0.116, 0.108, 0.106, 0.106, 0.088, 0.096, 0.118, 0.08216432865731463]"
11,"[0.10179640718562874, 0.078, 0.072, 0.124, 0.132, 0.102, 0.144, 0.104, 0.112, 0.11, 0.086, 0.144, 0.12, 0.082, 0.106, 0.114, 0.098, 0.112, 0.072, 0.13026052104208416]"
12,"[0.11377245508982035, 0.1, 0.134, 0.118, 0.112, 0.132, 0.114, 0.098, 0.088, 0.112, 0.096, 0.098, 0.136, 0.132, 0.124, 0.094, 0.106, 0.106, 0.128, 0.09819639278557114]"
13,"[0.09181636726546906, 0.104, 0.074, 0.14, 0.112, 0.14, 0.108, 0.134, 0.098, 0.104, 0.104, 0.104, 0.112, 0.132, 0.122, 0.104, 0.138, 0.114, 0.114, 0.13827655310621242]"
14,"[0.1217564870259481, 0.094, 0.114, 0.088, 0.1, 0.112, 0.1, 0.128, 0.112, 0.142, 0.096, 0.142, 0.11, 0.156, 0.11, 0.138, 0.108, 0.1, 0.13, 0.0841683366733467]"
