eigenvector_centrality,[9]
0,"[0.112, 0.085, 0.105, 0.09, 0.083, 0.131, 0.154, 0.092, 0.1, 0.098]"
1,"[0.091, 0.145, 0.083, 0.097, 0.182, 0.196, 0.12, 0.092, 0.113, 0.103]"
2,"[0.08, 0.195, 0.199, 0.097, 0.083, 0.086, 0.095, 0.092, 0.113, 0.179]"
3,"[0.08, 0.201, 0.117, 0.158, 0.104, 0.163, 0.211, 0.167, 0.113, 0.188]"
4,"[0.08, 0.227, 0.203, 0.174, 0.22, 0.19, 0.243, 0.286, 0.224, 0.103]"
5,"[0.186, 0.247, 0.252, 0.247, 0.192, 0.256, 0.223, 0.295, 0.271, 0.336]"
6,"[0.351, 0.328, 0.289, 0.318, 0.348, 0.312, 0.309, 0.317, 0.398, 0.379]"
7,"[0.414, 0.397, 0.406, 0.436, 0.364, 0.422, 0.388, 0.431, 0.403, 0.471]"
8,"[0.482, 0.445, 0.489, 0.499, 0.499, 0.528, 0.49, 0.456, 0.402, 0.453]"
9,"[0.482, 0.298, 0.447, 0.494, 0.55, 0.525, 0.499, 0.41, 0.313, 0.315]"
10,"[0.336, 0.353, 0.451, 0.434, 0.457, 0.426, 0.429, 0.175, 0.368, 0.223]"
11,"[0.423, 0.156, 0.373, 0.295, 0.319, 0.243, 0.35, 0.351, 0.325, 0.37]"
12,"[0.324, 0.36, 0.428, 0.339, 0.363, 0.291, 0.371, 0.154, 0.432, 0.323]"
13,"[0.385, 0.289, 0.315, 0.313, 0.388, 0.238, 0.373, 0.346, 0.408, 0.389]"
14,"[0.355, 0.364, 0.47, 0.379, 0.448, 0.299, 0.294, 0.229, 0.391, 0.373]"
15,"[0.398, 0.338, 0.375, 0.445, 0.382, 0.268, 0.377, 0.38, 0.346, 0.385]"
16,"[0.374, 0.421, 0.446, 0.38, 0.385, 0.314, 0.152, 0.316, 0.347, 0.377]"
17,"[0.404, 0.384, 0.381, 0.395, 0.371, 0.296, 0.352, 0.379, 0.276, 0.366]"
18,"[0.384, 0.434, 0.392, 0.351, 0.321, 0.342, 0.145, 0.375, 0.375, 0.419]"
19,"[0.392, 0.425, 0.43, 0.363, 0.36, 0.374, 0.324, 0.374, 0.305, 0.357]"
20,"[0.385, 0.424, 0.378, 0.356, 0.325, 0.36, 0.171, 0.426, 0.361, 0.453]"
21,"[0.387, 0.433, 0.42, 0.381, 0.367, 0.401, 0.313, 0.408, 0.363, 0.411]"
22,"[0.403, 0.426, 0.408, 0.358, 0.351, 0.395, 0.275, 0.459, 0.337, 0.493]"
23,"[0.394, 0.437, 0.444, 0.401, 0.385, 0.418, 0.318, 0.465, 0.421, 0.416]"
24,"[0.408, 0.429, 0.433, 0.373, 0.353, 0.425, 0.328, 0.46, 0.363, 0.471]"
25,"[0.402, 0.423, 0.453, 0.411, 0.395, 0.432, 0.318, 0.499, 0.424, 0.582]"
26,"[0.417, 0.445, 0.486, 0.388, 0.421, 0.419, 0.374, 0.479, 0.404, 0.566]"
27,"[0.432, 0.491, 0.461, 0.438, 0.395, 0.471, 0.344, 0.498, 0.424, 0.555]"
28,"[0.416, 0.436, 0.504, 0.39, 0.396, 0.424, 0.381, 0.497, 0.428, 0.425]"
29,"[0.418, 0.585, 0.482, 0.418, 0.397, 0.427, 0.342, 0.471, 0.419, 0.511]"
30,"[0.431, 0.338, 0.481, 0.406, 0.374, 0.423, 0.352, 0.502, 0.407, 0.398]"
31,"[0.41, 0.587, 0.479, 0.385, 0.444, 0.405, 0.353, 0.445, 0.371, 0.466]"
32,"[0.471, 0.392, 0.438, 0.454, 0.357, 0.406, 0.289, 0.596, 0.422, 0.291]"
33,"[0.385, 0.591, 0.457, 0.395, 0.343, 0.409, 0.355, 0.273, 0.326, 0.405]"
34,"[0.497, 0.335, 0.388, 0.324, 0.394, 0.281, 0.291, 0.555, 0.417, 0.246]"
35,"[0.411, 0.434, 0.55, 0.57, 0.254, 0.448, 0.395, 0.208, 0.288, 0.382]"
36,"[0.376, 0.47, 0.217, 0.309, 0.499, 0.211, 0.291, 0.529, 0.418, 0.223]"
37,"[0.529, 0.319, 0.526, 0.585, 0.29, 0.406, 0.214, 0.267, 0.337, 0.413]"
38,"[0.179, 0.481, 0.3, 0.285, 0.44, 0.314, 0.391, 0.397, 0.246, 0.214]"
39,"[0.479, 0.304, 0.369, 0.386, 0.303, 0.4, 0.18, 0.349, 0.314, 0.422]"
40,"[0.317, 0.423, 0.305, 0.306, 0.288, 0.332, 0.373, 0.209, 0.208, 0.219]"
41,"[0.324, 0.299, 0.204, 0.21, 0.323, 0.307, 0.268, 0.429, 0.414, 0.422]"
42,"[0.354, 0.244, 0.314, 0.347, 0.235, 0.346, 0.25, 0.192, 0.253, 0.223]"
43,"[0.207, 0.297, 0.183, 0.182, 0.361, 0.279, 0.277, 0.456, 0.268, 0.434]"
