eigenvector_centrality,[9]
0,"[0.103, 0.104, 0.104, 0.101, 0.094, 0.092, 0.103, 0.134, 0.11, 0.1]"
1,"[0.103, 0.107, 0.095, 0.101, 0.094, 0.092, 0.102, 0.115, 0.093, 0.102]"
2,"[0.103, 0.093, 0.104, 0.101, 0.094, 0.092, 0.102, 0.089, 0.07, 0.124]"
3,"[0.103, 0.11, 0.155, 0.101, 0.094, 0.092, 0.102, 0.102, 0.093, 0.102]"
4,"[0.103, 0.107, 0.104, 0.101, 0.094, 0.092, 0.102, 0.102, 0.093, 0.101]"
5,"[0.103, 0.117, 0.112, 0.116, 0.093, 0.099, 0.102, 0.102, 0.093, 0.102]"
6,"[0.103, 0.201, 0.173, 0.116, 0.125, 0.095, 0.132, 0.167, 0.161, 0.115]"
7,"[0.328, 0.297, 0.234, 0.222, 0.113, 0.213, 0.181, 0.165, 0.093, 0.217]"
8,"[0.215, 0.302, 0.332, 0.286, 0.277, 0.351, 0.326, 0.339, 0.407, 0.217]"
9,"[0.533, 0.508, 0.33, 0.492, 0.298, 0.402, 0.386, 0.392, 0.237, 0.454]"
10,"[0.363, 0.443, 0.425, 0.353, 0.423, 0.493, 0.484, 0.452, 0.421, 0.31]"
11,"[0.449, 0.347, 0.332, 0.467, 0.242, 0.549, 0.444, 0.382, 0.216, 0.342]"
12,"[0.369, 0.385, 0.408, 0.337, 0.378, 0.48, 0.483, 0.454, 0.387, 0.299]"
13,"[0.454, 0.372, 0.378, 0.469, 0.317, 0.372, 0.398, 0.388, 0.348, 0.382]"
14,"[0.529, 0.362, 0.369, 0.459, 0.394, 0.423, 0.422, 0.418, 0.373, 0.332]"
15,"[0.477, 0.378, 0.403, 0.456, 0.435, 0.292, 0.429, 0.467, 0.444, 0.365]"
16,"[0.484, 0.402, 0.336, 0.46, 0.389, 0.464, 0.45, 0.419, 0.356, 0.414]"
17,"[0.467, 0.395, 0.366, 0.442, 0.405, 0.324, 0.465, 0.439, 0.389, 0.363]"
18,"[0.452, 0.427, 0.368, 0.443, 0.386, 0.494, 0.463, 0.397, 0.349, 0.387]"
19,"[0.436, 0.377, 0.401, 0.458, 0.347, 0.362, 0.451, 0.411, 0.345, 0.384]"
20,"[0.436, 0.431, 0.321, 0.428, 0.336, 0.515, 0.429, 0.358, 0.318, 0.359]"
21,"[0.438, 0.383, 0.404, 0.465, 0.335, 0.417, 0.409, 0.41, 0.338, 0.353]"
22,"[0.42, 0.425, 0.334, 0.446, 0.304, 0.512, 0.429, 0.38, 0.317, 0.338]"
23,"[0.442, 0.404, 0.39, 0.426, 0.315, 0.469, 0.379, 0.37, 0.348, 0.328]"
24,"[0.44, 0.414, 0.355, 0.497, 0.313, 0.507, 0.414, 0.38, 0.364, 0.302]"
25,"[0.445, 0.427, 0.401, 0.399, 0.322, 0.48, 0.374, 0.375, 0.429, 0.457]"
26,"[0.409, 0.409, 0.372, 0.48, 0.397, 0.468, 0.338, 0.401, 0.381, 0.485]"
27,"[0.467, 0.483, 0.369, 0.418, 0.373, 0.44, 0.414, 0.391, 0.43, 0.502]"
28,"[0.433, 0.458, 0.393, 0.527, 0.405, 0.51, 0.413, 0.393, 0.391, 0.528]"
29,"[0.444, 0.413, 0.429, 0.427, 0.444, 0.436, 0.345, 0.433, 0.46, 0.461]"
30,"[0.368, 0.53, 0.31, 0.456, 0.335, 0.412, 0.427, 0.313, 0.4, 0.395]"
31,"[0.364, 0.302, 0.485, 0.354, 0.388, 0.374, 0.28, 0.457, 0.352, 0.28]"
32,"[0.3, 0.477, 0.235, 0.352, 0.259, 0.324, 0.454, 0.251, 0.32, 0.368]"
33,"[0.3, 0.265, 0.422, 0.307, 0.297, 0.37, 0.259, 0.393, 0.267, 0.356]"
34,"[0.309, 0.399, 0.224, 0.265, 0.255, 0.292, 0.392, 0.248, 0.311, 0.337]"
35,"[0.265, 0.256, 0.362, 0.288, 0.354, 0.339, 0.261, 0.366, 0.152, 0.382]"
36,"[0.327, 0.387, 0.224, 0.3, 0.249, 0.31, 0.396, 0.246, 0.28, 0.317]"
37,"[0.256, 0.245, 0.377, 0.25, 0.383, 0.317, 0.263, 0.343, 0.298, 0.389]"
38,"[0.275, 0.32, 0.223, 0.296, 0.244, 0.277, 0.335, 0.244, 0.247, 0.278]"
39,"[0.254, 0.229, 0.382, 0.252, 0.29, 0.283, 0.263, 0.285, 0.376, 0.383]"
40,"[0.259, 0.308, 0.223, 0.256, 0.237, 0.28, 0.281, 0.24, 0.251, 0.247]"
41,"[0.252, 0.222, 0.284, 0.25, 0.252, 0.283, 0.261, 0.249, 0.302, 0.343]"
