eigenvector_centrality,[1 3]
0,"[0.089, 0.116, 0.173, 0.09, 0.094, 0.087, 0.109, 0.104, 0.113, 0.12]"
1,"[0.129, 0.086, 0.189, 0.097, 0.129, 0.086, 0.109, 0.197, 0.113, 0.103]"
2,"[0.146, 0.109, 0.226, 0.09, 0.11, 0.128, 0.22, 0.104, 0.113, 0.12]"
3,"[0.183, 0.104, 0.116, 0.097, 0.092, 0.112, 0.179, 0.207, 0.198, 0.103]"
4,"[0.121, 0.109, 0.136, 0.09, 0.083, 0.123, 0.221, 0.104, 0.218, 0.103]"
5,"[0.194, 0.104, 0.186, 0.097, 0.091, 0.174, 0.228, 0.254, 0.233, 0.103]"
6,"[0.215, 0.088, 0.083, 0.108, 0.085, 0.112, 0.238, 0.104, 0.294, 0.232]"
7,"[0.25, 0.104, 0.19, 0.1, 0.21, 0.196, 0.295, 0.178, 0.236, 0.231]"
8,"[0.341, 0.179, 0.179, 0.232, 0.083, 0.185, 0.455, 0.104, 0.268, 0.105]"
9,"[0.151, 0.111, 0.116, 0.097, 0.249, 0.232, 0.326, 0.233, 0.36, 0.198]"
10,"[0.382, 0.166, 0.196, 0.183, 0.127, 0.214, 0.439, 0.219, 0.304, 0.163]"
11,"[0.231, 0.217, 0.15, 0.133, 0.293, 0.155, 0.215, 0.232, 0.397, 0.243]"
12,"[0.365, 0.153, 0.263, 0.198, 0.2, 0.292, 0.373, 0.274, 0.223, 0.246]"
13,"[0.371, 0.26, 0.194, 0.231, 0.406, 0.273, 0.234, 0.217, 0.417, 0.403]"
14,"[0.377, 0.174, 0.302, 0.247, 0.223, 0.307, 0.408, 0.282, 0.26, 0.225]"
15,"[0.4, 0.293, 0.235, 0.347, 0.455, 0.246, 0.304, 0.208, 0.398, 0.457]"
16,"[0.398, 0.197, 0.4, 0.269, 0.322, 0.36, 0.394, 0.262, 0.346, 0.359]"
17,"[0.347, 0.295, 0.255, 0.378, 0.473, 0.272, 0.39, 0.255, 0.393, 0.456]"
18,"[0.31, 0.262, 0.401, 0.276, 0.385, 0.368, 0.412, 0.294, 0.388, 0.42]"
19,"[0.314, 0.324, 0.291, 0.364, 0.473, 0.336, 0.47, 0.294, 0.363, 0.441]"
20,"[0.284, 0.358, 0.407, 0.311, 0.395, 0.389, 0.392, 0.32, 0.382, 0.374]"
21,"[0.328, 0.346, 0.363, 0.354, 0.424, 0.401, 0.413, 0.322, 0.343, 0.418]"
22,"[0.331, 0.36, 0.454, 0.377, 0.374, 0.421, 0.446, 0.333, 0.454, 0.351]"
23,"[0.332, 0.369, 0.396, 0.334, 0.346, 0.423, 0.42, 0.309, 0.394, 0.447]"
24,"[0.352, 0.366, 0.419, 0.364, 0.48, 0.395, 0.398, 0.362, 0.454, 0.441]"
25,"[0.359, 0.47, 0.454, 0.512, 0.387, 0.362, 0.48, 0.307, 0.419, 0.396]"
26,"[0.382, 0.574, 0.369, 0.565, 0.492, 0.385, 0.362, 0.381, 0.393, 0.432]"
27,"[0.413, 0.591, 0.467, 0.543, 0.338, 0.376, 0.408, 0.45, 0.39, 0.365]"
28,"[0.327, 0.536, 0.335, 0.529, 0.449, 0.314, 0.394, 0.304, 0.519, 0.415]"
29,"[0.448, 0.487, 0.422, 0.356, 0.262, 0.318, 0.38, 0.408, 0.399, 0.329]"
30,"[0.354, 0.469, 0.277, 0.475, 0.36, 0.369, 0.414, 0.227, 0.43, 0.358]"
31,"[0.3, 0.362, 0.38, 0.19, 0.328, 0.265, 0.188, 0.287, 0.389, 0.286]"
32,"[0.259, 0.493, 0.179, 0.401, 0.23, 0.373, 0.333, 0.218, 0.318, 0.213]"
33,"[0.189, 0.329, 0.308, 0.142, 0.243, 0.176, 0.092, 0.168, 0.267, 0.218]"
34,"[0.186, 0.445, 0.309, 0.443, 0.23, 0.254, 0.125, 0.147, 0.154, 0.201]"
35,"[0.207, 0.382, 0.267, 0.151, 0.26, 0.177, 0.093, 0.122, 0.149, 0.267]"
36,"[0.213, 0.385, 0.191, 0.447, 0.261, 0.175, 0.095, 0.156, 0.103, 0.228]"
37,"[0.239, 0.369, 0.351, 0.165, 0.292, 0.172, 0.093, 0.15, 0.144, 0.274]"
38,"[0.296, 0.437, 0.238, 0.412, 0.253, 0.176, 0.093, 0.235, 0.103, 0.213]"
39,"[0.238, 0.402, 0.373, 0.218, 0.259, 0.172, 0.093, 0.178, 0.154, 0.287]"
40,"[0.38, 0.465, 0.236, 0.446, 0.269, 0.174, 0.093, 0.245, 0.102, 0.221]"
41,"[0.24, 0.318, 0.377, 0.241, 0.216, 0.172, 0.094, 0.184, 0.118, 0.234]"
42,"[0.405, 0.444, 0.235, 0.279, 0.352, 0.189, 0.093, 0.204, 0.102, 0.273]"
43,"[0.24, 0.276, 0.398, 0.269, 0.309, 0.168, 0.101, 0.242, 0.111, 0.304]"
44,"[0.4, 0.452, 0.241, 0.31, 0.443, 0.197, 0.096, 0.13, 0.103, 0.367]"
45,"[0.262, 0.27, 0.441, 0.264, 0.348, 0.167, 0.104, 0.256, 0.108, 0.33]"
46,"[0.433, 0.433, 0.249, 0.325, 0.443, 0.192, 0.097, 0.126, 0.101, 0.353]"
47,"[0.3, 0.306, 0.503, 0.284, 0.324, 0.168, 0.11, 0.262, 0.106, 0.326]"
48,"[0.431, 0.332, 0.274, 0.289, 0.443, 0.177, 0.098, 0.132, 0.101, 0.356]"
49,"[0.289, 0.422, 0.468, 0.328, 0.326, 0.208, 0.113, 0.256, 0.11, 0.322]"
50,"[0.446, 0.242, 0.275, 0.275, 0.424, 0.164, 0.1, 0.134, 0.103, 0.387]"
51,"[0.275, 0.389, 0.469, 0.356, 0.261, 0.234, 0.104, 0.242, 0.111, 0.332]"
52,"[0.463, 0.298, 0.245, 0.308, 0.394, 0.116, 0.1, 0.129, 0.103, 0.318]"
