eigenvector_centrality,[0]
0,"[0.102, 0.114, 0.106, 0.121, 0.094, 0.102, 0.103, 0.175, 0.17, 0.103]"
1,"[0.088, 0.085, 0.106, 0.117, 0.094, 0.102, 0.092, 0.089, 0.1, 0.123]"
2,"[0.088, 0.085, 0.106, 0.117, 0.094, 0.102, 0.092, 0.113, 0.1, 0.103]"
3,"[0.088, 0.086, 0.106, 0.117, 0.094, 0.102, 0.092, 0.113, 0.1, 0.103]"
4,"[0.139, 0.091, 0.116, 0.162, 0.126, 0.131, 0.092, 0.164, 0.144, 0.105]"
5,"[0.09, 0.107, 0.301, 0.178, 0.185, 0.253, 0.147, 0.164, 0.148, 0.314]"
6,"[0.116, 0.369, 0.344, 0.326, 0.325, 0.278, 0.371, 0.234, 0.346, 0.3]"
7,"[0.293, 0.252, 0.391, 0.279, 0.348, 0.285, 0.35, 0.335, 0.1, 0.349]"
8,"[0.152, 0.406, 0.344, 0.274, 0.366, 0.478, 0.344, 0.364, 0.279, 0.151]"
9,"[0.284, 0.244, 0.254, 0.214, 0.334, 0.305, 0.211, 0.417, 0.106, 0.26]"
10,"[0.127, 0.387, 0.207, 0.254, 0.429, 0.478, 0.346, 0.449, 0.251, 0.121]"
11,"[0.298, 0.218, 0.182, 0.201, 0.319, 0.354, 0.189, 0.351, 0.105, 0.255]"
12,"[0.202, 0.418, 0.249, 0.265, 0.428, 0.397, 0.308, 0.314, 0.288, 0.209]"
13,"[0.302, 0.255, 0.179, 0.237, 0.331, 0.393, 0.188, 0.335, 0.196, 0.328]"
14,"[0.269, 0.285, 0.279, 0.28, 0.407, 0.376, 0.322, 0.279, 0.311, 0.277]"
15,"[0.322, 0.343, 0.216, 0.292, 0.344, 0.38, 0.214, 0.349, 0.337, 0.348]"
16,"[0.268, 0.338, 0.292, 0.255, 0.417, 0.4, 0.345, 0.34, 0.285, 0.282]"
17,"[0.347, 0.359, 0.293, 0.271, 0.327, 0.389, 0.312, 0.374, 0.389, 0.316]"
18,"[0.281, 0.35, 0.272, 0.309, 0.449, 0.417, 0.306, 0.391, 0.265, 0.293]"
19,"[0.376, 0.358, 0.315, 0.313, 0.35, 0.456, 0.355, 0.381, 0.439, 0.242]"
20,"[0.361, 0.354, 0.261, 0.349, 0.486, 0.455, 0.279, 0.412, 0.267, 0.28]"
21,"[0.304, 0.318, 0.342, 0.38, 0.379, 0.531, 0.394, 0.377, 0.447, 0.259]"
22,"[0.387, 0.355, 0.255, 0.388, 0.515, 0.465, 0.264, 0.435, 0.36, 0.29]"
23,"[0.304, 0.318, 0.354, 0.43, 0.448, 0.603, 0.385, 0.356, 0.495, 0.303]"
24,"[0.4, 0.367, 0.28, 0.413, 0.465, 0.476, 0.277, 0.453, 0.418, 0.353]"
25,"[0.314, 0.343, 0.361, 0.454, 0.462, 0.569, 0.384, 0.358, 0.481, 0.365]"
26,"[0.42, 0.396, 0.322, 0.445, 0.45, 0.494, 0.296, 0.432, 0.395, 0.488]"
27,"[0.328, 0.406, 0.46, 0.455, 0.509, 0.525, 0.42, 0.45, 0.484, 0.459]"
28,"[0.374, 0.459, 0.38, 0.492, 0.446, 0.378, 0.399, 0.435, 0.458, 0.494]"
29,"[0.415, 0.424, 0.446, 0.464, 0.496, 0.513, 0.425, 0.413, 0.356, 0.426]"
30,"[0.375, 0.467, 0.408, 0.508, 0.469, 0.366, 0.473, 0.481, 0.478, 0.553]"
31,"[0.458, 0.507, 0.413, 0.456, 0.516, 0.412, 0.411, 0.412, 0.354, 0.459]"
32,"[0.347, 0.41, 0.432, 0.5, 0.509, 0.358, 0.522, 0.457, 0.447, 0.49]"
33,"[0.432, 0.416, 0.377, 0.523, 0.533, 0.418, 0.533, 0.401, 0.343, 0.541]"
34,"[0.455, 0.334, 0.437, 0.433, 0.466, 0.352, 0.465, 0.442, 0.495, 0.424]"
35,"[0.388, 0.431, 0.374, 0.485, 0.554, 0.522, 0.508, 0.408, 0.278, 0.586]"
36,"[0.495, 0.382, 0.48, 0.402, 0.523, 0.353, 0.435, 0.535, 0.433, 0.459]"
37,"[0.376, 0.456, 0.422, 0.395, 0.452, 0.51, 0.456, 0.421, 0.34, 0.508]"
38,"[0.445, 0.41, 0.467, 0.401, 0.452, 0.425, 0.436, 0.504, 0.399, 0.461]"
39,"[0.428, 0.416, 0.427, 0.403, 0.436, 0.465, 0.522, 0.375, 0.335, 0.446]"
40,"[0.434, 0.406, 0.476, 0.428, 0.519, 0.433, 0.446, 0.545, 0.4, 0.483]"
41,"[0.424, 0.403, 0.351, 0.444, 0.439, 0.525, 0.467, 0.413, 0.376, 0.388]"
42,"[0.43, 0.402, 0.452, 0.428, 0.495, 0.354, 0.473, 0.542, 0.437, 0.493]"
43,"[0.448, 0.506, 0.333, 0.499, 0.474, 0.492, 0.532, 0.348, 0.353, 0.414]"
44,"[0.437, 0.475, 0.423, 0.403, 0.54, 0.343, 0.517, 0.504, 0.418, 0.476]"
45,"[0.502, 0.427, 0.349, 0.466, 0.48, 0.48, 0.549, 0.417, 0.348, 0.398]"
46,"[0.426, 0.485, 0.401, 0.43, 0.488, 0.347, 0.524, 0.505, 0.413, 0.501]"
47,"[0.506, 0.366, 0.357, 0.439, 0.46, 0.478, 0.495, 0.442, 0.329, 0.39]"
48,"[0.447, 0.443, 0.399, 0.407, 0.496, 0.389, 0.537, 0.491, 0.451, 0.544]"
49,"[0.488, 0.358, 0.333, 0.483, 0.44, 0.467, 0.389, 0.402, 0.326, 0.374]"
50,"[0.394, 0.398, 0.415, 0.44, 0.587, 0.299, 0.591, 0.497, 0.45, 0.559]"
51,"[0.53, 0.369, 0.258, 0.456, 0.419, 0.457, 0.295, 0.37, 0.227, 0.328]"
52,"[0.285, 0.333, 0.422, 0.51, 0.542, 0.322, 0.54, 0.463, 0.476, 0.538]"
53,"[0.431, 0.389, 0.248, 0.329, 0.402, 0.458, 0.291, 0.336, 0.261, 0.33]"
54,"[0.325, 0.289, 0.431, 0.395, 0.473, 0.299, 0.497, 0.437, 0.517, 0.48]"
55,"[0.389, 0.388, 0.353, 0.376, 0.46, 0.496, 0.303, 0.405, 0.282, 0.402]"
56,"[0.372, 0.259, 0.465, 0.376, 0.564, 0.297, 0.429, 0.553, 0.471, 0.551]"
57,"[0.378, 0.434, 0.329, 0.406, 0.531, 0.45, 0.359, 0.34, 0.31, 0.428]"
58,"[0.418, 0.35, 0.443, 0.346, 0.546, 0.343, 0.414, 0.454, 0.432, 0.493]"
59,"[0.348, 0.462, 0.366, 0.451, 0.532, 0.435, 0.417, 0.36, 0.375, 0.429]"
60,"[0.461, 0.285, 0.425, 0.415, 0.495, 0.392, 0.468, 0.465, 0.432, 0.496]"
61,"[0.389, 0.433, 0.391, 0.517, 0.487, 0.414, 0.482, 0.381, 0.413, 0.401]"
62,"[0.519, 0.262, 0.363, 0.323, 0.467, 0.411, 0.417, 0.395, 0.373, 0.478]"
63,"[0.279, 0.444, 0.423, 0.543, 0.479, 0.363, 0.568, 0.403, 0.441, 0.438]"
64,"[0.464, 0.28, 0.353, 0.275, 0.51, 0.477, 0.347, 0.393, 0.386, 0.535]"
65,"[0.274, 0.397, 0.437, 0.517, 0.54, 0.457, 0.541, 0.412, 0.513, 0.463]"
66,"[0.476, 0.323, 0.405, 0.271, 0.508, 0.507, 0.309, 0.417, 0.331, 0.488]"
67,"[0.309, 0.393, 0.487, 0.463, 0.46, 0.457, 0.519, 0.418, 0.526, 0.422]"
68,"[0.472, 0.354, 0.381, 0.301, 0.511, 0.444, 0.316, 0.473, 0.292, 0.507]"
69,"[0.318, 0.391, 0.462, 0.447, 0.467, 0.417, 0.525, 0.436, 0.461, 0.414]"
70,"[0.418, 0.359, 0.333, 0.314, 0.506, 0.433, 0.325, 0.434, 0.315, 0.49]"
71,"[0.339, 0.449, 0.466, 0.462, 0.542, 0.425, 0.486, 0.419, 0.453, 0.395]"
72,"[0.441, 0.369, 0.346, 0.338, 0.557, 0.504, 0.35, 0.402, 0.321, 0.448]"
73,"[0.363, 0.518, 0.515, 0.465, 0.518, 0.347, 0.461, 0.417, 0.414, 0.396]"
74,"[0.47, 0.385, 0.356, 0.362, 0.51, 0.509, 0.358, 0.422, 0.321, 0.41]"
75,"[0.382, 0.414, 0.435, 0.458, 0.534, 0.36, 0.476, 0.515, 0.414, 0.444]"
76,"[0.439, 0.416, 0.365, 0.379, 0.516, 0.43, 0.379, 0.439, 0.352, 0.48]"
77,"[0.398, 0.323, 0.417, 0.439, 0.528, 0.368, 0.476, 0.486, 0.4, 0.481]"
78,"[0.427, 0.369, 0.364, 0.376, 0.463, 0.374, 0.399, 0.4, 0.353, 0.502]"
79,"[0.404, 0.378, 0.362, 0.369, 0.512, 0.368, 0.469, 0.485, 0.401, 0.447]"
80,"[0.36, 0.364, 0.347, 0.373, 0.454, 0.357, 0.405, 0.399, 0.345, 0.468]"
81,"[0.381, 0.349, 0.413, 0.327, 0.506, 0.381, 0.395, 0.425, 0.403, 0.433]"
82,"[0.3, 0.407, 0.338, 0.412, 0.437, 0.432, 0.424, 0.432, 0.349, 0.485]"
83,"[0.388, 0.341, 0.335, 0.326, 0.483, 0.365, 0.431, 0.439, 0.312, 0.475]"
84,"[0.358, 0.361, 0.364, 0.456, 0.534, 0.411, 0.471, 0.441, 0.349, 0.472]"
85,"[0.373, 0.342, 0.32, 0.372, 0.519, 0.415, 0.412, 0.481, 0.302, 0.473]"
