eigenvector_centrality,"[0, 4]"
0,"[0.116, 0.108, 0.106, 0.117, 0.112, 0.108, 0.095, 0.125, 0.103, 0.098]"
1,"[0.088, 0.109, 0.094, 0.117, 0.063, 0.102, 0.095, 0.113, 0.107, 0.103]"
2,"[0.088, 0.085, 0.094, 0.117, 0.094, 0.088, 0.092, 0.094, 0.111, 0.103]"
3,"[0.088, 0.108, 0.143, 0.081, 0.107, 0.104, 0.116, 0.098, 0.142, 0.1]"
4,"[0.197, 0.107, 0.094, 0.117, 0.103, 0.097, 0.179, 0.098, 0.102, 0.091]"
5,"[0.103, 0.108, 0.146, 0.081, 0.109, 0.094, 0.103, 0.167, 0.093, 0.098]"
6,"[0.102, 0.16, 0.193, 0.134, 0.196, 0.107, 0.163, 0.197, 0.098, 0.103]"
7,"[0.08, 0.1, 0.151, 0.176, 0.083, 0.111, 0.164, 0.111, 0.093, 0.157]"
8,"[0.259, 0.109, 0.118, 0.169, 0.196, 0.144, 0.158, 0.111, 0.098, 0.103]"
9,"[0.08, 0.2, 0.124, 0.137, 0.083, 0.092, 0.103, 0.109, 0.093, 0.209]"
10,"[0.2, 0.109, 0.104, 0.158, 0.196, 0.144, 0.189, 0.094, 0.098, 0.103]"
11,"[0.08, 0.218, 0.117, 0.117, 0.083, 0.092, 0.183, 0.114, 0.104, 0.242]"
12,"[0.161, 0.109, 0.104, 0.187, 0.189, 0.146, 0.158, 0.095, 0.17, 0.103]"
13,"[0.131, 0.221, 0.116, 0.101, 0.083, 0.092, 0.102, 0.103, 0.142, 0.18]"
14,"[0.144, 0.109, 0.104, 0.215, 0.192, 0.138, 0.191, 0.132, 0.135, 0.103]"
15,"[0.143, 0.293, 0.118, 0.101, 0.083, 0.116, 0.102, 0.106, 0.158, 0.189]"
16,"[0.186, 0.109, 0.106, 0.181, 0.193, 0.141, 0.224, 0.177, 0.098, 0.103]"
17,"[0.08, 0.305, 0.124, 0.101, 0.083, 0.15, 0.102, 0.102, 0.174, 0.24]"
18,"[0.207, 0.109, 0.138, 0.179, 0.198, 0.16, 0.244, 0.211, 0.119, 0.103]"
19,"[0.08, 0.332, 0.149, 0.101, 0.083, 0.185, 0.109, 0.103, 0.181, 0.292]"
20,"[0.306, 0.11, 0.164, 0.22, 0.275, 0.187, 0.251, 0.268, 0.127, 0.103]"
21,"[0.081, 0.304, 0.169, 0.101, 0.083, 0.212, 0.147, 0.113, 0.19, 0.245]"
22,"[0.31, 0.108, 0.197, 0.237, 0.264, 0.187, 0.251, 0.258, 0.146, 0.103]"
23,"[0.088, 0.282, 0.174, 0.104, 0.083, 0.209, 0.178, 0.132, 0.191, 0.154]"
24,"[0.307, 0.112, 0.227, 0.271, 0.284, 0.191, 0.256, 0.268, 0.171, 0.103]"
25,"[0.116, 0.276, 0.179, 0.115, 0.111, 0.24, 0.182, 0.162, 0.19, 0.154]"
26,"[0.116, 0.178, 0.248, 0.191, 0.215, 0.19, 0.256, 0.336, 0.107, 0.108]"
27,"[0.103, 0.294, 0.221, 0.128, 0.094, 0.219, 0.187, 0.202, 0.255, 0.306]"
28,"[0.116, 0.211, 0.192, 0.21, 0.112, 0.105, 0.232, 0.395, 0.129, 0.173]"
29,"[0.188, 0.247, 0.159, 0.14, 0.094, 0.181, 0.175, 0.199, 0.212, 0.139]"
30,"[0.116, 0.193, 0.195, 0.196, 0.112, 0.141, 0.17, 0.125, 0.162, 0.17]"
31,"[0.196, 0.186, 0.13, 0.172, 0.17, 0.09, 0.157, 0.184, 0.118, 0.109]"
32,"[0.116, 0.185, 0.132, 0.213, 0.112, 0.173, 0.178, 0.104, 0.124, 0.18]"
33,"[0.102, 0.163, 0.116, 0.148, 0.112, 0.086, 0.183, 0.118, 0.113, 0.167]"
34,"[0.116, 0.1, 0.116, 0.211, 0.112, 0.141, 0.188, 0.104, 0.113, 0.105]"
35,"[0.102, 0.109, 0.116, 0.099, 0.112, 0.086, 0.11, 0.108, 0.113, 0.18]"
36,"[0.116, 0.099, 0.116, 0.224, 0.112, 0.106, 0.184, 0.104, 0.113, 0.103]"
37,"[0.102, 0.109, 0.116, 0.118, 0.112, 0.086, 0.109, 0.146, 0.113, 0.155]"
38,"[0.103, 0.099, 0.116, 0.195, 0.112, 0.1, 0.089, 0.104, 0.114, 0.114]"
39,"[0.116, 0.109, 0.116, 0.101, 0.112, 0.086, 0.109, 0.185, 0.155, 0.152]"
40,"[0.1, 0.099, 0.116, 0.176, 0.112, 0.09, 0.089, 0.104, 0.114, 0.174]"
41,"[0.088, 0.109, 0.118, 0.101, 0.112, 0.086, 0.109, 0.098, 0.153, 0.107]"
42,"[0.047, 0.099, 0.116, 0.159, 0.112, 0.096, 0.089, 0.104, 0.113, 0.107]"
43,"[0.116, 0.109, 0.182, 0.101, 0.112, 0.086, 0.109, 0.098, 0.098, 0.103]"
44,"[0.053, 0.099, 0.116, 0.157, 0.112, 0.088, 0.089, 0.104, 0.113, 0.091]"
45,"[0.116, 0.109, 0.194, 0.101, 0.112, 0.086, 0.109, 0.117, 0.098, 0.103]"
46,"[0.041, 0.099, 0.116, 0.181, 0.112, 0.086, 0.089, 0.104, 0.113, 0.091]"
47,"[0.079, 0.109, 0.201, 0.101, 0.112, 0.086, 0.109, 0.194, 0.098, 0.103]"
48,"[0.116, 0.099, 0.116, 0.17, 0.112, 0.086, 0.089, 0.104, 0.113, 0.091]"
49,"[0.026, 0.109, 0.199, 0.101, 0.112, 0.086, 0.109, 0.117, 0.098, 0.103]"
50,"[0.022, 0.099, 0.116, 0.193, 0.112, 0.086, 0.091, 0.104, 0.113, 0.091]"
51,"[0.106, 0.109, 0.179, 0.101, 0.112, 0.086, 0.11, 0.104, 0.098, 0.103]"
52,"[0.072, 0.099, 0.116, 0.188, 0.112, 0.086, 0.188, 0.104, 0.113, 0.091]"
53,"[0.081, 0.109, 0.149, 0.059, 0.112, 0.086, 0.181, 0.104, 0.098, 0.103]"
54,"[0.102, 0.099, 0.116, 0.141, 0.112, 0.09, 0.11, 0.104, 0.113, 0.091]"
55,"[0.093, 0.109, 0.145, 0.064, 0.112, 0.086, 0.089, 0.104, 0.098, 0.103]"
56,"[0.102, 0.099, 0.116, 0.114, 0.112, 0.144, 0.109, 0.104, 0.113, 0.091]"
57,"[0.1, 0.109, 0.142, 0.104, 0.112, 0.086, 0.089, 0.104, 0.098, 0.103]"
58,"[0.102, 0.099, 0.116, 0.094, 0.112, 0.166, 0.109, 0.104, 0.113, 0.091]"
59,"[0.102, 0.109, 0.148, 0.105, 0.112, 0.086, 0.089, 0.104, 0.098, 0.107]"
60,"[0.102, 0.099, 0.116, 0.084, 0.112, 0.106, 0.109, 0.117, 0.113, 0.091]"
61,"[0.102, 0.109, 0.186, 0.105, 0.112, 0.086, 0.089, 0.104, 0.098, 0.131]"
62,"[0.102, 0.099, 0.116, 0.108, 0.112, 0.105, 0.109, 0.186, 0.113, 0.091]"
63,"[0.102, 0.109, 0.19, 0.105, 0.112, 0.086, 0.089, 0.104, 0.098, 0.151]"
64,"[0.102, 0.099, 0.116, 0.146, 0.112, 0.105, 0.11, 0.13, 0.113, 0.091]"
65,"[0.102, 0.109, 0.148, 0.105, 0.112, 0.086, 0.089, 0.104, 0.098, 0.152]"
