none,[]
0,"[0.077, 0.185, 0.11, 0.105, 0.1, 0.112, 0.109, 0.113, 0.103, 0.098]"
1,"[0.116, 0.099, 0.118, 0.105, 0.104, 0.12, 0.094, 0.119, 0.099, 0.102]"
2,"[0.102, 0.093, 0.097, 0.097, 0.143, 0.107, 0.094, 0.119, 0.099, 0.091]"
3,"[0.212, 0.159, 0.097, 0.097, 0.083, 0.086, 0.094, 0.128, 0.098, 0.091]"
4,"[0.08, 0.19, 0.096, 0.097, 0.083, 0.261, 0.136, 0.098, 0.199, 0.091]"
5,"[0.291, 0.109, 0.096, 0.098, 0.083, 0.16, 0.089, 0.098, 0.152, 0.091]"
6,"[0.08, 0.099, 0.096, 0.129, 0.083, 0.105, 0.09, 0.184, 0.171, 0.173]"
7,"[0.147, 0.109, 0.096, 0.097, 0.155, 0.172, 0.089, 0.098, 0.098, 0.147]"
8,"[0.154, 0.099, 0.096, 0.116, 0.174, 0.105, 0.101, 0.104, 0.188, 0.103]"
9,"[0.102, 0.122, 0.178, 0.1, 0.12, 0.151, 0.089, 0.098, 0.098, 0.092]"
10,"[0.16, 0.099, 0.096, 0.181, 0.15, 0.105, 0.095, 0.105, 0.178, 0.103]"
11,"[0.102, 0.143, 0.199, 0.108, 0.164, 0.152, 0.089, 0.098, 0.098, 0.091]"
12,"[0.16, 0.099, 0.096, 0.192, 0.153, 0.105, 0.095, 0.166, 0.204, 0.107]"
13,"[0.155, 0.178, 0.199, 0.158, 0.138, 0.162, 0.089, 0.099, 0.098, 0.091]"
14,"[0.161, 0.099, 0.096, 0.126, 0.111, 0.105, 0.202, 0.169, 0.157, 0.108]"
15,"[0.177, 0.197, 0.19, 0.17, 0.102, 0.163, 0.089, 0.102, 0.098, 0.091]"
16,"[0.163, 0.101, 0.096, 0.162, 0.168, 0.105, 0.145, 0.132, 0.14, 0.104]"
17,"[0.204, 0.198, 0.263, 0.191, 0.114, 0.16, 0.089, 0.13, 0.118, 0.091]"
18,"[0.165, 0.137, 0.096, 0.125, 0.191, 0.105, 0.188, 0.181, 0.15, 0.121]"
19,"[0.207, 0.198, 0.273, 0.184, 0.105, 0.163, 0.089, 0.155, 0.202, 0.095]"
20,"[0.159, 0.184, 0.096, 0.138, 0.354, 0.105, 0.26, 0.144, 0.166, 0.13]"
21,"[0.209, 0.198, 0.277, 0.283, 0.114, 0.183, 0.089, 0.137, 0.255, 0.136]"
22,"[0.164, 0.212, 0.097, 0.137, 0.362, 0.106, 0.311, 0.245, 0.178, 0.15]"
23,"[0.231, 0.196, 0.299, 0.317, 0.133, 0.255, 0.094, 0.188, 0.312, 0.167]"
24,"[0.154, 0.281, 0.154, 0.179, 0.383, 0.158, 0.286, 0.306, 0.192, 0.209]"
25,"[0.271, 0.196, 0.297, 0.336, 0.153, 0.314, 0.125, 0.195, 0.357, 0.183]"
26,"[0.181, 0.29, 0.208, 0.195, 0.42, 0.19, 0.227, 0.348, 0.234, 0.304]"
27,"[0.307, 0.266, 0.275, 0.343, 0.145, 0.342, 0.192, 0.217, 0.398, 0.23]"
28,"[0.254, 0.278, 0.234, 0.179, 0.437, 0.198, 0.252, 0.343, 0.24, 0.349]"
29,"[0.363, 0.251, 0.254, 0.363, 0.132, 0.405, 0.248, 0.245, 0.425, 0.241]"
30,"[0.305, 0.28, 0.247, 0.205, 0.433, 0.239, 0.265, 0.362, 0.263, 0.4]"
31,"[0.398, 0.248, 0.282, 0.377, 0.175, 0.417, 0.28, 0.299, 0.422, 0.24]"
32,"[0.331, 0.295, 0.268, 0.219, 0.432, 0.296, 0.301, 0.369, 0.288, 0.406]"
33,"[0.416, 0.27, 0.312, 0.375, 0.21, 0.415, 0.307, 0.347, 0.422, 0.241]"
34,"[0.344, 0.297, 0.295, 0.241, 0.42, 0.326, 0.352, 0.398, 0.323, 0.399]"
35,"[0.423, 0.371, 0.364, 0.369, 0.244, 0.422, 0.344, 0.349, 0.417, 0.218]"
36,"[0.346, 0.288, 0.331, 0.279, 0.4, 0.353, 0.378, 0.423, 0.343, 0.395]"
37,"[0.431, 0.398, 0.39, 0.374, 0.265, 0.423, 0.415, 0.382, 0.403, 0.243]"
38,"[0.369, 0.316, 0.352, 0.322, 0.382, 0.387, 0.384, 0.441, 0.409, 0.357]"
39,"[0.438, 0.395, 0.403, 0.376, 0.29, 0.422, 0.436, 0.433, 0.356, 0.294]"
40,"[0.372, 0.368, 0.382, 0.404, 0.377, 0.445, 0.381, 0.453, 0.512, 0.365]"
41,"[0.445, 0.395, 0.404, 0.404, 0.303, 0.408, 0.436, 0.433, 0.324, 0.343]"
42,"[0.386, 0.409, 0.404, 0.458, 0.4, 0.44, 0.382, 0.472, 0.435, 0.414]"
43,"[0.449, 0.4, 0.401, 0.43, 0.345, 0.424, 0.427, 0.428, 0.282, 0.382]"
44,"[0.417, 0.459, 0.423, 0.466, 0.434, 0.422, 0.429, 0.487, 0.378, 0.439]"
45,"[0.451, 0.415, 0.402, 0.45, 0.43, 0.434, 0.423, 0.439, 0.258, 0.417]"
46,"[0.441, 0.485, 0.415, 0.464, 0.462, 0.413, 0.466, 0.5, 0.366, 0.461]"
47,"[0.459, 0.426, 0.429, 0.476, 0.45, 0.424, 0.435, 0.445, 0.335, 0.438]"
48,"[0.451, 0.503, 0.399, 0.469, 0.442, 0.421, 0.451, 0.508, 0.381, 0.479]"
49,"[0.453, 0.434, 0.435, 0.483, 0.481, 0.41, 0.445, 0.453, 0.381, 0.477]"
50,"[0.462, 0.512, 0.393, 0.472, 0.364, 0.433, 0.466, 0.506, 0.405, 0.5]"
51,"[0.453, 0.438, 0.446, 0.485, 0.445, 0.417, 0.458, 0.454, 0.399, 0.509]"
52,"[0.48, 0.524, 0.39, 0.475, 0.362, 0.466, 0.478, 0.498, 0.429, 0.511]"
53,"[0.457, 0.424, 0.447, 0.491, 0.447, 0.429, 0.466, 0.456, 0.42, 0.517]"
54,"[0.476, 0.545, 0.392, 0.478, 0.329, 0.474, 0.49, 0.502, 0.451, 0.479]"
55,"[0.459, 0.413, 0.445, 0.496, 0.421, 0.45, 0.48, 0.461, 0.433, 0.53]"
56,"[0.472, 0.54, 0.397, 0.469, 0.33, 0.481, 0.493, 0.509, 0.482, 0.471]"
57,"[0.462, 0.424, 0.444, 0.481, 0.417, 0.468, 0.477, 0.464, 0.442, 0.531]"
