none,[]
0,"[0.11776447105788423, 0.086, 0.194, 0.082, 0.09, 0.092, 0.152, 0.118, 0.112, 0.224, 0.07, 0.092, 0.08, 0.138, 0.098, 0.082, 0.08, 0.098, 0.11, 0.10220440881763528]"
1,"[0.09580838323353294, 0.086, 0.086, 0.152, 0.09, 0.118, 0.136, 0.118, 0.09, 0.182, 0.186, 0.092, 0.13, 0.098, 0.082, 0.088, 0.092, 0.14, 0.104, 0.09418837675350701]"
2,"[0.16167664670658682, 0.086, 0.086, 0.114, 0.09, 0.214, 0.108, 0.076, 0.112, 0.108, 0.194, 0.092, 0.08, 0.098, 0.116, 0.108, 0.182, 0.11, 0.092, 0.10220440881763528]"
3,"[0.10978043912175649, 0.086, 0.102, 0.12, 0.09, 0.156, 0.108, 0.118, 0.112, 0.222, 0.1, 0.118, 0.106, 0.098, 0.116, 0.108, 0.092, 0.098, 0.104, 0.10220440881763528]"
4,"[0.1317365269461078, 0.086, 0.1, 0.102, 0.09, 0.182, 0.108, 0.118, 0.112, 0.108, 0.1, 0.11, 0.08, 0.098, 0.14, 0.108, 0.104, 0.104, 0.104, 0.10220440881763528]"
5,"[0.10978043912175649, 0.086, 0.094, 0.098, 0.09, 0.118, 0.186, 0.118, 0.112, 0.108, 0.1, 0.118, 0.08, 0.122, 0.082, 0.108, 0.092, 0.098, 0.104, 0.09018036072144289]"
6,"[0.14171656686626746, 0.086, 0.094, 0.098, 0.09, 0.102, 0.086, 0.238, 0.112, 0.108, 0.1, 0.118, 0.08, 0.122, 0.082, 0.098, 0.092, 0.162, 0.104, 0.10020040080160321]"
7,"[0.2055888223552894, 0.086, 0.094, 0.098, 0.09, 0.102, 0.086, 0.184, 0.112, 0.108, 0.1, 0.118, 0.106, 0.098, 0.082, 0.108, 0.092, 0.104, 0.104, 0.10020040080160321]"
8,"[0.11776447105788423, 0.086, 0.126, 0.1, 0.152, 0.102, 0.158, 0.138, 0.112, 0.122, 0.094, 0.118, 0.08, 0.098, 0.082, 0.128, 0.092, 0.08, 0.104, 0.10220440881763528]"
9,"[0.17964071856287425, 0.086, 0.174, 0.184, 0.09, 0.102, 0.17, 0.136, 0.112, 0.098, 0.088, 0.118, 0.106, 0.098, 0.15, 0.106, 0.092, 0.104, 0.104, 0.19438877755511022]"
10,"[0.1377245508982036, 0.134, 0.102, 0.082, 0.08, 0.118, 0.126, 0.192, 0.112, 0.116, 0.16, 0.204, 0.08, 0.098, 0.098, 0.216, 0.092, 0.104, 0.104, 0.10220440881763528]"
11,"[0.09580838323353294, 0.086, 0.206, 0.082, 0.092, 0.12, 0.236, 0.112, 0.112, 0.098, 0.1, 0.252, 0.12, 0.096, 0.216, 0.172, 0.092, 0.104, 0.18, 0.09418837675350701]"
12,"[0.07784431137724551, 0.132, 0.276, 0.132, 0.194, 0.118, 0.086, 0.118, 0.124, 0.114, 0.084, 0.208, 0.144, 0.106, 0.098, 0.214, 0.092, 0.098, 0.104, 0.1062124248496994]"
13,"[0.19760479041916168, 0.116, 0.174, 0.21, 0.09, 0.088, 0.098, 0.112, 0.122, 0.098, 0.1, 0.186, 0.08, 0.274, 0.188, 0.11, 0.092, 0.104, 0.082, 0.19438877755511022]"
14,"[0.16966067864271456, 0.086, 0.28, 0.082, 0.09, 0.118, 0.144, 0.118, 0.192, 0.284, 0.084, 0.17, 0.11, 0.228, 0.098, 0.114, 0.092, 0.098, 0.104, 0.12224448897795591]"
15,"[0.2694610778443114, 0.092, 0.156, 0.12, 0.136, 0.102, 0.098, 0.112, 0.112, 0.098, 0.1, 0.098, 0.184, 0.144, 0.126, 0.092, 0.092, 0.104, 0.08, 0.19438877755511022]"
16,"[0.17165668662674652, 0.216, 0.208, 0.086, 0.15, 0.102, 0.094, 0.118, 0.07, 0.238, 0.158, 0.166, 0.11, 0.098, 0.13, 0.108, 0.092, 0.098, 0.178, 0.17835671342685372]"
17,"[0.18562874251497005, 0.316, 0.094, 0.12, 0.08, 0.102, 0.134, 0.112, 0.112, 0.152, 0.106, 0.09, 0.08, 0.298, 0.188, 0.092, 0.114, 0.104, 0.168, 0.12224448897795591]"
18,"[0.07784431137724551, 0.216, 0.13, 0.166, 0.096, 0.118, 0.15, 0.14, 0.11, 0.298, 0.264, 0.094, 0.112, 0.102, 0.192, 0.214, 0.092, 0.104, 0.168, 0.20440881763527055]"
19,"[0.1996007984031936, 0.194, 0.178, 0.2, 0.1, 0.102, 0.1, 0.094, 0.112, 0.134, 0.084, 0.09, 0.08, 0.232, 0.222, 0.092, 0.09, 0.122, 0.284, 0.21643286573146292]"
20,"[0.07784431137724551, 0.172, 0.376, 0.082, 0.09, 0.264, 0.204, 0.16, 0.11, 0.138, 0.132, 0.172, 0.252, 0.2, 0.19, 0.214, 0.092, 0.104, 0.082, 0.19839679358717435]"
21,"[0.10778443113772455, 0.116, 0.094, 0.2, 0.24, 0.102, 0.222, 0.094, 0.106, 0.24, 0.084, 0.27, 0.08, 0.106, 0.156, 0.082, 0.082, 0.196, 0.104, 0.2545090180360721]"
22,"[0.07784431137724551, 0.086, 0.362, 0.102, 0.222, 0.094, 0.102, 0.122, 0.11, 0.094, 0.126, 0.2, 0.12, 0.286, 0.114, 0.198, 0.092, 0.104, 0.098, 0.1062124248496994]"
23,"[0.10778443113772455, 0.116, 0.184, 0.12, 0.19, 0.102, 0.214, 0.25, 0.106, 0.298, 0.084, 0.274, 0.1, 0.14, 0.232, 0.08, 0.148, 0.262, 0.148, 0.3847695390781563]"
24,"[0.10578842315369262, 0.088, 0.27, 0.252, 0.158, 0.112, 0.104, 0.104, 0.12, 0.13, 0.166, 0.204, 0.12, 0.204, 0.288, 0.158, 0.094, 0.104, 0.162, 0.17234468937875752]"
25,"[0.1996007984031936, 0.222, 0.186, 0.12, 0.168, 0.136, 0.114, 0.29, 0.106, 0.306, 0.234, 0.29, 0.12, 0.154, 0.116, 0.116, 0.134, 0.13, 0.168, 0.2545090180360721]"
26,"[0.24550898203592814, 0.2, 0.32, 0.218, 0.12, 0.132, 0.098, 0.112, 0.206, 0.1, 0.242, 0.22, 0.226, 0.238, 0.154, 0.256, 0.166, 0.104, 0.1, 0.18637274549098196]"
27,"[0.3273453093812375, 0.196, 0.232, 0.24, 0.08, 0.176, 0.188, 0.284, 0.162, 0.362, 0.266, 0.234, 0.098, 0.106, 0.116, 0.13, 0.246, 0.198, 0.178, 0.2665330661322645]"
28,"[0.27944111776447106, 0.218, 0.294, 0.104, 0.192, 0.104, 0.098, 0.316, 0.112, 0.132, 0.152, 0.246, 0.286, 0.322, 0.202, 0.274, 0.134, 0.108, 0.092, 0.15030060120240482]"
29,"[0.3013972055888224, 0.388, 0.292, 0.17, 0.078, 0.118, 0.26, 0.232, 0.15, 0.4, 0.262, 0.242, 0.184, 0.234, 0.116, 0.186, 0.198, 0.198, 0.144, 0.39478957915831664]"
30,"[0.2634730538922156, 0.214, 0.316, 0.134, 0.19, 0.146, 0.098, 0.35, 0.114, 0.198, 0.104, 0.318, 0.278, 0.372, 0.28, 0.372, 0.138, 0.216, 0.092, 0.342685370741483]"
31,"[0.22554890219560877, 0.38, 0.24, 0.164, 0.162, 0.124, 0.248, 0.304, 0.162, 0.33, 0.256, 0.23, 0.288, 0.276, 0.116, 0.156, 0.194, 0.162, 0.166, 0.3627254509018036]"
32,"[0.20958083832335328, 0.2, 0.274, 0.182, 0.15, 0.24, 0.11, 0.368, 0.126, 0.318, 0.164, 0.296, 0.258, 0.288, 0.33, 0.344, 0.172, 0.214, 0.092, 0.3306613226452906]"
33,"[0.26147704590818366, 0.314, 0.308, 0.28, 0.186, 0.158, 0.148, 0.254, 0.306, 0.308, 0.254, 0.24, 0.27, 0.396, 0.116, 0.352, 0.268, 0.092, 0.22, 0.42084168336673344]"
34,"[0.20359281437125748, 0.336, 0.302, 0.244, 0.23, 0.162, 0.224, 0.368, 0.21, 0.296, 0.224, 0.398, 0.27, 0.218, 0.344, 0.282, 0.212, 0.212, 0.104, 0.2905811623246493]"
35,"[0.3473053892215569, 0.218, 0.31, 0.356, 0.158, 0.174, 0.176, 0.22, 0.238, 0.324, 0.32, 0.312, 0.276, 0.426, 0.182, 0.412, 0.294, 0.106, 0.25, 0.3867735470941884]"
36,"[0.2435129740518962, 0.284, 0.278, 0.214, 0.318, 0.16, 0.286, 0.362, 0.338, 0.328, 0.25, 0.44, 0.244, 0.168, 0.33, 0.314, 0.238, 0.204, 0.192, 0.2865731462925852]"
37,"[0.35728542914171657, 0.222, 0.406, 0.348, 0.162, 0.274, 0.156, 0.294, 0.19, 0.212, 0.294, 0.376, 0.242, 0.494, 0.276, 0.36, 0.288, 0.188, 0.258, 0.3366733466933868]"
38,"[0.26746506986027946, 0.328, 0.284, 0.326, 0.314, 0.18, 0.27, 0.314, 0.198, 0.514, 0.278, 0.452, 0.294, 0.148, 0.19, 0.358, 0.238, 0.32, 0.198, 0.374749498997996]"
39,"[0.3413173652694611, 0.284, 0.37, 0.39, 0.184, 0.278, 0.13, 0.326, 0.16, 0.186, 0.292, 0.45, 0.214, 0.466, 0.284, 0.276, 0.212, 0.138, 0.306, 0.3346693386773547]"
40,"[0.2934131736526946, 0.426, 0.368, 0.412, 0.306, 0.102, 0.282, 0.292, 0.346, 0.46, 0.314, 0.348, 0.34, 0.154, 0.248, 0.278, 0.194, 0.326, 0.25, 0.4288577154308617]"
41,"[0.36127744510978044, 0.294, 0.408, 0.374, 0.262, 0.238, 0.178, 0.34, 0.152, 0.248, 0.292, 0.328, 0.218, 0.436, 0.252, 0.25, 0.158, 0.126, 0.37, 0.3907815631262525]"
42,"[0.35528942115768464, 0.394, 0.43, 0.376, 0.274, 0.12, 0.292, 0.332, 0.37, 0.492, 0.312, 0.332, 0.352, 0.254, 0.27, 0.23, 0.238, 0.312, 0.282, 0.3967935871743487]"
43,"[0.33532934131736525, 0.258, 0.44, 0.382, 0.334, 0.224, 0.252, 0.364, 0.126, 0.282, 0.26, 0.29, 0.26, 0.428, 0.352, 0.312, 0.302, 0.11, 0.33, 0.4248496993987976]"
44,"[0.3992015968063872, 0.34, 0.39, 0.392, 0.266, 0.154, 0.32, 0.43, 0.256, 0.514, 0.348, 0.32, 0.34, 0.392, 0.27, 0.194, 0.238, 0.286, 0.246, 0.35671342685370744]"
45,"[0.46107784431137727, 0.284, 0.454, 0.376, 0.35, 0.23, 0.312, 0.346, 0.16, 0.298, 0.23, 0.314, 0.344, 0.494, 0.334, 0.26, 0.336, 0.134, 0.276, 0.40080160320641284]"
46,"[0.3872255489021956, 0.276, 0.4, 0.362, 0.316, 0.318, 0.338, 0.38, 0.256, 0.502, 0.4, 0.33, 0.35, 0.464, 0.23, 0.214, 0.276, 0.25, 0.288, 0.38877755511022044]"
47,"[0.48303393213572854, 0.344, 0.54, 0.39, 0.39, 0.254, 0.33, 0.362, 0.196, 0.38, 0.266, 0.342, 0.382, 0.458, 0.334, 0.266, 0.396, 0.264, 0.27, 0.37675350701402804]"
48,"[0.3772455089820359, 0.274, 0.416, 0.298, 0.318, 0.41, 0.37, 0.43, 0.302, 0.464, 0.502, 0.334, 0.366, 0.494, 0.196, 0.32, 0.396, 0.214, 0.334, 0.43687374749499]"
49,"[0.42714570858283435, 0.33, 0.478, 0.34, 0.414, 0.312, 0.328, 0.398, 0.26, 0.416, 0.444, 0.336, 0.412, 0.42, 0.34, 0.28, 0.412, 0.336, 0.262, 0.3466933867735471]"
50,"[0.3213572854291417, 0.344, 0.33, 0.308, 0.328, 0.434, 0.44, 0.474, 0.336, 0.428, 0.482, 0.268, 0.398, 0.51, 0.156, 0.432, 0.418, 0.232, 0.364, 0.46292585170340683]"
51,"[0.4031936127744511, 0.33, 0.452, 0.318, 0.422, 0.348, 0.334, 0.418, 0.34, 0.394, 0.44, 0.366, 0.428, 0.416, 0.304, 0.356, 0.428, 0.384, 0.256, 0.38276553106212424]"
52,"[0.3033932135728543, 0.348, 0.352, 0.336, 0.338, 0.432, 0.492, 0.476, 0.294, 0.416, 0.534, 0.25, 0.398, 0.49, 0.162, 0.452, 0.386, 0.284, 0.384, 0.41082164328657317]"
53,"[0.4031936127744511, 0.332, 0.43, 0.384, 0.354, 0.424, 0.334, 0.42, 0.356, 0.368, 0.448, 0.348, 0.452, 0.416, 0.3, 0.486, 0.422, 0.376, 0.31, 0.41282565130260523]"
54,"[0.33532934131736525, 0.342, 0.374, 0.416, 0.344, 0.422, 0.334, 0.464, 0.378, 0.402, 0.498, 0.306, 0.432, 0.502, 0.224, 0.492, 0.402, 0.3, 0.406, 0.3847695390781563]"
55,"[0.40718562874251496, 0.306, 0.428, 0.446, 0.336, 0.408, 0.354, 0.442, 0.354, 0.36, 0.436, 0.406, 0.392, 0.44, 0.294, 0.482, 0.362, 0.396, 0.342, 0.39879759519038077]"
56,"[0.3772455089820359, 0.322, 0.434, 0.428, 0.358, 0.424, 0.33, 0.46, 0.36, 0.396, 0.48, 0.36, 0.426, 0.454, 0.28, 0.428, 0.4, 0.368, 0.46, 0.36472945891783565]"
57,"[0.3812375249500998, 0.294, 0.428, 0.412, 0.348, 0.388, 0.386, 0.376, 0.358, 0.338, 0.382, 0.406, 0.37, 0.462, 0.338, 0.476, 0.392, 0.4, 0.338, 0.37074148296593185]"
58,"[0.36127744510978044, 0.35, 0.452, 0.4, 0.374, 0.42, 0.334, 0.462, 0.354, 0.444, 0.48, 0.44, 0.398, 0.412, 0.294, 0.376, 0.372, 0.468, 0.414, 0.3486973947895792]"
59,"[0.3772455089820359, 0.356, 0.424, 0.42, 0.364, 0.38, 0.33, 0.412, 0.36, 0.354, 0.378, 0.386, 0.38, 0.428, 0.372, 0.36, 0.352, 0.404, 0.352, 0.3787575150300601]"
60,"[0.29740518962075846, 0.28, 0.444, 0.342, 0.384, 0.354, 0.338, 0.428, 0.392, 0.408, 0.438, 0.522, 0.402, 0.376, 0.36, 0.354, 0.324, 0.482, 0.424, 0.3867735470941884]"
61,"[0.37924151696606784, 0.366, 0.408, 0.428, 0.384, 0.322, 0.282, 0.456, 0.352, 0.344, 0.386, 0.396, 0.36, 0.49, 0.394, 0.33, 0.312, 0.408, 0.374, 0.4468937875751503]"
62,"[0.26147704590818366, 0.302, 0.468, 0.314, 0.388, 0.37, 0.352, 0.394, 0.404, 0.374, 0.42, 0.454, 0.412, 0.288, 0.368, 0.37, 0.3, 0.474, 0.432, 0.37675350701402804]"
63,"[0.37524950099800397, 0.396, 0.466, 0.43, 0.42, 0.31, 0.27, 0.448, 0.31, 0.296, 0.394, 0.358, 0.354, 0.488, 0.404, 0.306, 0.354, 0.416, 0.42, 0.5270541082164328]"
64,"[0.3213572854291417, 0.35, 0.496, 0.336, 0.416, 0.38, 0.422, 0.384, 0.39, 0.378, 0.378, 0.404, 0.382, 0.31, 0.39, 0.4, 0.3, 0.458, 0.376, 0.3486973947895792]"
65,"[0.3772455089820359, 0.402, 0.398, 0.356, 0.52, 0.314, 0.334, 0.424, 0.308, 0.264, 0.374, 0.336, 0.336, 0.442, 0.38, 0.362, 0.332, 0.392, 0.418, 0.5531062124248497]"
66,"[0.3532934131736527, 0.356, 0.496, 0.36, 0.418, 0.418, 0.392, 0.418, 0.366, 0.354, 0.414, 0.362, 0.384, 0.362, 0.372, 0.46, 0.304, 0.386, 0.404, 0.3306613226452906]"
67,"[0.35728542914171657, 0.398, 0.324, 0.336, 0.544, 0.316, 0.362, 0.46, 0.338, 0.264, 0.386, 0.35, 0.342, 0.398, 0.366, 0.394, 0.398, 0.326, 0.424, 0.5190380761523046]"
68,"[0.36926147704590817, 0.364, 0.492, 0.378, 0.408, 0.41, 0.394, 0.47, 0.352, 0.334, 0.436, 0.36, 0.396, 0.388, 0.378, 0.472, 0.316, 0.344, 0.464, 0.3587174348697395]"
69,"[0.3393213572854291, 0.388, 0.338, 0.336, 0.546, 0.326, 0.39, 0.444, 0.42, 0.306, 0.422, 0.374, 0.37, 0.402, 0.406, 0.39, 0.428, 0.302, 0.438, 0.46893787575150303]"
70,"[0.3712574850299401, 0.364, 0.494, 0.448, 0.4, 0.388, 0.42, 0.488, 0.338, 0.354, 0.446, 0.366, 0.396, 0.45, 0.39, 0.348, 0.326, 0.358, 0.488, 0.34468937875751504]"
71,"[0.35728542914171657, 0.392, 0.348, 0.362, 0.532, 0.322, 0.42, 0.44, 0.394, 0.312, 0.432, 0.37, 0.426, 0.404, 0.45, 0.428, 0.426, 0.42, 0.446, 0.4188376753507014]"
72,"[0.3872255489021956, 0.386, 0.484, 0.518, 0.396, 0.388, 0.43, 0.564, 0.382, 0.338, 0.416, 0.39, 0.398, 0.478, 0.42, 0.392, 0.36, 0.344, 0.478, 0.3246492985971944]"
73,"[0.4471057884231537, 0.424, 0.348, 0.342, 0.504, 0.34, 0.42, 0.448, 0.384, 0.38, 0.424, 0.386, 0.474, 0.424, 0.468, 0.404, 0.46, 0.486, 0.444, 0.4228456913827655]"
74,"[0.4431137724550898, 0.414, 0.558, 0.542, 0.426, 0.4, 0.434, 0.54, 0.41, 0.344, 0.462, 0.454, 0.402, 0.494, 0.442, 0.42, 0.392, 0.332, 0.484, 0.3286573146292585]"
75,"[0.41317365269461076, 0.474, 0.374, 0.348, 0.492, 0.378, 0.474, 0.466, 0.376, 0.378, 0.422, 0.44, 0.512, 0.452, 0.474, 0.386, 0.516, 0.462, 0.454, 0.4228456913827655]"
76,"[0.45109780439121755, 0.436, 0.456, 0.52, 0.442, 0.436, 0.386, 0.482, 0.42, 0.39, 0.428, 0.408, 0.428, 0.464, 0.44, 0.432, 0.408, 0.338, 0.514, 0.31462925851703405]"
77,"[0.405189620758483, 0.47, 0.434, 0.378, 0.466, 0.4, 0.454, 0.46, 0.392, 0.392, 0.45, 0.482, 0.556, 0.412, 0.47, 0.376, 0.49, 0.44, 0.452, 0.4348697394789579]"
78,"[0.3912175648702595, 0.438, 0.422, 0.504, 0.506, 0.442, 0.416, 0.47, 0.446, 0.388, 0.426, 0.418, 0.428, 0.478, 0.436, 0.414, 0.48, 0.368, 0.478, 0.3527054108216433]"
79,"[0.35728542914171657, 0.486, 0.366, 0.392, 0.36, 0.422, 0.456, 0.46, 0.406, 0.428, 0.466, 0.486, 0.548, 0.384, 0.49, 0.4, 0.44, 0.47, 0.468, 0.3787575150300601]"
80,"[0.36127744510978044, 0.446, 0.422, 0.478, 0.482, 0.488, 0.436, 0.48, 0.452, 0.35, 0.424, 0.424, 0.428, 0.484, 0.412, 0.43, 0.524, 0.372, 0.434, 0.43687374749499]"
81,"[0.3413173652694611, 0.508, 0.398, 0.392, 0.374, 0.462, 0.474, 0.448, 0.43, 0.392, 0.452, 0.506, 0.462, 0.364, 0.5, 0.404, 0.422, 0.504, 0.496, 0.38276553106212424]"
82,"[0.313373253493014, 0.448, 0.47, 0.45, 0.512, 0.45, 0.344, 0.432, 0.456, 0.368, 0.454, 0.422, 0.424, 0.446, 0.426, 0.474, 0.452, 0.426, 0.35, 0.4468937875751503]"
83,"[0.3333333333333333, 0.494, 0.396, 0.422, 0.4, 0.462, 0.43, 0.386, 0.458, 0.404, 0.448, 0.53, 0.428, 0.366, 0.514, 0.438, 0.436, 0.502, 0.504, 0.38276553106212424]"
84,"[0.3013972055888224, 0.408, 0.468, 0.396, 0.512, 0.452, 0.352, 0.458, 0.424, 0.368, 0.46, 0.412, 0.392, 0.45, 0.446, 0.454, 0.454, 0.488, 0.39, 0.5190380761523046]"
85,"[0.2934131736526946, 0.464, 0.408, 0.406, 0.416, 0.472, 0.358, 0.4, 0.446, 0.392, 0.454, 0.55, 0.432, 0.374, 0.456, 0.406, 0.436, 0.41, 0.498, 0.44288577154308617]"
86,"[0.3273453093812375, 0.374, 0.484, 0.344, 0.538, 0.462, 0.358, 0.42, 0.418, 0.37, 0.456, 0.412, 0.38, 0.486, 0.484, 0.458, 0.46, 0.54, 0.444, 0.5270541082164328]"
87,"[0.26746506986027946, 0.424, 0.512, 0.398, 0.444, 0.462, 0.364, 0.422, 0.438, 0.414, 0.464, 0.454, 0.434, 0.424, 0.442, 0.482, 0.436, 0.432, 0.514, 0.48296593186372744]"
88,"[0.3912175648702595, 0.392, 0.454, 0.342, 0.552, 0.45, 0.346, 0.344, 0.428, 0.39, 0.462, 0.438, 0.388, 0.452, 0.5, 0.472, 0.47, 0.518, 0.454, 0.5130260521042084]"
89,"[0.34930139720558884, 0.406, 0.524, 0.406, 0.448, 0.454, 0.368, 0.398, 0.438, 0.408, 0.456, 0.408, 0.382, 0.534, 0.452, 0.46, 0.42, 0.442, 0.518, 0.48096192384769537]"
90,"[0.43912175648702595, 0.402, 0.382, 0.376, 0.546, 0.416, 0.43, 0.386, 0.41, 0.41, 0.462, 0.466, 0.456, 0.44, 0.468, 0.474, 0.488, 0.522, 0.482, 0.5070140280561122]"
91,"[0.3992015968063872, 0.432, 0.458, 0.424, 0.408, 0.442, 0.382, 0.45, 0.43, 0.362, 0.436, 0.464, 0.334, 0.6, 0.456, 0.45, 0.432, 0.432, 0.54, 0.43286573146292584]"
92,"[0.4291417165668663, 0.456, 0.41, 0.416, 0.548, 0.402, 0.468, 0.404, 0.408, 0.402, 0.484, 0.468, 0.452, 0.438, 0.454, 0.458, 0.454, 0.488, 0.49, 0.4529058116232465]"
93,"[0.4351297405189621, 0.45, 0.46, 0.468, 0.382, 0.454, 0.378, 0.434, 0.426, 0.38, 0.44, 0.49, 0.328, 0.58, 0.45, 0.436, 0.446, 0.372, 0.522, 0.3667334669338677]"
94,"[0.437125748502994, 0.414, 0.436, 0.442, 0.556, 0.428, 0.444, 0.448, 0.402, 0.394, 0.52, 0.496, 0.454, 0.456, 0.428, 0.426, 0.346, 0.436, 0.428, 0.42084168336673344]"
95,"[0.4590818363273453, 0.454, 0.476, 0.482, 0.466, 0.456, 0.406, 0.414, 0.424, 0.404, 0.464, 0.502, 0.39, 0.594, 0.438, 0.482, 0.474, 0.362, 0.532, 0.39478957915831664]"
96,"[0.4411177644710579, 0.408, 0.458, 0.414, 0.456, 0.426, 0.436, 0.456, 0.404, 0.404, 0.524, 0.528, 0.456, 0.472, 0.464, 0.362, 0.348, 0.454, 0.462, 0.42084168336673344]"
97,"[0.469061876247505, 0.456, 0.48, 0.55, 0.512, 0.39, 0.438, 0.436, 0.45, 0.434, 0.422, 0.486, 0.416, 0.596, 0.472, 0.51, 0.492, 0.402, 0.524, 0.4589178356713427]"
98,"[0.4630738522954092, 0.426, 0.47, 0.398, 0.416, 0.45, 0.432, 0.476, 0.412, 0.494, 0.53, 0.516, 0.434, 0.516, 0.422, 0.366, 0.4, 0.406, 0.51, 0.41282565130260523]"
99,"[0.49101796407185627, 0.454, 0.474, 0.53, 0.524, 0.36, 0.414, 0.472, 0.39, 0.458, 0.45, 0.436, 0.434, 0.582, 0.428, 0.492, 0.496, 0.388, 0.456, 0.56312625250501]"
