none,[]
0,"[0.09580838323353294, 0.086, 0.074, 0.1, 0.082, 0.102, 0.1, 0.108, 0.106, 0.09, 0.134, 0.09, 0.134, 0.148, 0.116, 0.082, 0.082, 0.08, 0.108, 0.12625250501002003]"
1,"[0.07784431137724551, 0.22, 0.104, 0.1, 0.078, 0.088, 0.078, 0.134, 0.084, 0.126, 0.134, 0.092, 0.08, 0.122, 0.116, 0.082, 0.092, 0.098, 0.11, 0.09619238476953908]"
2,"[0.07784431137724551, 0.118, 0.1, 0.1, 0.078, 0.088, 0.078, 0.102, 0.142, 0.098, 0.134, 0.09, 0.164, 0.158, 0.126, 0.092, 0.114, 0.146, 0.11, 0.1523046092184369]"
3,"[0.07784431137724551, 0.132, 0.108, 0.1, 0.078, 0.088, 0.18, 0.104, 0.186, 0.098, 0.134, 0.09, 0.106, 0.122, 0.092, 0.092, 0.114, 0.098, 0.194, 0.09619238476953908]"
4,"[0.1437125748502994, 0.132, 0.112, 0.1, 0.156, 0.088, 0.078, 0.154, 0.114, 0.098, 0.134, 0.102, 0.106, 0.122, 0.092, 0.092, 0.114, 0.098, 0.11, 0.17835671342685372]"
5,"[0.1157684630738523, 0.132, 0.126, 0.124, 0.164, 0.128, 0.094, 0.278, 0.188, 0.162, 0.22, 0.226, 0.246, 0.228, 0.128, 0.092, 0.114, 0.106, 0.234, 0.1282565130260521]"
6,"[0.24550898203592814, 0.242, 0.2, 0.218, 0.218, 0.214, 0.214, 0.206, 0.186, 0.174, 0.238, 0.174, 0.212, 0.244, 0.284, 0.2, 0.266, 0.176, 0.282, 0.23847695390781562]"
7,"[0.21157684630738524, 0.294, 0.206, 0.298, 0.238, 0.306, 0.258, 0.18, 0.182, 0.17, 0.36, 0.244, 0.234, 0.212, 0.256, 0.236, 0.254, 0.292, 0.19, 0.20040080160320642]"
8,"[0.33532934131736525, 0.324, 0.268, 0.334, 0.208, 0.372, 0.308, 0.418, 0.24, 0.28, 0.262, 0.272, 0.342, 0.378, 0.314, 0.266, 0.354, 0.246, 0.364, 0.2725450901803607]"
9,"[0.2754491017964072, 0.296, 0.292, 0.288, 0.268, 0.374, 0.294, 0.302, 0.32, 0.348, 0.4, 0.374, 0.442, 0.346, 0.29, 0.37, 0.328, 0.42, 0.262, 0.4088176352705411]"
10,"[0.4031936127744511, 0.308, 0.292, 0.396, 0.282, 0.358, 0.272, 0.398, 0.212, 0.344, 0.24, 0.3, 0.264, 0.378, 0.326, 0.292, 0.368, 0.26, 0.312, 0.4408817635270541]"
11,"[0.22355289421157684, 0.294, 0.278, 0.296, 0.16, 0.338, 0.31, 0.346, 0.332, 0.392, 0.35, 0.296, 0.404, 0.318, 0.392, 0.526, 0.412, 0.444, 0.302, 0.38877755511022044]"
12,"[0.3772455089820359, 0.396, 0.444, 0.334, 0.294, 0.428, 0.32, 0.416, 0.238, 0.322, 0.114, 0.26, 0.266, 0.242, 0.314, 0.32, 0.406, 0.34, 0.33, 0.2745490981963928]"
13,"[0.16167664670658682, 0.244, 0.366, 0.304, 0.312, 0.326, 0.256, 0.386, 0.36, 0.41, 0.38, 0.36, 0.312, 0.366, 0.384, 0.544, 0.394, 0.49, 0.282, 0.22645290581162325]"
14,"[0.4471057884231537, 0.43, 0.414, 0.262, 0.354, 0.434, 0.3, 0.404, 0.222, 0.344, 0.3, 0.216, 0.322, 0.272, 0.368, 0.342, 0.392, 0.374, 0.444, 0.2845691382765531]"
15,"[0.22554890219560877, 0.372, 0.352, 0.302, 0.366, 0.348, 0.33, 0.44, 0.388, 0.4, 0.424, 0.396, 0.338, 0.382, 0.344, 0.436, 0.4, 0.446, 0.272, 0.250501002004008]"
16,"[0.3852295409181637, 0.402, 0.376, 0.29, 0.416, 0.43, 0.352, 0.416, 0.236, 0.344, 0.38, 0.236, 0.36, 0.356, 0.392, 0.344, 0.332, 0.386, 0.382, 0.38877755511022044]"
17,"[0.3033932135728543, 0.496, 0.412, 0.348, 0.414, 0.368, 0.342, 0.426, 0.328, 0.4, 0.41, 0.434, 0.36, 0.378, 0.32, 0.374, 0.322, 0.402, 0.308, 0.27655310621242485]"
18,"[0.36327345309381237, 0.344, 0.384, 0.368, 0.428, 0.422, 0.326, 0.398, 0.322, 0.372, 0.358, 0.334, 0.384, 0.358, 0.428, 0.46, 0.304, 0.422, 0.39, 0.36472945891783565]"
19,"[0.3473053892215569, 0.424, 0.406, 0.384, 0.362, 0.332, 0.372, 0.458, 0.298, 0.402, 0.402, 0.46, 0.372, 0.334, 0.344, 0.344, 0.328, 0.422, 0.366, 0.2785571142284569]"
20,"[0.3852295409181637, 0.418, 0.41, 0.378, 0.466, 0.4, 0.36, 0.43, 0.338, 0.338, 0.326, 0.412, 0.4, 0.462, 0.472, 0.424, 0.264, 0.416, 0.378, 0.4028056112224449]"
21,"[0.3972055888223553, 0.43, 0.392, 0.428, 0.378, 0.316, 0.422, 0.47, 0.296, 0.404, 0.456, 0.452, 0.332, 0.354, 0.366, 0.394, 0.354, 0.436, 0.386, 0.24048096192384769]"
22,"[0.405189620758483, 0.428, 0.42, 0.42, 0.464, 0.384, 0.388, 0.47, 0.42, 0.338, 0.37, 0.424, 0.436, 0.466, 0.484, 0.406, 0.25, 0.386, 0.37, 0.42685370741482964]"
23,"[0.4251497005988024, 0.44, 0.346, 0.424, 0.374, 0.358, 0.364, 0.474, 0.27, 0.376, 0.474, 0.442, 0.328, 0.404, 0.392, 0.334, 0.39, 0.438, 0.368, 0.27655310621242485]"
24,"[0.41916167664670656, 0.426, 0.338, 0.438, 0.488, 0.366, 0.416, 0.498, 0.426, 0.348, 0.366, 0.436, 0.432, 0.45, 0.458, 0.338, 0.264, 0.408, 0.398, 0.4348697394789579]"
25,"[0.4550898203592814, 0.454, 0.352, 0.426, 0.324, 0.36, 0.376, 0.474, 0.26, 0.36, 0.482, 0.428, 0.328, 0.452, 0.438, 0.39, 0.418, 0.364, 0.39, 0.3306613226452906]"
26,"[0.4291417165668663, 0.446, 0.414, 0.424, 0.456, 0.406, 0.42, 0.486, 0.482, 0.32, 0.352, 0.396, 0.394, 0.446, 0.444, 0.254, 0.292, 0.486, 0.42, 0.48096192384769537]"
27,"[0.47105788423153694, 0.454, 0.332, 0.448, 0.288, 0.392, 0.404, 0.456, 0.27, 0.358, 0.454, 0.418, 0.386, 0.454, 0.45, 0.37, 0.404, 0.34, 0.412, 0.3286573146292585]"
28,"[0.3972055888223553, 0.486, 0.472, 0.436, 0.434, 0.43, 0.412, 0.44, 0.492, 0.284, 0.372, 0.42, 0.392, 0.474, 0.424, 0.276, 0.318, 0.508, 0.368, 0.43887775551102204]"
29,"[0.3213572854291417, 0.438, 0.372, 0.424, 0.284, 0.39, 0.384, 0.444, 0.312, 0.36, 0.454, 0.434, 0.386, 0.474, 0.436, 0.37, 0.404, 0.352, 0.424, 0.3406813627254509]"
30,"[0.46506986027944114, 0.442, 0.476, 0.444, 0.406, 0.442, 0.428, 0.402, 0.462, 0.288, 0.4, 0.378, 0.396, 0.498, 0.438, 0.342, 0.328, 0.522, 0.38, 0.45490981963927857]"
31,"[0.2834331337325349, 0.366, 0.406, 0.386, 0.302, 0.36, 0.348, 0.436, 0.356, 0.384, 0.472, 0.444, 0.384, 0.472, 0.42, 0.386, 0.422, 0.368, 0.414, 0.33867735470941884]"
32,"[0.4491017964071856, 0.394, 0.482, 0.414, 0.394, 0.44, 0.442, 0.416, 0.448, 0.3, 0.454, 0.394, 0.386, 0.5, 0.47, 0.374, 0.33, 0.526, 0.424, 0.48697394789579157]"
33,"[0.2714570858283433, 0.352, 0.47, 0.416, 0.352, 0.36, 0.382, 0.47, 0.438, 0.406, 0.482, 0.444, 0.414, 0.468, 0.416, 0.416, 0.424, 0.392, 0.412, 0.33266533066132264]"
34,"[0.42714570858283435, 0.402, 0.508, 0.426, 0.39, 0.426, 0.444, 0.428, 0.424, 0.342, 0.498, 0.406, 0.408, 0.482, 0.478, 0.384, 0.338, 0.498, 0.42, 0.48296593186372744]"
35,"[0.2954091816367265, 0.378, 0.478, 0.426, 0.396, 0.42, 0.386, 0.478, 0.442, 0.402, 0.484, 0.458, 0.428, 0.474, 0.42, 0.442, 0.434, 0.364, 0.406, 0.342685370741483]"
36,"[0.4311377245508982, 0.402, 0.464, 0.438, 0.378, 0.406, 0.402, 0.48, 0.388, 0.388, 0.532, 0.418, 0.394, 0.456, 0.448, 0.442, 0.338, 0.5, 0.408, 0.4529058116232465]"
37,"[0.32934131736526945, 0.376, 0.472, 0.438, 0.386, 0.444, 0.44, 0.476, 0.432, 0.388, 0.516, 0.472, 0.426, 0.462, 0.408, 0.462, 0.458, 0.372, 0.406, 0.4088176352705411]"
38,"[0.4231536926147705, 0.406, 0.45, 0.472, 0.374, 0.398, 0.372, 0.436, 0.386, 0.406, 0.562, 0.45, 0.412, 0.422, 0.4, 0.472, 0.324, 0.46, 0.41, 0.48296593186372744]"
39,"[0.3473053892215569, 0.382, 0.47, 0.444, 0.404, 0.452, 0.454, 0.448, 0.406, 0.388, 0.522, 0.464, 0.464, 0.424, 0.382, 0.476, 0.484, 0.422, 0.396, 0.3727454909819639]"
40,"[0.3992015968063872, 0.426, 0.45, 0.454, 0.398, 0.394, 0.364, 0.452, 0.372, 0.386, 0.53, 0.45, 0.428, 0.408, 0.416, 0.482, 0.384, 0.464, 0.4, 0.374749498997996]"
41,"[0.37325349301397204, 0.386, 0.474, 0.45, 0.41, 0.464, 0.438, 0.454, 0.378, 0.39, 0.454, 0.44, 0.53, 0.454, 0.426, 0.492, 0.482, 0.45, 0.42, 0.3967935871743487]"
42,"[0.405189620758483, 0.424, 0.476, 0.45, 0.464, 0.426, 0.376, 0.442, 0.312, 0.378, 0.482, 0.486, 0.45, 0.352, 0.45, 0.496, 0.388, 0.396, 0.404, 0.3687374749498998]"
43,"[0.3972055888223553, 0.402, 0.45, 0.466, 0.438, 0.472, 0.426, 0.484, 0.388, 0.392, 0.49, 0.426, 0.476, 0.444, 0.448, 0.506, 0.418, 0.434, 0.462, 0.39478957915831664]"
44,"[0.4091816367265469, 0.452, 0.5, 0.446, 0.492, 0.434, 0.408, 0.458, 0.312, 0.39, 0.484, 0.486, 0.396, 0.384, 0.458, 0.506, 0.428, 0.368, 0.454, 0.3727454909819639]"
45,"[0.38323353293413176, 0.446, 0.432, 0.458, 0.458, 0.478, 0.418, 0.506, 0.396, 0.404, 0.508, 0.444, 0.418, 0.444, 0.474, 0.424, 0.386, 0.432, 0.42, 0.4188376753507014]"
46,"[0.41916167664670656, 0.476, 0.516, 0.45, 0.502, 0.452, 0.434, 0.482, 0.312, 0.376, 0.514, 0.502, 0.374, 0.402, 0.474, 0.534, 0.442, 0.384, 0.432, 0.3847695390781563]"
47,"[0.36926147704590817, 0.418, 0.422, 0.468, 0.51, 0.492, 0.412, 0.514, 0.408, 0.428, 0.516, 0.458, 0.412, 0.47, 0.47, 0.368, 0.396, 0.464, 0.384, 0.4408817635270541]"
48,"[0.4590818363273453, 0.394, 0.398, 0.46, 0.5, 0.46, 0.458, 0.51, 0.324, 0.388, 0.516, 0.528, 0.408, 0.434, 0.476, 0.448, 0.42, 0.416, 0.418, 0.4188376753507014]"
49,"[0.3812375249500998, 0.438, 0.444, 0.484, 0.534, 0.488, 0.424, 0.514, 0.432, 0.442, 0.512, 0.452, 0.448, 0.516, 0.464, 0.362, 0.402, 0.498, 0.384, 0.48296593186372744]"
50,"[0.47105788423153694, 0.408, 0.382, 0.472, 0.5, 0.462, 0.474, 0.524, 0.386, 0.416, 0.56, 0.558, 0.43, 0.454, 0.482, 0.448, 0.41, 0.43, 0.426, 0.4288577154308617]"
51,"[0.38922155688622756, 0.45, 0.454, 0.488, 0.536, 0.498, 0.44, 0.542, 0.44, 0.46, 0.49, 0.438, 0.476, 0.532, 0.466, 0.41, 0.418, 0.522, 0.41, 0.501002004008016]"
52,"[0.4810379241516966, 0.47, 0.434, 0.474, 0.452, 0.48, 0.478, 0.552, 0.388, 0.436, 0.57, 0.566, 0.424, 0.456, 0.466, 0.47, 0.42, 0.416, 0.448, 0.42084168336673344]"
53,"[0.405189620758483, 0.486, 0.402, 0.478, 0.526, 0.508, 0.45, 0.564, 0.438, 0.48, 0.486, 0.41, 0.488, 0.552, 0.482, 0.424, 0.46, 0.558, 0.42, 0.49298597194388777]"
54,"[0.49101796407185627, 0.46, 0.49, 0.492, 0.446, 0.488, 0.49, 0.556, 0.39, 0.454, 0.556, 0.48, 0.416, 0.432, 0.494, 0.484, 0.442, 0.414, 0.456, 0.4088176352705411]"
55,"[0.42115768463073855, 0.474, 0.418, 0.462, 0.5, 0.488, 0.454, 0.554, 0.47, 0.496, 0.49, 0.464, 0.498, 0.566, 0.502, 0.428, 0.468, 0.56, 0.404, 0.5070140280561122]"
56,"[0.5129740518962076, 0.466, 0.52, 0.494, 0.426, 0.492, 0.52, 0.544, 0.38, 0.48, 0.568, 0.476, 0.434, 0.488, 0.474, 0.494, 0.452, 0.438, 0.47, 0.4088176352705411]"
57,"[0.4491017964071856, 0.482, 0.442, 0.488, 0.486, 0.492, 0.448, 0.51, 0.482, 0.516, 0.54, 0.496, 0.504, 0.534, 0.52, 0.48, 0.434, 0.534, 0.44, 0.533066132264529]"
58,"[0.5149700598802395, 0.47, 0.512, 0.468, 0.39, 0.512, 0.528, 0.516, 0.386, 0.46, 0.538, 0.454, 0.474, 0.516, 0.488, 0.5, 0.474, 0.438, 0.472, 0.4909819639278557]"
59,"[0.49101796407185627, 0.486, 0.484, 0.5, 0.454, 0.484, 0.478, 0.482, 0.5, 0.48, 0.538, 0.45, 0.472, 0.436, 0.52, 0.494, 0.426, 0.502, 0.426, 0.5450901803607214]"
60,"[0.530938123752495, 0.48, 0.488, 0.438, 0.39, 0.496, 0.522, 0.52, 0.41, 0.428, 0.522, 0.426, 0.482, 0.51, 0.482, 0.514, 0.492, 0.478, 0.488, 0.4909819639278557]"
61,"[0.49500998003992014, 0.474, 0.504, 0.5, 0.452, 0.39, 0.534, 0.456, 0.5, 0.442, 0.526, 0.466, 0.414, 0.402, 0.506, 0.47, 0.45, 0.488, 0.428, 0.4589178356713427]"
62,"[0.47904191616766467, 0.494, 0.476, 0.44, 0.4, 0.504, 0.524, 0.504, 0.426, 0.43, 0.484, 0.502, 0.498, 0.494, 0.46, 0.466, 0.474, 0.494, 0.486, 0.5130260521042084]"
