none,[]
0,"[0.10778443113772455, 0.098, 0.136, 0.114, 0.09, 0.092, 0.078, 0.086, 0.204, 0.196, 0.112, 0.12, 0.108, 0.116, 0.096, 0.14, 0.098, 0.088, 0.166, 0.15030060120240482]"
1,"[0.09580838323353294, 0.108, 0.114, 0.114, 0.092, 0.126, 0.096, 0.092, 0.114, 0.102, 0.072, 0.094, 0.102, 0.116, 0.082, 0.082, 0.106, 0.12, 0.08, 0.0781563126252505]"
2,"[0.09580838323353294, 0.094, 0.114, 0.114, 0.092, 0.126, 0.096, 0.092, 0.114, 0.102, 0.07, 0.11, 0.102, 0.116, 0.082, 0.126, 0.094, 0.088, 0.08, 0.0781563126252505]"
3,"[0.09580838323353294, 0.108, 0.114, 0.114, 0.092, 0.126, 0.096, 0.092, 0.114, 0.116, 0.07, 0.11, 0.102, 0.116, 0.082, 0.126, 0.094, 0.12, 0.08, 0.0781563126252505]"
4,"[0.09580838323353294, 0.108, 0.114, 0.114, 0.092, 0.126, 0.096, 0.092, 0.194, 0.102, 0.134, 0.11, 0.102, 0.116, 0.082, 0.126, 0.094, 0.088, 0.08, 0.0781563126252505]"
5,"[0.09580838323353294, 0.108, 0.114, 0.114, 0.092, 0.126, 0.096, 0.092, 0.114, 0.156, 0.13, 0.11, 0.102, 0.232, 0.082, 0.092, 0.094, 0.114, 0.08, 0.0781563126252505]"
6,"[0.09580838323353294, 0.11, 0.114, 0.114, 0.092, 0.126, 0.096, 0.092, 0.084, 0.102, 0.184, 0.11, 0.102, 0.116, 0.082, 0.126, 0.094, 0.088, 0.114, 0.1523046092184369]"
7,"[0.09580838323353294, 0.108, 0.114, 0.12, 0.092, 0.126, 0.096, 0.092, 0.114, 0.236, 0.132, 0.11, 0.102, 0.096, 0.082, 0.092, 0.094, 0.106, 0.08, 0.0781563126252505]"
8,"[0.18163672654690619, 0.122, 0.114, 0.136, 0.092, 0.128, 0.096, 0.158, 0.1, 0.102, 0.126, 0.11, 0.102, 0.116, 0.082, 0.126, 0.102, 0.088, 0.222, 0.16032064128256512]"
9,"[0.09580838323353294, 0.108, 0.118, 0.174, 0.092, 0.128, 0.096, 0.092, 0.114, 0.2, 0.136, 0.11, 0.11, 0.096, 0.108, 0.088, 0.094, 0.098, 0.08, 0.0781563126252505]"
10,"[0.09580838323353294, 0.244, 0.114, 0.144, 0.092, 0.144, 0.152, 0.194, 0.084, 0.102, 0.16, 0.11, 0.102, 0.116, 0.192, 0.126, 0.138, 0.088, 0.24, 0.16032064128256512]"
11,"[0.1317365269461078, 0.108, 0.136, 0.178, 0.162, 0.212, 0.096, 0.092, 0.114, 0.206, 0.07, 0.208, 0.226, 0.096, 0.124, 0.088, 0.094, 0.11, 0.08, 0.0781563126252505]"
