none,[]
0,"[0.13466334164588528, 0.0825, 0.095, 0.1075, 0.0825, 0.085, 0.0675, 0.085, 0.1225, 0.0875, 0.0825, 0.1, 0.095, 0.11, 0.075, 0.085, 0.1075, 0.095, 0.095, 0.1275, 0.1075, 0.1025, 0.185, 0.0975, 0.09523809523809523]"
1,"[0.08229426433915212, 0.095, 0.08, 0.085, 0.12, 0.1, 0.125, 0.0975, 0.0925, 0.1125, 0.1125, 0.1, 0.105, 0.1, 0.105, 0.0875, 0.1075, 0.1, 0.0925, 0.1275, 0.0825, 0.115, 0.12, 0.0925, 0.09523809523809523]"
2,"[0.08229426433915212, 0.095, 0.08, 0.0925, 0.0825, 0.1, 0.125, 0.0975, 0.0925, 0.1125, 0.1125, 0.1, 0.0725, 0.1, 0.105, 0.105, 0.1075, 0.1, 0.0925, 0.1275, 0.0825, 0.115, 0.12, 0.0975, 0.09523809523809523]"
3,"[0.08229426433915212, 0.095, 0.08, 0.0925, 0.0825, 0.1, 0.125, 0.0975, 0.1225, 0.1125, 0.1125, 0.1, 0.0725, 0.1, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.1275, 0.0825, 0.115, 0.12, 0.0875, 0.10275689223057644]"
4,"[0.10473815461346633, 0.095, 0.08, 0.0925, 0.0825, 0.1, 0.125, 0.11, 0.1225, 0.1125, 0.1125, 0.125, 0.11, 0.1225, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.1275, 0.0825, 0.115, 0.12, 0.0875, 0.10275689223057644]"
5,"[0.1970074812967581, 0.19, 0.195, 0.205, 0.1675, 0.1375, 0.17, 0.175, 0.1825, 0.195, 0.2125, 0.2125, 0.19, 0.2275, 0.2275, 0.11, 0.13, 0.105, 0.185, 0.18, 0.1275, 0.115, 0.165, 0.1375, 0.12280701754385964]"
6,"[0.2169576059850374, 0.1925, 0.2625, 0.2275, 0.1975, 0.3175, 0.1975, 0.2125, 0.2, 0.1725, 0.235, 0.21, 0.2325, 0.2625, 0.1275, 0.2625, 0.23, 0.245, 0.27, 0.245, 0.3025, 0.225, 0.1825, 0.175, 0.2531328320802005]"
7,"[0.1371571072319202, 0.15, 0.2025, 0.2075, 0.1775, 0.185, 0.185, 0.185, 0.1675, 0.17, 0.1425, 0.1675, 0.195, 0.1425, 0.165, 0.21, 0.1175, 0.095, 0.19, 0.165, 0.2375, 0.1825, 0.1675, 0.1825, 0.2882205513784461]"
8,"[0.1571072319201995, 0.28, 0.2175, 0.24, 0.2725, 0.22, 0.175, 0.2725, 0.19, 0.1425, 0.16, 0.205, 0.225, 0.1975, 0.175, 0.3075, 0.2475, 0.185, 0.2675, 0.1975, 0.27, 0.29, 0.26, 0.1925, 0.3483709273182957]"
9,"[0.2743142144638404, 0.295, 0.2875, 0.2175, 0.2225, 0.2475, 0.2975, 0.23, 0.22, 0.2875, 0.345, 0.28, 0.3375, 0.3775, 0.25, 0.315, 0.2075, 0.35, 0.325, 0.205, 0.365, 0.335, 0.28, 0.355, 0.3258145363408521]"
