eigenvector_centrality,[20 12  8  9  3]
0,"[0.08229426433915212, 0.0975, 0.095, 0.095, 0.1025, 0.1, 0.0675, 0.0975, 0.0925, 0.0925, 0.0825, 0.1, 0.105, 0.11, 0.12, 0.085, 0.12, 0.12, 0.0925, 0.1275, 0.1075, 0.115, 0.12, 0.095, 0.14035087719298245]"
1,"[0.08229426433915212, 0.095, 0.08, 0.115, 0.0825, 0.1, 0.125, 0.0975, 0.1225, 0.1125, 0.1125, 0.1, 0.105, 0.1, 0.105, 0.0875, 0.1075, 0.11, 0.0925, 0.1125, 0.22, 0.1025, 0.12, 0.095, 0.09523809523809523]"
2,"[0.08229426433915212, 0.095, 0.08, 0.0925, 0.0825, 0.1, 0.125, 0.0975, 0.1225, 0.1075, 0.1125, 0.0875, 0.08, 0.1, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.1275, 0.0825, 0.115, 0.12, 0.0875, 0.10025062656641603]"
3,"[0.08229426433915212, 0.0875, 0.08, 0.0925, 0.0825, 0.1, 0.125, 0.0975, 0.1225, 0.1125, 0.1125, 0.1, 0.08, 0.1, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.125, 0.0825, 0.115, 0.12, 0.0875, 0.10275689223057644]"
4,"[0.11471321695760599, 0.0875, 0.08, 0.0925, 0.0825, 0.1, 0.125, 0.0975, 0.15, 0.1125, 0.1125, 0.1, 0.0725, 0.1, 0.105, 0.085, 0.1075, 0.1, 0.1, 0.1275, 0.0825, 0.115, 0.12, 0.0875, 0.10275689223057644]"
5,"[0.08229426433915212, 0.095, 0.08, 0.1075, 0.0825, 0.1, 0.125, 0.0975, 0.1225, 0.1125, 0.1075, 0.1, 0.0725, 0.1, 0.0725, 0.11, 0.1075, 0.1, 0.1, 0.1325, 0.0825, 0.0975, 0.12, 0.0875, 0.10275689223057644]"
6,"[0.11221945137157108, 0.095, 0.08, 0.0925, 0.0825, 0.1, 0.11, 0.125, 0.1225, 0.1125, 0.1125, 0.1, 0.0725, 0.1, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.135, 0.1075, 0.115, 0.12, 0.1075, 0.10275689223057644]"
7,"[0.08229426433915212, 0.095, 0.1075, 0.1075, 0.0825, 0.1375, 0.125, 0.0975, 0.1225, 0.1125, 0.1075, 0.1, 0.065, 0.1, 0.075, 0.0975, 0.1075, 0.1, 0.105, 0.1275, 0.0825, 0.0825, 0.12, 0.0875, 0.10275689223057644]"
8,"[0.11221945137157108, 0.095, 0.08, 0.0925, 0.0825, 0.1, 0.1075, 0.085, 0.1225, 0.1175, 0.1125, 0.1375, 0.0725, 0.115, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.0975, 0.1075, 0.115, 0.1325, 0.0975, 0.10275689223057644]"
9,"[0.08229426433915212, 0.095, 0.0975, 0.1225, 0.0825, 0.085, 0.125, 0.0975, 0.1225, 0.1275, 0.1075, 0.0925, 0.0875, 0.1, 0.075, 0.0975, 0.1075, 0.1425, 0.165, 0.1275, 0.0825, 0.1025, 0.12, 0.0875, 0.10275689223057644]"
10,"[0.11221945137157108, 0.095, 0.08, 0.0925, 0.0825, 0.1, 0.1075, 0.0825, 0.1225, 0.1125, 0.1125, 0.1, 0.0725, 0.115, 0.105, 0.085, 0.1075, 0.1025, 0.0925, 0.0975, 0.1075, 0.115, 0.1025, 0.1, 0.10275689223057644]"
11,"[0.08229426433915212, 0.095, 0.0975, 0.115, 0.0825, 0.085, 0.125, 0.0975, 0.1225, 0.1175, 0.11, 0.085, 0.0725, 0.1, 0.075, 0.0975, 0.1075, 0.1, 0.125, 0.1275, 0.0825, 0.145, 0.145, 0.0875, 0.10526315789473684]"
