eigenvector_centrality,"([20, 3, 4, 1, 7], 6)"
0,"[0.12718204488778054, 0.1375, 0.095, 0.0925, 0.0825, 0.1, 0.09, 0.0925, 0.085, 0.1125, 0.11, 0.1, 0.125, 0.1025, 0.12, 0.1075, 0.1075, 0.1, 0.1175, 0.1025, 0.0825, 0.09, 0.125, 0.0975, 0.10025062656641603]"
1,"[0.12718204488778054, 0.095, 0.095, 0.0925, 0.085, 0.155, 0.1775, 0.0725, 0.095, 0.1175, 0.095, 0.09, 0.125, 0.14, 0.095, 0.095, 0.095, 0.185, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.0875, 0.10025062656641603]"
2,"[0.12718204488778054, 0.0825, 0.095, 0.0925, 0.085, 0.115, 0.09, 0.0725, 0.12, 0.1125, 0.095, 0.11, 0.125, 0.1025, 0.1925, 0.1025, 0.095, 0.185, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.095, 0.22807017543859648]"
3,"[0.22942643391521197, 0.0825, 0.1325, 0.0975, 0.085, 0.115, 0.09, 0.0725, 0.185, 0.1725, 0.19, 0.11, 0.2025, 0.22, 0.2, 0.0925, 0.095, 0.205, 0.165, 0.1025, 0.1025, 0.1275, 0.1875, 0.095, 0.09774436090225563]"
4,"[0.14962593516209477, 0.135, 0.1525, 0.1, 0.1275, 0.08, 0.2325, 0.1175, 0.175, 0.2325, 0.11, 0.185, 0.2075, 0.1275, 0.1575, 0.0775, 0.09, 0.13, 0.1375, 0.1325, 0.1975, 0.14, 0.0925, 0.1875, 0.09774436090225563]"
5,"[0.0798004987531172, 0.09, 0.1125, 0.0975, 0.11, 0.14, 0.12, 0.105, 0.1125, 0.085, 0.09, 0.0825, 0.095, 0.0825, 0.1, 0.135, 0.1225, 0.0725, 0.1325, 0.1175, 0.155, 0.105, 0.0775, 0.1325, 0.11027568922305764]"
6,"[0.0798004987531172, 0.0825, 0.1125, 0.095, 0.1075, 0.1375, 0.11, 0.1025, 0.1125, 0.085, 0.085, 0.08, 0.095, 0.0775, 0.09, 0.1175, 0.1175, 0.0725, 0.1125, 0.1125, 0.145, 0.1075, 0.075, 0.12, 0.09523809523809523]"
7,"[0.0798004987531172, 0.11, 0.1125, 0.1025, 0.1075, 0.14, 0.11, 0.0925, 0.1125, 0.085, 0.085, 0.0825, 0.095, 0.08, 0.0875, 0.1175, 0.1175, 0.0725, 0.115, 0.1125, 0.1475, 0.105, 0.0775, 0.12, 0.09523809523809523]"
8,"[0.11970074812967581, 0.1075, 0.1375, 0.1325, 0.1125, 0.1525, 0.1675, 0.125, 0.12, 0.12, 0.165, 0.1175, 0.1225, 0.125, 0.1225, 0.1675, 0.1425, 0.1075, 0.1675, 0.1475, 0.1725, 0.1475, 0.11, 0.175, 0.12280701754385964]"
9,"[0.26184538653366585, 0.3125, 0.285, 0.265, 0.285, 0.2425, 0.255, 0.295, 0.295, 0.305, 0.2225, 0.245, 0.275, 0.1925, 0.2675, 0.2975, 0.3, 0.265, 0.2375, 0.2475, 0.295, 0.2675, 0.2175, 0.2175, 0.2506265664160401]"
10,"[0.2793017456359102, 0.2075, 0.3475, 0.335, 0.285, 0.33, 0.3925, 0.2625, 0.32, 0.3375, 0.41, 0.3075, 0.3675, 0.3025, 0.315, 0.38, 0.35, 0.3225, 0.4, 0.375, 0.4475, 0.4075, 0.325, 0.3825, 0.3032581453634085]"
11,"[0.43640897755610975, 0.44, 0.45, 0.3875, 0.3975, 0.455, 0.415, 0.3575, 0.525, 0.4375, 0.305, 0.4225, 0.5, 0.4375, 0.45, 0.525, 0.4875, 0.425, 0.2975, 0.315, 0.4475, 0.47, 0.395, 0.27, 0.46365914786967416]"
12,"[0.513715710723192, 0.16, 0.5275, 0.4775, 0.26, 0.545, 0.43, 0.26, 0.4175, 0.4825, 0.5075, 0.4425, 0.46, 0.48, 0.4175, 0.445, 0.5, 0.5025, 0.3525, 0.4575, 0.52, 0.4775, 0.54, 0.32, 0.49373433583959897]"
13,"[0.42643391521197005, 0.33, 0.4525, 0.385, 0.3375, 0.465, 0.4875, 0.43, 0.3225, 0.485, 0.28, 0.4225, 0.485, 0.49, 0.425, 0.39, 0.525, 0.4675, 0.23, 0.27, 0.275, 0.39, 0.325, 0.3, 0.5413533834586466]"
14,"[0.32917705735660846, 0.2025, 0.465, 0.4825, 0.2125, 0.4675, 0.44, 0.22, 0.265, 0.45, 0.3725, 0.425, 0.4075, 0.4475, 0.25, 0.21, 0.4, 0.49, 0.31, 0.4175, 0.33, 0.4425, 0.3125, 0.2625, 0.3258145363408521]"
15,"[0.33665835411471323, 0.315, 0.39, 0.34, 0.325, 0.4275, 0.3925, 0.405, 0.285, 0.4375, 0.255, 0.3625, 0.46, 0.39, 0.375, 0.32, 0.47, 0.395, 0.235, 0.305, 0.265, 0.29, 0.2775, 0.2625, 0.44110275689223055]"
16,"[0.29177057356608477, 0.1925, 0.4125, 0.4625, 0.235, 0.425, 0.4375, 0.24, 0.2675, 0.3375, 0.3625, 0.3825, 0.42, 0.435, 0.2225, 0.2375, 0.3575, 0.445, 0.3, 0.42, 0.3075, 0.355, 0.3575, 0.3025, 0.3157894736842105]"
17,"[0.32169576059850374, 0.3275, 0.36, 0.3675, 0.32, 0.445, 0.3425, 0.365, 0.2775, 0.3625, 0.245, 0.3225, 0.4525, 0.3375, 0.335, 0.31, 0.395, 0.41, 0.245, 0.3125, 0.3275, 0.2325, 0.3075, 0.2625, 0.3684210526315789]"
18,"[0.29925187032418954, 0.15, 0.4275, 0.445, 0.25, 0.44, 0.4225, 0.2675, 0.3075, 0.305, 0.3575, 0.39, 0.415, 0.4025, 0.28, 0.2975, 0.3825, 0.4325, 0.2975, 0.4025, 0.29, 0.335, 0.3575, 0.3175, 0.3233082706766917]"
19,"[0.32169576059850374, 0.3425, 0.38, 0.37, 0.3175, 0.415, 0.3425, 0.3575, 0.3025, 0.3525, 0.285, 0.3525, 0.44, 0.3375, 0.34, 0.3175, 0.395, 0.3775, 0.28, 0.355, 0.33, 0.25, 0.3725, 0.35, 0.3358395989974937]"
20,"[0.3640897755610973, 0.3025, 0.4275, 0.4175, 0.28, 0.44, 0.3775, 0.2825, 0.35, 0.34, 0.365, 0.395, 0.3875, 0.37, 0.335, 0.29, 0.3775, 0.42, 0.3025, 0.3975, 0.29, 0.335, 0.38, 0.36, 0.3283208020050125]"
21,"[0.3167082294264339, 0.365, 0.3925, 0.375, 0.32, 0.3875, 0.3625, 0.38, 0.305, 0.3575, 0.2775, 0.3475, 0.4, 0.3125, 0.34, 0.3275, 0.415, 0.38, 0.325, 0.3725, 0.375, 0.295, 0.42, 0.3775, 0.3057644110275689]"
22,"[0.40399002493765584, 0.34, 0.4275, 0.3925, 0.2925, 0.455, 0.3775, 0.305, 0.405, 0.3875, 0.3625, 0.3875, 0.3825, 0.35, 0.3625, 0.27, 0.385, 0.4225, 0.3225, 0.36, 0.31, 0.335, 0.39, 0.3575, 0.3258145363408521]"
23,"[0.3266832917705736, 0.37, 0.3975, 0.455, 0.3275, 0.3875, 0.3875, 0.385, 0.32, 0.365, 0.2975, 0.3625, 0.35, 0.325, 0.3525, 0.35, 0.4225, 0.3875, 0.37, 0.335, 0.335, 0.345, 0.4475, 0.41, 0.3057644110275689]"
24,"[0.39900249376558605, 0.3675, 0.4425, 0.4, 0.34, 0.4575, 0.3825, 0.325, 0.39, 0.3975, 0.4, 0.3875, 0.42, 0.36, 0.3225, 0.2775, 0.4, 0.43, 0.3575, 0.265, 0.34, 0.335, 0.38, 0.3525, 0.3333333333333333]"
25,"[0.33915211970074816, 0.38, 0.43, 0.4825, 0.335, 0.39, 0.46, 0.38, 0.345, 0.3675, 0.34, 0.3775, 0.33, 0.325, 0.395, 0.3725, 0.4325, 0.4, 0.3975, 0.3525, 0.3225, 0.3475, 0.425, 0.4375, 0.3107769423558897]"
26,"[0.39900249376558605, 0.41, 0.45, 0.3975, 0.355, 0.4675, 0.4575, 0.3275, 0.405, 0.43, 0.4225, 0.395, 0.4375, 0.3725, 0.2525, 0.2775, 0.42, 0.4375, 0.35, 0.2425, 0.42, 0.3425, 0.3725, 0.34, 0.3408521303258145]"
27,"[0.3491271820448878, 0.375, 0.4575, 0.47, 0.395, 0.4025, 0.355, 0.3725, 0.335, 0.3675, 0.3775, 0.3775, 0.32, 0.3275, 0.405, 0.4025, 0.44, 0.45, 0.435, 0.3775, 0.3, 0.3375, 0.38, 0.4525, 0.3383458646616541]"
