betweeness_centrality,[10  3  0 14  8 13  4 39 44]
0,"[0.1210762331838565, 0.09865470852017937, 0.15695067264573992, 0.09865470852017937, 0.08520179372197309, 0.08071748878923767, 0.10762331838565023, 0.13004484304932734, 0.1031390134529148, 0.18385650224215247, 0.1036036036036036, 0.0945945945945946, 0.11261261261261261, 0.11711711711711711, 0.1036036036036036, 0.13963963963963963, 0.12612612612612611, 0.15765765765765766, 0.07207207207207207, 0.07657657657657657, 0.19369369369369369, 0.12162162162162163, 0.09009009009009009, 0.08558558558558559, 0.0990990990990991, 0.07657657657657657, 0.15315315315315314, 0.31981981981981983, 0.04954954954954955, 0.09009009009009009, 0.15315315315315314, 0.0990990990990991, 0.07657657657657657, 0.1036036036036036, 0.1981981981981982, 0.07657657657657657, 0.0990990990990991, 0.12612612612612611, 0.17117117117117117, 0.08108108108108109, 0.23423423423423423, 0.2882882882882883, 0.22522522522522523, 0.07657657657657657, 0.17567567567567569]"
1,"[0.1210762331838565, 0.09417040358744394, 0.30493273542600896, 0.09865470852017937, 0.08968609865470852, 0.1210762331838565, 0.34080717488789236, 0.08520179372197309, 0.14349775784753363, 0.09417040358744394, 0.0945945945945946, 0.08558558558558559, 0.11261261261261261, 0.13513513513513514, 0.10810810810810811, 0.16216216216216217, 0.0945945945945946, 0.0945945945945946, 0.14414414414414414, 0.22972972972972974, 0.32882882882882886, 0.0990990990990991, 0.13063063063063063, 0.18018018018018017, 0.13063063063063063, 0.09009009009009009, 0.15315315315315314, 0.12612612612612611, 0.10810810810810811, 0.08558558558558559, 0.2702702702702703, 0.13963963963963963, 0.43243243243243246, 0.0990990990990991, 0.3738738738738739, 0.10810810810810811, 0.2072072072072072, 0.07657657657657657, 0.1981981981981982, 0.08108108108108109, 0.18018018018018017, 0.23873873873873874, 0.2972972972972973, 0.11261261261261261, 0.0990990990990991]"
2,"[0.1210762331838565, 0.09417040358744394, 0.08071748878923767, 0.09865470852017937, 0.08968609865470852, 0.16143497757847533, 0.10762331838565023, 0.08520179372197309, 0.14349775784753363, 0.273542600896861, 0.1036036036036036, 0.08558558558558559, 0.11261261261261261, 0.13513513513513514, 0.10810810810810811, 0.23423423423423423, 0.0945945945945946, 0.0945945945945946, 0.13063063063063063, 0.07657657657657657, 0.2972972972972973, 0.07657657657657657, 0.1036036036036036, 0.1036036036036036, 0.13063063063063063, 0.09009009009009009, 0.09009009009009009, 0.2972972972972973, 0.10810810810810811, 0.08558558558558559, 0.20270270270270271, 0.13963963963963963, 0.06756756756756757, 0.0990990990990991, 0.2072072072072072, 0.10810810810810811, 0.11711711711711711, 0.13063063063063063, 0.20270270270270271, 0.08108108108108109, 0.17117117117117117, 0.21171171171171171, 0.0945945945945946, 0.11711711711711711, 0.0990990990990991]"
3,"[0.1210762331838565, 0.09417040358744394, 0.2914798206278027, 0.09865470852017937, 0.08968609865470852, 0.09417040358744394, 0.39461883408071746, 0.08520179372197309, 0.14349775784753363, 0.13452914798206278, 0.1036036036036036, 0.08558558558558559, 0.11261261261261261, 0.13513513513513514, 0.10810810810810811, 0.11261261261261261, 0.0945945945945946, 0.0945945945945946, 0.13063063063063063, 0.22072072072072071, 0.4369369369369369, 0.05855855855855856, 0.09009009009009009, 0.08558558558558559, 0.13063063063063063, 0.09009009009009009, 0.06306306306306306, 0.10810810810810811, 0.10810810810810811, 0.08558558558558559, 0.38288288288288286, 0.13963963963963963, 0.27927927927927926, 0.0990990990990991, 0.42792792792792794, 0.10810810810810811, 0.11711711711711711, 0.09009009009009009, 0.3063063063063063, 0.08108108108108109, 0.3333333333333333, 0.17117117117117117, 0.2927927927927928, 0.15765765765765766, 0.0990990990990991]"
4,"[0.1210762331838565, 0.09417040358744394, 0.10762331838565023, 0.09865470852017937, 0.08968609865470852, 0.09417040358744394, 0.10762331838565023, 0.08520179372197309, 0.14349775784753363, 0.33183856502242154, 0.1036036036036036, 0.08558558558558559, 0.11261261261261261, 0.13513513513513514, 0.10810810810810811, 0.11261261261261261, 0.0945945945945946, 0.0945945945945946, 0.10810810810810811, 0.07657657657657657, 0.3333333333333333, 0.05855855855855856, 0.09009009009009009, 0.08558558558558559, 0.13063063063063063, 0.09009009009009009, 0.06306306306306306, 0.44594594594594594, 0.10810810810810811, 0.08558558558558559, 0.1981981981981982, 0.13963963963963963, 0.06756756756756757, 0.0990990990990991, 0.21621621621621623, 0.10810810810810811, 0.11711711711711711, 0.09009009009009009, 0.18468468468468469, 0.08108108108108109, 0.16666666666666666, 0.21171171171171171, 0.16216216216216217, 0.12162162162162163, 0.08558558558558559]"
5,"[0.1210762331838565, 0.09417040358744394, 0.29596412556053814, 0.09865470852017937, 0.08968609865470852, 0.09417040358744394, 0.35874439461883406, 0.08520179372197309, 0.14349775784753363, 0.25112107623318386, 0.1036036036036036, 0.08558558558558559, 0.11261261261261261, 0.13513513513513514, 0.10810810810810811, 0.11261261261261261, 0.0945945945945946, 0.0945945945945946, 0.10810810810810811, 0.21171171171171171, 0.45045045045045046, 0.05855855855855856, 0.09009009009009009, 0.08558558558558559, 0.13063063063063063, 0.09009009009009009, 0.06306306306306306, 0.10810810810810811, 0.10810810810810811, 0.08558558558558559, 0.4009009009009009, 0.13963963963963963, 0.30180180180180183, 0.0990990990990991, 0.2882882882882883, 0.10810810810810811, 0.11711711711711711, 0.09009009009009009, 0.28378378378378377, 0.08108108108108109, 0.3738738738738739, 0.07207207207207207, 0.31981981981981983, 0.12162162162162163, 0.08558558558558559]"
6,"[0.1210762331838565, 0.09417040358744394, 0.10762331838565023, 0.09865470852017937, 0.08968609865470852, 0.09417040358744394, 0.10762331838565023, 0.08520179372197309, 0.14349775784753363, 0.31390134529147984, 0.1036036036036036, 0.08558558558558559, 0.11261261261261261, 0.13513513513513514, 0.10810810810810811, 0.11261261261261261, 0.0945945945945946, 0.0945945945945946, 0.10810810810810811, 0.07657657657657657, 0.3738738738738739, 0.05855855855855856, 0.09009009009009009, 0.08558558558558559, 0.13063063063063063, 0.09009009009009009, 0.06306306306306306, 0.38738738738738737, 0.10810810810810811, 0.08558558558558559, 0.2072072072072072, 0.13963963963963963, 0.06756756756756757, 0.0990990990990991, 0.22522522522522523, 0.10810810810810811, 0.11711711711711711, 0.09009009009009009, 0.17117117117117117, 0.08108108108108109, 0.12162162162162163, 0.34684684684684686, 0.12612612612612611, 0.12162162162162163, 0.08558558558558559]"
7,"[0.1210762331838565, 0.09417040358744394, 0.30493273542600896, 0.09865470852017937, 0.08968609865470852, 0.09417040358744394, 0.35874439461883406, 0.08520179372197309, 0.14349775784753363, 0.24663677130044842, 0.1036036036036036, 0.08558558558558559, 0.11261261261261261, 0.13513513513513514, 0.10810810810810811, 0.11261261261261261, 0.0945945945945946, 0.0945945945945946, 0.10810810810810811, 0.21621621621621623, 0.4144144144144144, 0.05855855855855856, 0.09009009009009009, 0.08558558558558559, 0.13063063063063063, 0.09009009009009009, 0.06306306306306306, 0.10810810810810811, 0.10810810810810811, 0.08558558558558559, 0.4369369369369369, 0.13963963963963963, 0.2927927927927928, 0.0990990990990991, 0.22972972972972974, 0.10810810810810811, 0.11711711711711711, 0.09009009009009009, 0.26576576576576577, 0.08108108108108109, 0.45495495495495497, 0.07207207207207207, 0.36936936936936937, 0.12162162162162163, 0.08558558558558559]"
8,"[0.1210762331838565, 0.09417040358744394, 0.11210762331838565, 0.09865470852017937, 0.08968609865470852, 0.09417040358744394, 0.10762331838565023, 0.08520179372197309, 0.14349775784753363, 0.2914798206278027, 0.1036036036036036, 0.08558558558558559, 0.11261261261261261, 0.13513513513513514, 0.10810810810810811, 0.11261261261261261, 0.0945945945945946, 0.0945945945945946, 0.10810810810810811, 0.07657657657657657, 0.3918918918918919, 0.05855855855855856, 0.09009009009009009, 0.08558558558558559, 0.13063063063063063, 0.09009009009009009, 0.06306306306306306, 0.33783783783783783, 0.10810810810810811, 0.08558558558558559, 0.21171171171171171, 0.13963963963963963, 0.06756756756756757, 0.0990990990990991, 0.22072072072072071, 0.10810810810810811, 0.11711711711711711, 0.09009009009009009, 0.17567567567567569, 0.08108108108108109, 0.12162162162162163, 0.31981981981981983, 0.12162162162162163, 0.12162162162162163, 0.08558558558558559]"
