eigenvector_centrality,"[0, 18]"
0,"[0.11970074812967581, 0.1, 0.1375, 0.085, 0.19, 0.105, 0.125, 0.085, 0.1125, 0.085, 0.1175, 0.1, 0.1225, 0.1, 0.0875, 0.0975, 0.1025, 0.1, 0.08, 0.1325, 0.085, 0.09, 0.095, 0.1675, 0.16541353383458646]"
1,"[0.07481296758104738, 0.1075, 0.1375, 0.0575, 0.1, 0.1475, 0.0875, 0.12, 0.1225, 0.1125, 0.0925, 0.1, 0.0725, 0.1, 0.12, 0.085, 0.0925, 0.12, 0.0675, 0.1325, 0.085, 0.11, 0.105, 0.0875, 0.09774436090225563]"
2,"[0.11970074812967581, 0.0975, 0.1375, 0.0775, 0.0975, 0.1, 0.14, 0.0975, 0.1225, 0.1125, 0.1125, 0.1, 0.05, 0.1, 0.06, 0.085, 0.0925, 0.12, 0.08, 0.205, 0.0175, 0.09, 0.095, 0.0925, 0.09523809523809523]"
3,"[0.07481296758104738, 0.1075, 0.1, 0.05, 0.1, 0.0975, 0.0675, 0.0975, 0.1225, 0.1125, 0.0925, 0.1, 0.0725, 0.1, 0.12, 0.085, 0.0925, 0.12, 0.08, 0.1875, 0.12, 0.11, 0.105, 0.0875, 0.09774436090225563]"
4,"[0.07481296758104738, 0.1075, 0.1, 0.0925, 0.0975, 0.1, 0.1225, 0.0975, 0.1225, 0.1125, 0.1125, 0.1, 0.0725, 0.1, 0.11, 0.085, 0.0925, 0.12, 0.08, 0.1275, 0.12, 0.09, 0.105, 0.0925, 0.09523809523809523]"
5,"[0.11970074812967581, 0.135, 0.1, 0.0925, 0.0975, 0.1, 0.125, 0.0975, 0.1225, 0.1125, 0.0925, 0.1, 0.0725, 0.1025, 0.12, 0.085, 0.0925, 0.12, 0.0925, 0.1275, 0.12, 0.11, 0.105, 0.1175, 0.09523809523809523]"
6,"[0.07481296758104738, 0.1575, 0.1, 0.0925, 0.0975, 0.1, 0.185, 0.0975, 0.135, 0.1125, 0.11, 0.1225, 0.1275, 0.0875, 0.1125, 0.105, 0.1075, 0.18, 0.085, 0.12, 0.12, 0.09, 0.1075, 0.0925, 0.09523809523809523]"
7,"[0.11970074812967581, 0.135, 0.1125, 0.0925, 0.0975, 0.12, 0.15, 0.135, 0.1375, 0.1525, 0.12, 0.09, 0.15, 0.0875, 0.12, 0.0775, 0.1875, 0.1575, 0.1525, 0.0925, 0.1025, 0.11, 0.105, 0.0875, 0.09774436090225563]"
8,"[0.14962593516209477, 0.1, 0.1675, 0.0925, 0.1425, 0.13, 0.11, 0.1275, 0.135, 0.1175, 0.11, 0.09, 0.2125, 0.0875, 0.095, 0.0775, 0.09, 0.1075, 0.1725, 0.08, 0.1325, 0.09, 0.095, 0.09, 0.15538847117794485]"
9,"[0.14463840399002495, 0.1, 0.1625, 0.0925, 0.1675, 0.0825, 0.2875, 0.1275, 0.2125, 0.145, 0.11, 0.09, 0.1075, 0.0875, 0.12, 0.0775, 0.09, 0.105, 0.1175, 0.165, 0.1075, 0.0925, 0.0975, 0.0875, 0.09774436090225563]"
10,"[0.16957605985037408, 0.1, 0.1225, 0.18, 0.2325, 0.18, 0.2025, 0.18, 0.1675, 0.1625, 0.185, 0.1325, 0.2525, 0.09, 0.1325, 0.165, 0.09, 0.2075, 0.1775, 0.12, 0.175, 0.175, 0.1325, 0.0875, 0.09774436090225563]"
11,"[0.1172069825436409, 0.13, 0.26, 0.13, 0.1675, 0.175, 0.1875, 0.165, 0.15, 0.085, 0.145, 0.09, 0.165, 0.205, 0.17, 0.115, 0.2175, 0.1875, 0.1875, 0.2375, 0.155, 0.175, 0.1, 0.1725, 0.2631578947368421]"
12,"[0.33665835411471323, 0.105, 0.17, 0.12, 0.2275, 0.3525, 0.1825, 0.18, 0.255, 0.155, 0.0875, 0.1625, 0.285, 0.195, 0.1575, 0.295, 0.185, 0.2525, 0.2475, 0.1475, 0.26, 0.105, 0.1725, 0.1575, 0.19047619047619047]"
