none,[]
0,"[0.09975062344139651, 0.1, 0.08, 0.095, 0.095, 0.1325, 0.15, 0.085, 0.1225, 0.09, 0.0925, 0.1175, 0.085, 0.1025, 0.1225, 0.1125, 0.095, 0.1, 0.13, 0.1575, 0.095, 0.09, 0.12, 0.0975, 0.09523809523809523]"
1,"[0.10972568578553615, 0.095, 0.075, 0.0875, 0.135, 0.1, 0.13, 0.0775, 0.085, 0.1125, 0.11, 0.0975, 0.1075, 0.0975, 0.095, 0.115, 0.1075, 0.095, 0.0925, 0.105, 0.095, 0.1075, 0.115, 0.0875, 0.12280701754385964]"
2,"[0.08229426433915212, 0.095, 0.1425, 0.0925, 0.0825, 0.1, 0.125, 0.0775, 0.105, 0.09, 0.11, 0.0975, 0.085, 0.1025, 0.1225, 0.1125, 0.1075, 0.095, 0.0925, 0.1275, 0.075, 0.1075, 0.09, 0.0975, 0.10025062656641603]"
3,"[0.10972568578553615, 0.095, 0.09, 0.0925, 0.0825, 0.1, 0.125, 0.0775, 0.085, 0.09, 0.11, 0.0975, 0.1075, 0.0975, 0.095, 0.115, 0.1075, 0.095, 0.0925, 0.1, 0.0825, 0.1075, 0.115, 0.0875, 0.10275689223057644]"
4,"[0.08229426433915212, 0.095, 0.1375, 0.0925, 0.0825, 0.1, 0.125, 0.0775, 0.115, 0.09, 0.1, 0.1175, 0.095, 0.1025, 0.1225, 0.1125, 0.1075, 0.095, 0.0925, 0.1275, 0.095, 0.1025, 0.0725, 0.0975, 0.10275689223057644]"
5,"[0.18952618453865336, 0.095, 0.1375, 0.0925, 0.0825, 0.095, 0.125, 0.0775, 0.085, 0.1075, 0.11, 0.1175, 0.095, 0.0975, 0.095, 0.115, 0.1075, 0.095, 0.0925, 0.1, 0.0825, 0.1075, 0.115, 0.0875, 0.10275689223057644]"
6,"[0.08229426433915212, 0.0575, 0.1375, 0.0925, 0.0825, 0.1, 0.125, 0.0775, 0.115, 0.09, 0.1, 0.1175, 0.095, 0.1025, 0.1075, 0.12, 0.1025, 0.095, 0.1225, 0.1275, 0.075, 0.12, 0.09, 0.095, 0.10025062656641603]"
7,"[0.12718204488778054, 0.095, 0.095, 0.095, 0.0825, 0.0825, 0.125, 0.0775, 0.085, 0.11, 0.1, 0.1175, 0.095, 0.0975, 0.095, 0.115, 0.1025, 0.095, 0.0925, 0.1, 0.075, 0.1075, 0.0925, 0.1125, 0.10275689223057644]"
8,"[0.12718204488778054, 0.0825, 0.1275, 0.16, 0.0825, 0.115, 0.09, 0.0775, 0.115, 0.09, 0.1, 0.1175, 0.095, 0.0925, 0.1075, 0.115, 0.1025, 0.095, 0.1, 0.1275, 0.075, 0.16, 0.09, 0.095, 0.10025062656641603]"
9,"[0.12718204488778054, 0.1025, 0.095, 0.095, 0.115, 0.0825, 0.095, 0.0775, 0.085, 0.11, 0.1, 0.11, 0.095, 0.0975, 0.095, 0.1075, 0.1025, 0.095, 0.1, 0.1025, 0.075, 0.1075, 0.09, 0.1125, 0.11278195488721804]"
10,"[0.12718204488778054, 0.0825, 0.1375, 0.1675, 0.0825, 0.115, 0.09, 0.0775, 0.115, 0.09, 0.1, 0.1175, 0.095, 0.0925, 0.1075, 0.12, 0.1025, 0.095, 0.1, 0.0725, 0.08, 0.1025, 0.09, 0.15, 0.11278195488721804]"
11,"[0.12718204488778054, 0.1025, 0.095, 0.095, 0.095, 0.175, 0.1675, 0.0775, 0.085, 0.11, 0.1, 0.11, 0.095, 0.0975, 0.095, 0.1075, 0.095, 0.095, 0.0825, 0.1025, 0.075, 0.1075, 0.09, 0.1125, 0.17042606516290726]"
12,"[0.12718204488778054, 0.0825, 0.1125, 0.095, 0.0825, 0.115, 0.09, 0.0775, 0.095, 0.09, 0.1, 0.1175, 0.095, 0.0925, 0.1075, 0.18, 0.1025, 0.095, 0.1325, 0.075, 0.08, 0.1025, 0.09, 0.11, 0.16040100250626566]"
13,"[0.12718204488778054, 0.1025, 0.095, 0.095, 0.095, 0.175, 0.09, 0.0775, 0.085, 0.1375, 0.1, 0.13, 0.095, 0.0975, 0.1025, 0.1075, 0.095, 0.1125, 0.0825, 0.1025, 0.075, 0.1175, 0.125, 0.11, 0.10025062656641603]"
14,"[0.12718204488778054, 0.0825, 0.0975, 0.095, 0.085, 0.115, 0.09, 0.0725, 0.095, 0.09, 0.095, 0.1175, 0.205, 0.0925, 0.1075, 0.0925, 0.1025, 0.095, 0.13, 0.14, 0.08, 0.1875, 0.09, 0.0875, 0.16290726817042606]"
15,"[0.12718204488778054, 0.1025, 0.095, 0.095, 0.095, 0.115, 0.09, 0.0775, 0.085, 0.1125, 0.1, 0.11, 0.095, 0.0975, 0.095, 0.1075, 0.095, 0.1125, 0.1075, 0.1025, 0.075, 0.07, 0.125, 0.095, 0.10025062656641603]"
16,"[0.12718204488778054, 0.0825, 0.095, 0.095, 0.085, 0.115, 0.09, 0.0725, 0.095, 0.09, 0.095, 0.1175, 0.125, 0.0925, 0.095, 0.0925, 0.1025, 0.095, 0.13, 0.11, 0.08, 0.1175, 0.09, 0.12, 0.14786967418546365]"
17,"[0.12718204488778054, 0.1025, 0.095, 0.095, 0.095, 0.115, 0.09, 0.0775, 0.085, 0.1125, 0.1, 0.11, 0.1025, 0.1025, 0.095, 0.125, 0.095, 0.1125, 0.0825, 0.1025, 0.075, 0.07, 0.125, 0.095, 0.10025062656641603]"
18,"[0.12718204488778054, 0.0825, 0.095, 0.095, 0.085, 0.115, 0.09, 0.0725, 0.095, 0.0875, 0.095, 0.2025, 0.125, 0.115, 0.095, 0.0925, 0.1025, 0.095, 0.13, 0.1025, 0.08, 0.1175, 0.19, 0.155, 0.11528822055137844]"
19,"[0.12718204488778054, 0.1025, 0.095, 0.095, 0.095, 0.115, 0.09, 0.0725, 0.175, 0.1125, 0.1, 0.11, 0.1975, 0.1025, 0.095, 0.1, 0.095, 0.1125, 0.0825, 0.1025, 0.075, 0.07, 0.125, 0.095, 0.10025062656641603]"
20,"[0.12718204488778054, 0.0825, 0.095, 0.095, 0.085, 0.115, 0.09, 0.0725, 0.095, 0.085, 0.095, 0.15, 0.125, 0.115, 0.095, 0.0925, 0.1025, 0.095, 0.13, 0.1025, 0.08, 0.115, 0.125, 0.1375, 0.10025062656641603]"
21,"[0.12718204488778054, 0.1025, 0.095, 0.095, 0.13, 0.115, 0.09, 0.0725, 0.095, 0.1125, 0.1, 0.11, 0.1325, 0.1025, 0.095, 0.1275, 0.095, 0.1125, 0.135, 0.1025, 0.135, 0.07, 0.125, 0.095, 0.10025062656641603]"
22,"[0.12718204488778054, 0.0825, 0.095, 0.095, 0.085, 0.115, 0.09, 0.0725, 0.095, 0.085, 0.095, 0.11, 0.125, 0.115, 0.095, 0.0925, 0.1025, 0.095, 0.13, 0.1025, 0.08, 0.0925, 0.125, 0.105, 0.10025062656641603]"
23,"[0.12718204488778054, 0.1025, 0.095, 0.095, 0.1525, 0.115, 0.09, 0.0725, 0.095, 0.1125, 0.1, 0.11, 0.125, 0.1025, 0.095, 0.165, 0.095, 0.1125, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.095, 0.10025062656641603]"
24,"[0.12718204488778054, 0.0825, 0.095, 0.095, 0.085, 0.115, 0.09, 0.0725, 0.095, 0.085, 0.095, 0.11, 0.125, 0.115, 0.095, 0.0925, 0.1025, 0.1775, 0.13, 0.1025, 0.08, 0.07, 0.125, 0.095, 0.10025062656641603]"
