eigenvector_centrality,[0]
0,"[0.196, 0.235, 0.108, 0.172, 0.208, 0.107, 0.15, 0.113, 0.143, 0.12]"
1,"[0.272, 0.086, 0.135, 0.097, 0.11, 0.117, 0.205, 0.085, 0.128, 0.115]"
2,"[0.088, 0.086, 0.108, 0.11, 0.11, 0.103, 0.196, 0.113, 0.22, 0.12]"
3,"[0.31, 0.158, 0.144, 0.097, 0.11, 0.103, 0.109, 0.085, 0.13, 0.391]"
4,"[0.141, 0.147, 0.108, 0.097, 0.11, 0.103, 0.177, 0.432, 0.174, 0.199]"
5,"[0.358, 0.365, 0.125, 0.097, 0.11, 0.152, 0.109, 0.193, 0.123, 0.452]"
6,"[0.106, 0.206, 0.108, 0.097, 0.23, 0.23, 0.149, 0.357, 0.349, 0.268]"
7,"[0.461, 0.329, 0.117, 0.15, 0.119, 0.201, 0.297, 0.24, 0.093, 0.378]"
8,"[0.103, 0.244, 0.236, 0.268, 0.196, 0.369, 0.119, 0.32, 0.453, 0.293]"
9,"[0.566, 0.292, 0.241, 0.175, 0.366, 0.264, 0.482, 0.259, 0.093, 0.328]"
10,"[0.107, 0.287, 0.297, 0.4, 0.292, 0.288, 0.104, 0.297, 0.581, 0.327]"
11,"[0.491, 0.226, 0.387, 0.199, 0.378, 0.272, 0.545, 0.258, 0.093, 0.377]"
12,"[0.155, 0.252, 0.283, 0.418, 0.284, 0.281, 0.135, 0.334, 0.433, 0.355]"
13,"[0.43, 0.313, 0.304, 0.209, 0.315, 0.306, 0.396, 0.274, 0.099, 0.404]"
14,"[0.251, 0.282, 0.205, 0.344, 0.275, 0.291, 0.168, 0.38, 0.354, 0.351]"
15,"[0.357, 0.343, 0.222, 0.148, 0.31, 0.301, 0.313, 0.294, 0.222, 0.45]"
16,"[0.244, 0.271, 0.198, 0.268, 0.229, 0.33, 0.156, 0.411, 0.263, 0.324]"
17,"[0.31, 0.29, 0.173, 0.141, 0.293, 0.26, 0.269, 0.29, 0.215, 0.402]"
18,"[0.251, 0.247, 0.204, 0.224, 0.199, 0.271, 0.156, 0.332, 0.237, 0.319]"
19,"[0.304, 0.289, 0.135, 0.159, 0.29, 0.245, 0.239, 0.28, 0.216, 0.393]"
20,"[0.242, 0.241, 0.205, 0.2, 0.184, 0.248, 0.172, 0.33, 0.232, 0.315]"
21,"[0.301, 0.287, 0.128, 0.174, 0.287, 0.239, 0.227, 0.283, 0.244, 0.401]"
22,"[0.248, 0.24, 0.218, 0.201, 0.183, 0.241, 0.196, 0.329, 0.234, 0.319]"
23,"[0.307, 0.287, 0.138, 0.176, 0.279, 0.245, 0.229, 0.288, 0.267, 0.422]"
24,"[0.266, 0.246, 0.228, 0.212, 0.202, 0.25, 0.215, 0.336, 0.238, 0.328]"
25,"[0.412, 0.29, 0.154, 0.175, 0.279, 0.262, 0.239, 0.295, 0.271, 0.429]"
26,"[0.491, 0.256, 0.239, 0.227, 0.217, 0.275, 0.234, 0.356, 0.366, 0.336]"
27,"[0.438, 0.312, 0.191, 0.19, 0.28, 0.269, 0.317, 0.302, 0.395, 0.426]"
28,"[0.438, 0.269, 0.257, 0.267, 0.235, 0.328, 0.224, 0.374, 0.334, 0.341]"
29,"[0.335, 0.327, 0.219, 0.208, 0.295, 0.289, 0.315, 0.312, 0.405, 0.428]"
