eigenvector_centrality,[0]
0,"[0.181, 0.093, 0.136, 0.105, 0.103, 0.105, 0.18, 0.191, 0.136, 0.092]"
1,"[0.201, 0.219, 0.129, 0.157, 0.103, 0.205, 0.11, 0.104, 0.101, 0.108]"
2,"[0.102, 0.206, 0.109, 0.143, 0.097, 0.195, 0.166, 0.254, 0.199, 0.215]"
3,"[0.193, 0.213, 0.253, 0.176, 0.331, 0.275, 0.104, 0.104, 0.091, 0.145]"
4,"[0.217, 0.262, 0.235, 0.218, 0.11, 0.167, 0.399, 0.294, 0.254, 0.18]"
5,"[0.277, 0.185, 0.22, 0.166, 0.337, 0.228, 0.199, 0.141, 0.188, 0.217]"
6,"[0.151, 0.302, 0.275, 0.199, 0.188, 0.169, 0.308, 0.357, 0.201, 0.126]"
7,"[0.228, 0.153, 0.211, 0.191, 0.315, 0.209, 0.089, 0.196, 0.197, 0.283]"
8,"[0.105, 0.315, 0.263, 0.267, 0.1, 0.239, 0.3, 0.325, 0.2, 0.208]"
9,"[0.297, 0.205, 0.203, 0.211, 0.341, 0.328, 0.229, 0.262, 0.236, 0.332]"
10,"[0.196, 0.366, 0.315, 0.301, 0.129, 0.39, 0.382, 0.37, 0.286, 0.115]"
11,"[0.377, 0.203, 0.21, 0.273, 0.434, 0.29, 0.248, 0.29, 0.334, 0.367]"
12,"[0.18, 0.394, 0.36, 0.342, 0.127, 0.316, 0.383, 0.378, 0.288, 0.123]"
13,"[0.326, 0.207, 0.217, 0.314, 0.389, 0.298, 0.325, 0.322, 0.195, 0.389]"
14,"[0.19, 0.356, 0.36, 0.364, 0.217, 0.247, 0.382, 0.372, 0.266, 0.213]"
15,"[0.317, 0.261, 0.164, 0.303, 0.362, 0.313, 0.282, 0.326, 0.155, 0.358]"
16,"[0.201, 0.334, 0.35, 0.338, 0.23, 0.21, 0.364, 0.362, 0.279, 0.224]"
17,"[0.308, 0.354, 0.171, 0.271, 0.314, 0.331, 0.258, 0.319, 0.156, 0.333]"
18,"[0.207, 0.324, 0.358, 0.334, 0.214, 0.234, 0.36, 0.352, 0.284, 0.235]"
19,"[0.326, 0.365, 0.187, 0.256, 0.3, 0.358, 0.249, 0.308, 0.17, 0.319]"
20,"[0.223, 0.314, 0.357, 0.333, 0.204, 0.294, 0.357, 0.354, 0.33, 0.224]"
21,"[0.353, 0.355, 0.205, 0.29, 0.326, 0.386, 0.255, 0.292, 0.198, 0.332]"
22,"[0.231, 0.342, 0.378, 0.337, 0.214, 0.354, 0.36, 0.365, 0.359, 0.256]"
23,"[0.363, 0.352, 0.231, 0.29, 0.34, 0.381, 0.256, 0.277, 0.248, 0.349]"
24,"[0.261, 0.385, 0.357, 0.357, 0.197, 0.372, 0.365, 0.386, 0.365, 0.283]"
25,"[0.376, 0.349, 0.265, 0.302, 0.333, 0.381, 0.266, 0.298, 0.267, 0.348]"
26,"[0.339, 0.43, 0.338, 0.361, 0.216, 0.364, 0.371, 0.394, 0.379, 0.293]"
27,"[0.427, 0.373, 0.301, 0.318, 0.31, 0.391, 0.299, 0.315, 0.221, 0.339]"
28,"[0.26, 0.378, 0.29, 0.359, 0.258, 0.281, 0.37, 0.393, 0.444, 0.321]"
29,"[0.398, 0.271, 0.347, 0.355, 0.303, 0.472, 0.33, 0.333, 0.219, 0.336]"
30,"[0.256, 0.366, 0.287, 0.36, 0.267, 0.241, 0.383, 0.379, 0.436, 0.347]"
31,"[0.388, 0.257, 0.42, 0.386, 0.304, 0.457, 0.357, 0.371, 0.213, 0.318]"
32,"[0.259, 0.363, 0.314, 0.369, 0.291, 0.276, 0.386, 0.386, 0.409, 0.416]"
33,"[0.409, 0.262, 0.404, 0.453, 0.303, 0.436, 0.415, 0.398, 0.229, 0.318]"
34,"[0.285, 0.423, 0.341, 0.396, 0.365, 0.279, 0.401, 0.389, 0.4, 0.483]"
35,"[0.445, 0.29, 0.39, 0.486, 0.304, 0.435, 0.461, 0.475, 0.248, 0.319]"
36,"[0.306, 0.441, 0.342, 0.401, 0.424, 0.292, 0.411, 0.393, 0.434, 0.486]"
37,"[0.454, 0.315, 0.388, 0.472, 0.293, 0.474, 0.47, 0.47, 0.296, 0.314]"
38,"[0.372, 0.441, 0.362, 0.385, 0.439, 0.379, 0.43, 0.42, 0.474, 0.473]"
39,"[0.5, 0.346, 0.406, 0.461, 0.332, 0.498, 0.498, 0.495, 0.366, 0.352]"
40,"[0.404, 0.497, 0.368, 0.384, 0.452, 0.422, 0.449, 0.434, 0.462, 0.473]"
41,"[0.485, 0.4, 0.43, 0.466, 0.376, 0.441, 0.514, 0.499, 0.397, 0.386]"
42,"[0.421, 0.477, 0.369, 0.424, 0.451, 0.432, 0.463, 0.443, 0.403, 0.532]"
43,"[0.452, 0.42, 0.385, 0.548, 0.425, 0.397, 0.508, 0.486, 0.408, 0.41]"
44,"[0.412, 0.448, 0.359, 0.428, 0.442, 0.427, 0.47, 0.448, 0.38, 0.551]"
45,"[0.45, 0.469, 0.376, 0.532, 0.419, 0.403, 0.494, 0.49, 0.445, 0.402]"
