eigenvector_centrality,[0]
0,"[0.103, 0.104, 0.108, 0.081, 0.157, 0.119, 0.114, 0.104, 0.098, 0.102]"
1,"[0.08, 0.104, 0.096, 0.122, 0.127, 0.112, 0.089, 0.104, 0.093, 0.12]"
2,"[0.103, 0.128, 0.181, 0.138, 0.1, 0.102, 0.177, 0.104, 0.168, 0.091]"
3,"[0.08, 0.114, 0.096, 0.122, 0.1, 0.09, 0.092, 0.104, 0.093, 0.103]"
4,"[0.103, 0.114, 0.083, 0.122, 0.1, 0.093, 0.109, 0.104, 0.114, 0.103]"
5,"[0.08, 0.114, 0.124, 0.122, 0.1, 0.09, 0.185, 0.104, 0.093, 0.103]"
6,"[0.103, 0.114, 0.083, 0.122, 0.1, 0.164, 0.109, 0.104, 0.098, 0.103]"
7,"[0.142, 0.114, 0.186, 0.122, 0.1, 0.09, 0.092, 0.104, 0.093, 0.103]"
8,"[0.103, 0.14, 0.083, 0.122, 0.102, 0.086, 0.109, 0.104, 0.098, 0.103]"
9,"[0.102, 0.114, 0.117, 0.122, 0.1, 0.09, 0.092, 0.104, 0.093, 0.103]"
10,"[0.103, 0.121, 0.179, 0.122, 0.189, 0.114, 0.109, 0.104, 0.098, 0.103]"
11,"[0.102, 0.114, 0.106, 0.122, 0.1, 0.09, 0.092, 0.104, 0.093, 0.108]"
12,"[0.103, 0.124, 0.106, 0.144, 0.187, 0.133, 0.109, 0.104, 0.098, 0.103]"
13,"[0.102, 0.114, 0.106, 0.122, 0.16, 0.09, 0.092, 0.104, 0.141, 0.166]"
14,"[0.103, 0.085, 0.178, 0.097, 0.193, 0.109, 0.109, 0.104, 0.098, 0.103]"
15,"[0.102, 0.114, 0.183, 0.122, 0.206, 0.09, 0.092, 0.112, 0.145, 0.18]"
16,"[0.084, 0.085, 0.097, 0.097, 0.193, 0.109, 0.109, 0.104, 0.098, 0.103]"
17,"[0.102, 0.124, 0.153, 0.122, 0.205, 0.09, 0.092, 0.113, 0.094, 0.181]"
18,"[0.078, 0.085, 0.097, 0.097, 0.192, 0.156, 0.109, 0.156, 0.098, 0.114]"
19,"[0.102, 0.188, 0.083, 0.122, 0.206, 0.09, 0.092, 0.113, 0.093, 0.181]"
20,"[0.119, 0.085, 0.098, 0.176, 0.139, 0.204, 0.109, 0.22, 0.098, 0.174]"
21,"[0.102, 0.26, 0.083, 0.122, 0.205, 0.09, 0.092, 0.113, 0.093, 0.181]"
22,"[0.103, 0.085, 0.098, 0.127, 0.186, 0.261, 0.109, 0.251, 0.098, 0.193]"
23,"[0.102, 0.283, 0.083, 0.122, 0.208, 0.09, 0.094, 0.113, 0.093, 0.181]"
24,"[0.103, 0.085, 0.101, 0.101, 0.189, 0.24, 0.173, 0.206, 0.098, 0.2]"
25,"[0.102, 0.238, 0.083, 0.122, 0.169, 0.092, 0.104, 0.113, 0.093, 0.181]"
26,"[0.103, 0.085, 0.155, 0.101, 0.19, 0.206, 0.184, 0.209, 0.098, 0.204]"
27,"[0.102, 0.242, 0.083, 0.122, 0.094, 0.118, 0.162, 0.114, 0.093, 0.277]"
28,"[0.103, 0.118, 0.186, 0.101, 0.189, 0.197, 0.214, 0.221, 0.098, 0.226]"
29,"[0.102, 0.251, 0.083, 0.122, 0.094, 0.117, 0.195, 0.179, 0.093, 0.277]"
30,"[0.156, 0.101, 0.14, 0.101, 0.188, 0.248, 0.199, 0.262, 0.098, 0.239]"
31,"[0.102, 0.277, 0.084, 0.122, 0.094, 0.127, 0.2, 0.191, 0.093, 0.27]"
32,"[0.171, 0.166, 0.123, 0.101, 0.184, 0.315, 0.201, 0.286, 0.098, 0.231]"
33,"[0.102, 0.293, 0.159, 0.123, 0.094, 0.137, 0.206, 0.195, 0.093, 0.252]"
34,"[0.173, 0.206, 0.121, 0.101, 0.184, 0.35, 0.208, 0.288, 0.098, 0.241]"
35,"[0.102, 0.309, 0.183, 0.123, 0.094, 0.163, 0.205, 0.204, 0.093, 0.223]"
36,"[0.109, 0.267, 0.121, 0.101, 0.181, 0.349, 0.21, 0.291, 0.098, 0.24]"
37,"[0.102, 0.314, 0.183, 0.135, 0.094, 0.184, 0.203, 0.204, 0.093, 0.222]"
38,"[0.193, 0.284, 0.121, 0.101, 0.182, 0.295, 0.244, 0.294, 0.098, 0.225]"
39,"[0.102, 0.317, 0.189, 0.135, 0.094, 0.198, 0.199, 0.217, 0.093, 0.237]"
40,"[0.106, 0.293, 0.126, 0.101, 0.187, 0.262, 0.281, 0.293, 0.098, 0.218]"
41,"[0.102, 0.32, 0.193, 0.132, 0.094, 0.201, 0.199, 0.255, 0.093, 0.246]"
42,"[0.101, 0.289, 0.121, 0.101, 0.188, 0.264, 0.296, 0.29, 0.098, 0.191]"
43,"[0.139, 0.327, 0.201, 0.19, 0.094, 0.202, 0.2, 0.269, 0.094, 0.243]"
44,"[0.101, 0.282, 0.116, 0.101, 0.184, 0.31, 0.309, 0.288, 0.099, 0.194]"
45,"[0.175, 0.333, 0.211, 0.207, 0.167, 0.204, 0.2, 0.269, 0.141, 0.236]"
46,"[0.102, 0.279, 0.116, 0.137, 0.183, 0.329, 0.329, 0.287, 0.106, 0.197]"
