eigenvector_centrality,[4]
0,"[0.102, 0.085, 0.115, 0.122, 0.158, 0.086, 0.119, 0.145, 0.106, 0.098]"
1,"[0.084, 0.099, 0.094, 0.081, 0.091, 0.105, 0.089, 0.098, 0.109, 0.091]"
2,"[0.102, 0.085, 0.083, 0.122, 0.1, 0.109, 0.115, 0.092, 0.106, 0.098]"
3,"[0.088, 0.099, 0.094, 0.168, 0.178, 0.105, 0.089, 0.098, 0.109, 0.091]"
4,"[0.102, 0.085, 0.096, 0.122, 0.1, 0.108, 0.094, 0.094, 0.106, 0.164]"
5,"[0.088, 0.099, 0.096, 0.097, 0.187, 0.121, 0.089, 0.098, 0.098, 0.091]"
6,"[0.102, 0.085, 0.096, 0.122, 0.136, 0.194, 0.093, 0.144, 0.106, 0.12]"
7,"[0.088, 0.099, 0.104, 0.097, 0.206, 0.114, 0.089, 0.179, 0.098, 0.091]"
8,"[0.102, 0.085, 0.096, 0.122, 0.094, 0.251, 0.093, 0.085, 0.195, 0.12]"
9,"[0.088, 0.099, 0.104, 0.097, 0.186, 0.167, 0.14, 0.151, 0.098, 0.194]"
10,"[0.102, 0.085, 0.096, 0.122, 0.094, 0.096, 0.093, 0.085, 0.147, 0.12]"
11,"[0.088, 0.099, 0.104, 0.097, 0.094, 0.173, 0.173, 0.102, 0.098, 0.149]"
12,"[0.102, 0.085, 0.096, 0.21, 0.094, 0.133, 0.093, 0.085, 0.154, 0.12]"
13,"[0.088, 0.099, 0.104, 0.097, 0.113, 0.181, 0.171, 0.09, 0.098, 0.103]"
14,"[0.102, 0.085, 0.103, 0.196, 0.094, 0.145, 0.093, 0.156, 0.119, 0.12]"
15,"[0.088, 0.099, 0.104, 0.097, 0.113, 0.187, 0.11, 0.09, 0.098, 0.106]"
16,"[0.102, 0.085, 0.129, 0.125, 0.094, 0.149, 0.206, 0.175, 0.122, 0.12]"
17,"[0.088, 0.099, 0.104, 0.161, 0.099, 0.185, 0.103, 0.089, 0.098, 0.176]"
18,"[0.102, 0.085, 0.181, 0.113, 0.094, 0.16, 0.191, 0.175, 0.129, 0.12]"
19,"[0.088, 0.099, 0.104, 0.185, 0.095, 0.176, 0.103, 0.089, 0.098, 0.191]"
20,"[0.133, 0.085, 0.184, 0.122, 0.094, 0.191, 0.156, 0.175, 0.134, 0.132]"
21,"[0.147, 0.112, 0.112, 0.186, 0.137, 0.17, 0.103, 0.09, 0.1, 0.202]"
22,"[0.187, 0.087, 0.15, 0.133, 0.094, 0.197, 0.12, 0.172, 0.143, 0.204]"
23,"[0.223, 0.159, 0.142, 0.18, 0.179, 0.136, 0.114, 0.102, 0.117, 0.18]"
24,"[0.182, 0.14, 0.117, 0.133, 0.148, 0.193, 0.115, 0.164, 0.187, 0.288]"
25,"[0.232, 0.192, 0.169, 0.159, 0.183, 0.144, 0.122, 0.104, 0.164, 0.165]"
26,"[0.168, 0.175, 0.141, 0.137, 0.235, 0.19, 0.115, 0.17, 0.208, 0.307]"
27,"[0.212, 0.194, 0.162, 0.161, 0.19, 0.193, 0.125, 0.104, 0.159, 0.169]"
28,"[0.148, 0.185, 0.189, 0.139, 0.162, 0.226, 0.144, 0.188, 0.168, 0.198]"
29,"[0.157, 0.123, 0.149, 0.105, 0.192, 0.187, 0.12, 0.104, 0.162, 0.168]"
30,"[0.134, 0.085, 0.157, 0.216, 0.1, 0.195, 0.19, 0.201, 0.186, 0.196]"
31,"[0.088, 0.2, 0.166, 0.165, 0.207, 0.203, 0.164, 0.118, 0.165, 0.12]"
32,"[0.213, 0.091, 0.194, 0.249, 0.094, 0.231, 0.21, 0.177, 0.181, 0.202]"
33,"[0.089, 0.204, 0.183, 0.186, 0.222, 0.26, 0.202, 0.147, 0.162, 0.131]"
34,"[0.211, 0.172, 0.212, 0.221, 0.098, 0.259, 0.215, 0.179, 0.209, 0.19]"
35,"[0.167, 0.221, 0.128, 0.195, 0.216, 0.256, 0.189, 0.152, 0.12, 0.179]"
36,"[0.241, 0.215, 0.241, 0.19, 0.167, 0.271, 0.217, 0.18, 0.252, 0.134]"
37,"[0.19, 0.266, 0.096, 0.193, 0.214, 0.204, 0.19, 0.147, 0.099, 0.176]"
38,"[0.228, 0.182, 0.225, 0.178, 0.129, 0.266, 0.211, 0.176, 0.218, 0.109]"
39,"[0.175, 0.219, 0.087, 0.182, 0.221, 0.203, 0.181, 0.163, 0.099, 0.159]"
40,"[0.239, 0.219, 0.235, 0.149, 0.112, 0.268, 0.202, 0.16, 0.2, 0.123]"
41,"[0.218, 0.232, 0.109, 0.164, 0.293, 0.24, 0.189, 0.175, 0.114, 0.205]"
42,"[0.29, 0.156, 0.289, 0.203, 0.112, 0.322, 0.193, 0.11, 0.235, 0.18]"
43,"[0.12, 0.207, 0.133, 0.176, 0.328, 0.253, 0.202, 0.216, 0.168, 0.31]"
44,"[0.222, 0.085, 0.36, 0.267, 0.112, 0.253, 0.216, 0.141, 0.282, 0.204]"
45,"[0.088, 0.176, 0.181, 0.201, 0.372, 0.11, 0.289, 0.29, 0.165, 0.413]"
46,"[0.226, 0.085, 0.383, 0.304, 0.178, 0.259, 0.222, 0.229, 0.335, 0.194]"
47,"[0.088, 0.184, 0.181, 0.215, 0.383, 0.112, 0.339, 0.261, 0.109, 0.421]"
48,"[0.329, 0.085, 0.327, 0.325, 0.094, 0.291, 0.219, 0.246, 0.33, 0.175]"
49,"[0.088, 0.273, 0.148, 0.299, 0.314, 0.102, 0.348, 0.294, 0.101, 0.397]"
50,"[0.281, 0.085, 0.289, 0.336, 0.094, 0.295, 0.333, 0.321, 0.318, 0.142]"
51,"[0.088, 0.276, 0.171, 0.286, 0.299, 0.118, 0.356, 0.363, 0.123, 0.393]"
52,"[0.342, 0.182, 0.335, 0.337, 0.094, 0.337, 0.267, 0.262, 0.368, 0.17]"
53,"[0.171, 0.291, 0.181, 0.199, 0.339, 0.176, 0.392, 0.42, 0.176, 0.442]"
54,"[0.353, 0.095, 0.357, 0.382, 0.148, 0.339, 0.236, 0.28, 0.405, 0.213]"
