none,[]
0,"[0.175, 0.149, 0.106, 0.081, 0.094, 0.108, 0.093, 0.102, 0.109, 0.231]"
1,"[0.128, 0.172, 0.106, 0.117, 0.103, 0.102, 0.096, 0.085, 0.1, 0.112]"
2,"[0.088, 0.268, 0.106, 0.081, 0.094, 0.102, 0.093, 0.094, 0.1, 0.187]"
3,"[0.106, 0.179, 0.106, 0.117, 0.293, 0.102, 0.162, 0.113, 0.1, 0.097]"
4,"[0.088, 0.315, 0.159, 0.221, 0.094, 0.195, 0.141, 0.17, 0.1, 0.202]"
5,"[0.254, 0.186, 0.169, 0.117, 0.193, 0.097, 0.338, 0.212, 0.226, 0.153]"
6,"[0.126, 0.274, 0.218, 0.199, 0.094, 0.269, 0.108, 0.192, 0.19, 0.227]"
7,"[0.24, 0.245, 0.144, 0.16, 0.149, 0.093, 0.311, 0.22, 0.307, 0.164]"
8,"[0.163, 0.417, 0.319, 0.197, 0.131, 0.25, 0.091, 0.232, 0.129, 0.224]"
9,"[0.204, 0.206, 0.131, 0.185, 0.2, 0.147, 0.315, 0.182, 0.272, 0.165]"
10,"[0.166, 0.337, 0.282, 0.232, 0.158, 0.229, 0.123, 0.257, 0.135, 0.243]"
11,"[0.206, 0.19, 0.182, 0.212, 0.194, 0.326, 0.228, 0.158, 0.207, 0.176]"
12,"[0.186, 0.257, 0.234, 0.214, 0.251, 0.234, 0.158, 0.232, 0.215, 0.295]"
13,"[0.212, 0.166, 0.292, 0.316, 0.198, 0.371, 0.238, 0.183, 0.232, 0.241]"
14,"[0.232, 0.234, 0.251, 0.237, 0.202, 0.254, 0.218, 0.245, 0.22, 0.342]"
15,"[0.244, 0.178, 0.256, 0.255, 0.212, 0.367, 0.257, 0.206, 0.248, 0.267]"
16,"[0.216, 0.253, 0.255, 0.248, 0.182, 0.268, 0.279, 0.265, 0.194, 0.363]"
17,"[0.263, 0.234, 0.263, 0.213, 0.235, 0.35, 0.271, 0.237, 0.254, 0.268]"
18,"[0.247, 0.261, 0.257, 0.251, 0.189, 0.253, 0.252, 0.277, 0.18, 0.428]"
19,"[0.28, 0.378, 0.224, 0.196, 0.257, 0.318, 0.281, 0.255, 0.257, 0.261]"
20,"[0.216, 0.269, 0.262, 0.257, 0.291, 0.243, 0.288, 0.287, 0.254, 0.393]"
21,"[0.289, 0.376, 0.23, 0.25, 0.269, 0.308, 0.282, 0.217, 0.26, 0.275]"
22,"[0.228, 0.279, 0.268, 0.26, 0.331, 0.307, 0.309, 0.29, 0.33, 0.349]"
23,"[0.291, 0.342, 0.307, 0.297, 0.276, 0.32, 0.291, 0.288, 0.272, 0.31]"
24,"[0.287, 0.287, 0.31, 0.319, 0.347, 0.328, 0.304, 0.302, 0.331, 0.381]"
25,"[0.36, 0.321, 0.294, 0.3, 0.324, 0.332, 0.304, 0.266, 0.334, 0.379]"
26,"[0.256, 0.298, 0.319, 0.332, 0.363, 0.332, 0.3, 0.34, 0.343, 0.402]"
27,"[0.324, 0.34, 0.283, 0.323, 0.374, 0.375, 0.34, 0.269, 0.347, 0.41]"
28,"[0.294, 0.308, 0.319, 0.342, 0.419, 0.383, 0.314, 0.336, 0.399, 0.414]"
29,"[0.332, 0.368, 0.315, 0.371, 0.354, 0.414, 0.351, 0.308, 0.316, 0.414]"
30,"[0.333, 0.336, 0.282, 0.315, 0.46, 0.389, 0.333, 0.348, 0.452, 0.394]"
31,"[0.323, 0.402, 0.343, 0.394, 0.341, 0.376, 0.37, 0.342, 0.313, 0.413]"
32,"[0.371, 0.374, 0.231, 0.268, 0.46, 0.408, 0.355, 0.289, 0.461, 0.4]"
33,"[0.257, 0.408, 0.364, 0.4, 0.312, 0.394, 0.375, 0.358, 0.302, 0.383]"
34,"[0.36, 0.376, 0.22, 0.274, 0.471, 0.414, 0.363, 0.266, 0.472, 0.391]"
35,"[0.241, 0.404, 0.384, 0.406, 0.308, 0.364, 0.362, 0.361, 0.311, 0.345]"
36,"[0.384, 0.373, 0.26, 0.29, 0.485, 0.445, 0.386, 0.259, 0.459, 0.391]"
37,"[0.272, 0.388, 0.398, 0.397, 0.316, 0.359, 0.333, 0.388, 0.316, 0.353]"
38,"[0.408, 0.388, 0.264, 0.298, 0.462, 0.462, 0.412, 0.29, 0.443, 0.395]"
39,"[0.291, 0.388, 0.397, 0.39, 0.339, 0.375, 0.362, 0.397, 0.336, 0.362]"
40,"[0.421, 0.397, 0.268, 0.313, 0.458, 0.451, 0.438, 0.317, 0.441, 0.417]"
41,"[0.306, 0.393, 0.411, 0.389, 0.353, 0.381, 0.374, 0.414, 0.356, 0.361]"
42,"[0.426, 0.396, 0.292, 0.335, 0.456, 0.451, 0.441, 0.326, 0.444, 0.443]"
43,"[0.32, 0.392, 0.408, 0.402, 0.359, 0.38, 0.397, 0.419, 0.376, 0.378]"
44,"[0.435, 0.393, 0.325, 0.35, 0.466, 0.46, 0.449, 0.338, 0.456, 0.46]"
45,"[0.333, 0.395, 0.426, 0.408, 0.367, 0.388, 0.391, 0.434, 0.385, 0.387]"
46,"[0.446, 0.391, 0.344, 0.371, 0.472, 0.458, 0.455, 0.351, 0.455, 0.474]"
47,"[0.342, 0.393, 0.427, 0.414, 0.368, 0.394, 0.388, 0.437, 0.392, 0.396]"
48,"[0.446, 0.416, 0.358, 0.371, 0.478, 0.471, 0.461, 0.355, 0.458, 0.494]"
49,"[0.346, 0.398, 0.431, 0.424, 0.37, 0.401, 0.394, 0.443, 0.398, 0.401]"
50,"[0.457, 0.426, 0.364, 0.37, 0.489, 0.48, 0.465, 0.358, 0.468, 0.504]"
51,"[0.351, 0.4, 0.441, 0.448, 0.379, 0.41, 0.391, 0.451, 0.402, 0.399]"
52,"[0.468, 0.433, 0.363, 0.375, 0.499, 0.493, 0.464, 0.365, 0.482, 0.52]"
53,"[0.358, 0.404, 0.452, 0.464, 0.394, 0.423, 0.382, 0.461, 0.417, 0.39]"
