none,[]
0,"[0.11776447105788423, 0.098, 0.094, 0.082, 0.096, 0.102, 0.098, 0.112, 0.106, 0.076, 0.112, 0.084, 0.11, 0.116, 0.098, 0.108, 0.082, 0.114, 0.104, 0.10020040080160321]"
1,"[0.1157684630738523, 0.098, 0.094, 0.082, 0.08, 0.102, 0.098, 0.112, 0.106, 0.076, 0.1, 0.084, 0.11, 0.096, 0.134, 0.108, 0.106, 0.114, 0.104, 0.12224448897795591]"
2,"[0.11776447105788423, 0.098, 0.094, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.076, 0.1, 0.084, 0.11, 0.096, 0.098, 0.108, 0.106, 0.114, 0.104, 0.12224448897795591]"
3,"[0.1157684630738523, 0.098, 0.094, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.1, 0.098, 0.11, 0.096, 0.088, 0.108, 0.106, 0.114, 0.104, 0.12224448897795591]"
4,"[0.1157684630738523, 0.098, 0.114, 0.082, 0.102, 0.094, 0.098, 0.112, 0.106, 0.118, 0.1, 0.084, 0.11, 0.096, 0.098, 0.07, 0.106, 0.114, 0.08, 0.12224448897795591]"
5,"[0.1157684630738523, 0.116, 0.112, 0.082, 0.08, 0.094, 0.098, 0.112, 0.116, 0.118, 0.074, 0.11, 0.11, 0.096, 0.082, 0.114, 0.082, 0.114, 0.104, 0.12224448897795591]"
6,"[0.1157684630738523, 0.108, 0.114, 0.082, 0.09, 0.094, 0.122, 0.112, 0.106, 0.118, 0.07, 0.11, 0.11, 0.096, 0.098, 0.082, 0.062, 0.114, 0.08, 0.12224448897795591]"
7,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.07, 0.11, 0.11, 0.096, 0.082, 0.126, 0.082, 0.098, 0.112, 0.12224448897795591]"
8,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.11, 0.094, 0.118, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.102, 0.114, 0.08, 0.12224448897795591]"
9,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.084, 0.11, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.084, 0.12224448897795591]"
10,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.114, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
11,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.084, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
12,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.12, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
13,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.084, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
14,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.102, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
15,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.084, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
16,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
17,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.084, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.09, 0.08, 0.12224448897795591]"
18,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
19,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.084, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.094, 0.08, 0.12224448897795591]"
20,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
21,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.084, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
22,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
23,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.084, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.106, 0.08, 0.12224448897795591]"
24,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
25,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.084, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.126, 0.08, 0.12224448897795591]"
26,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
27,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.1, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.138, 0.08, 0.12224448897795591]"
28,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
29,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.106, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
30,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.096, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
31,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.104, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.106, 0.08, 0.12224448897795591]"
32,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.112, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
33,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.084, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
34,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.1, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.118, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
35,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.08, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.086, 0.12224448897795591]"
36,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.1, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.118, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
37,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.078, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.086, 0.12224448897795591]"
38,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.1, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.11, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
39,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.072, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.092, 0.08, 0.12224448897795591]"
40,"[0.1157684630738523, 0.116, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.112, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
41,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.07, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.092, 0.08, 0.12224448897795591]"
42,"[0.1157684630738523, 0.12, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.11, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
43,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.07, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
44,"[0.1157684630738523, 0.126, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.138, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
45,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.07, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
46,"[0.1157684630738523, 0.148, 0.114, 0.082, 0.08, 0.094, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.132, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
47,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.07, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
48,"[0.1157684630738523, 0.108, 0.114, 0.11, 0.08, 0.118, 0.098, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.116, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
49,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.07, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
50,"[0.1157684630738523, 0.108, 0.114, 0.102, 0.08, 0.11, 0.1, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.116, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
51,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.07, 0.106, 0.11, 0.096, 0.082, 0.082, 0.082, 0.088, 0.08, 0.12224448897795591]"
52,"[0.1157684630738523, 0.108, 0.114, 0.156, 0.084, 0.126, 0.1, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.116, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
53,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.118, 0.07, 0.106, 0.12, 0.096, 0.082, 0.082, 0.082, 0.088, 0.088, 0.12224448897795591]"
54,"[0.1157684630738523, 0.108, 0.114, 0.13, 0.096, 0.126, 0.104, 0.112, 0.106, 0.118, 0.084, 0.106, 0.11, 0.116, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
55,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.08, 0.094, 0.098, 0.112, 0.114, 0.144, 0.07, 0.106, 0.128, 0.096, 0.082, 0.09, 0.082, 0.088, 0.098, 0.12224448897795591]"
56,"[0.1157684630738523, 0.108, 0.114, 0.12, 0.112, 0.126, 0.108, 0.112, 0.106, 0.118, 0.084, 0.112, 0.11, 0.116, 0.098, 0.082, 0.082, 0.114, 0.08, 0.12224448897795591]"
57,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.116, 0.094, 0.098, 0.112, 0.114, 0.18, 0.07, 0.106, 0.146, 0.096, 0.082, 0.104, 0.082, 0.088, 0.12, 0.12224448897795591]"
58,"[0.1157684630738523, 0.108, 0.114, 0.114, 0.122, 0.126, 0.122, 0.124, 0.106, 0.118, 0.084, 0.158, 0.11, 0.116, 0.098, 0.08, 0.082, 0.114, 0.08, 0.12224448897795591]"
59,"[0.1157684630738523, 0.116, 0.104, 0.082, 0.13, 0.094, 0.112, 0.112, 0.114, 0.12, 0.07, 0.118, 0.152, 0.096, 0.082, 0.166, 0.13, 0.088, 0.144, 0.12224448897795591]"
60,"[0.1157684630738523, 0.108, 0.114, 0.114, 0.14, 0.126, 0.12, 0.16, 0.106, 0.118, 0.084, 0.154, 0.116, 0.116, 0.098, 0.134, 0.084, 0.114, 0.106, 0.14428857715430862]"
61,"[0.16367265469061876, 0.116, 0.104, 0.082, 0.126, 0.094, 0.14, 0.14, 0.114, 0.108, 0.07, 0.172, 0.17, 0.096, 0.082, 0.164, 0.112, 0.088, 0.168, 0.12224448897795591]"
62,"[0.13972055888223553, 0.108, 0.114, 0.114, 0.204, 0.126, 0.126, 0.142, 0.106, 0.136, 0.084, 0.134, 0.162, 0.116, 0.098, 0.158, 0.114, 0.114, 0.124, 0.1743486973947896]"
63,"[0.10379241516966067, 0.116, 0.104, 0.082, 0.124, 0.094, 0.166, 0.16, 0.114, 0.104, 0.07, 0.178, 0.21, 0.096, 0.082, 0.138, 0.102, 0.088, 0.206, 0.15831663326653306]"
64,"[0.17365269461077845, 0.108, 0.114, 0.114, 0.186, 0.126, 0.138, 0.154, 0.106, 0.184, 0.084, 0.118, 0.172, 0.116, 0.098, 0.128, 0.148, 0.114, 0.096, 0.1342685370741483]"
65,"[0.09780439121756487, 0.116, 0.104, 0.082, 0.116, 0.094, 0.138, 0.15, 0.114, 0.104, 0.07, 0.142, 0.198, 0.096, 0.082, 0.13, 0.098, 0.088, 0.216, 0.09418837675350701]"
66,"[0.17165668662674652, 0.108, 0.114, 0.114, 0.188, 0.126, 0.204, 0.156, 0.106, 0.19, 0.084, 0.132, 0.156, 0.116, 0.098, 0.126, 0.148, 0.114, 0.082, 0.09819639278557114]"
67,"[0.09580838323353294, 0.116, 0.104, 0.082, 0.106, 0.094, 0.106, 0.126, 0.114, 0.108, 0.07, 0.118, 0.182, 0.096, 0.082, 0.128, 0.096, 0.088, 0.206, 0.08016032064128256]"
68,"[0.1596806387225549, 0.108, 0.114, 0.114, 0.212, 0.126, 0.152, 0.134, 0.106, 0.176, 0.084, 0.134, 0.12, 0.116, 0.098, 0.132, 0.134, 0.114, 0.08, 0.09218436873747494]"
