none,[]
0,"[0.10778443113772455, 0.094, 0.074, 0.1, 0.138, 0.094, 0.152, 0.108, 0.102, 0.108, 0.096, 0.144, 0.104, 0.098, 0.102, 0.116, 0.134, 0.148, 0.126, 0.0781563126252505]"
1,"[0.08383233532934131, 0.08, 0.152, 0.16, 0.078, 0.094, 0.158, 0.076, 0.112, 0.108, 0.096, 0.094, 0.2, 0.098, 0.11, 0.214, 0.134, 0.18, 0.126, 0.10420841683366733]"
2,"[0.14570858283433133, 0.08, 0.074, 0.378, 0.082, 0.094, 0.378, 0.108, 0.104, 0.108, 0.096, 0.12, 0.124, 0.098, 0.11, 0.202, 0.14, 0.216, 0.126, 0.11422845691382766]"
3,"[0.15568862275449102, 0.08, 0.192, 0.276, 0.18, 0.094, 0.162, 0.108, 0.112, 0.108, 0.162, 0.094, 0.136, 0.098, 0.11, 0.36, 0.134, 0.11, 0.126, 0.10420841683366733]"
4,"[0.12375249500998003, 0.168, 0.074, 0.348, 0.164, 0.094, 0.35, 0.108, 0.288, 0.248, 0.136, 0.1, 0.172, 0.098, 0.11, 0.254, 0.228, 0.144, 0.154, 0.11422845691382766]"
5,"[0.12375249500998003, 0.176, 0.218, 0.26, 0.218, 0.22, 0.15, 0.156, 0.17, 0.25, 0.112, 0.094, 0.132, 0.098, 0.15, 0.36, 0.178, 0.11, 0.27, 0.10420841683366733]"
6,"[0.14171656686626746, 0.128, 0.176, 0.33, 0.182, 0.112, 0.286, 0.146, 0.254, 0.268, 0.148, 0.096, 0.168, 0.186, 0.26, 0.256, 0.344, 0.11, 0.228, 0.19438877755511022]"
7,"[0.2215568862275449, 0.104, 0.216, 0.244, 0.262, 0.27, 0.146, 0.218, 0.204, 0.246, 0.24, 0.104, 0.126, 0.122, 0.14, 0.334, 0.24, 0.268, 0.202, 0.2545090180360721]"
8,"[0.26746506986027946, 0.252, 0.11, 0.268, 0.172, 0.156, 0.27, 0.274, 0.272, 0.29, 0.144, 0.378, 0.262, 0.358, 0.226, 0.224, 0.272, 0.216, 0.276, 0.11623246492985972]"
9,"[0.20159680638722555, 0.196, 0.296, 0.21, 0.298, 0.29, 0.128, 0.322, 0.176, 0.258, 0.24, 0.252, 0.23, 0.268, 0.228, 0.232, 0.242, 0.192, 0.144, 0.29458917835671344]"
10,"[0.2554890219560878, 0.294, 0.098, 0.238, 0.132, 0.124, 0.276, 0.294, 0.38, 0.326, 0.126, 0.386, 0.186, 0.392, 0.17, 0.208, 0.228, 0.204, 0.27, 0.17835671342685372]"
11,"[0.25349301397205587, 0.236, 0.294, 0.204, 0.236, 0.298, 0.114, 0.366, 0.186, 0.272, 0.174, 0.204, 0.208, 0.324, 0.168, 0.232, 0.246, 0.21, 0.14, 0.3627254509018036]"
12,"[0.2874251497005988, 0.332, 0.154, 0.25, 0.09, 0.124, 0.282, 0.21, 0.374, 0.334, 0.102, 0.394, 0.26, 0.422, 0.204, 0.244, 0.23, 0.15, 0.282, 0.17034068136272545]"
