betweeness_centrality,[10  4  8  6]
0,"[0.07784431137724551, 0.108, 0.102, 0.1, 0.112, 0.088, 0.086, 0.118, 0.11, 0.108, 0.094, 0.118, 0.034, 0.124, 0.116, 0.08, 0.092, 0.098, 0.104, 0.09418837675350701]"
1,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.094, 0.096, 0.09, 0.12, 0.118, 0.08, 0.146, 0.05, 0.106, 0.08, 0.104, 0.092, 0.12424849699398798]"
2,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.096, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.09, 0.1, 0.116, 0.08, 0.092, 0.104, 0.092, 0.09418837675350701]"
3,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.094, 0.11, 0.09, 0.09, 0.148, 0.08, 0.096, 0.13, 0.106, 0.08, 0.104, 0.092, 0.09018036072144289]"
4,"[0.11776447105788423, 0.086, 0.102, 0.098, 0.09, 0.082, 0.126, 0.118, 0.11, 0.09, 0.094, 0.094, 0.09, 0.096, 0.116, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
5,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.126, 0.094, 0.11, 0.096, 0.12, 0.118, 0.08, 0.096, 0.184, 0.106, 0.096, 0.104, 0.092, 0.09018036072144289]"
6,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.116, 0.126, 0.118, 0.116, 0.09, 0.208, 0.092, 0.092, 0.096, 0.116, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
7,"[0.11776447105788423, 0.086, 0.1, 0.112, 0.09, 0.102, 0.126, 0.094, 0.11, 0.114, 0.094, 0.118, 0.08, 0.096, 0.092, 0.08, 0.12, 0.114, 0.092, 0.09018036072144289]"
8,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.102, 0.122, 0.122, 0.084, 0.09, 0.134, 0.092, 0.084, 0.096, 0.116, 0.08, 0.092, 0.098, 0.092, 0.09018036072144289]"
9,"[0.11776447105788423, 0.086, 0.1, 0.128, 0.09, 0.102, 0.126, 0.094, 0.11, 0.098, 0.096, 0.11, 0.08, 0.096, 0.092, 0.08, 0.114, 0.098, 0.092, 0.09018036072144289]"
10,"[0.11776447105788423, 0.086, 0.156, 0.098, 0.09, 0.102, 0.124, 0.118, 0.084, 0.098, 0.134, 0.092, 0.106, 0.17, 0.116, 0.08, 0.092, 0.098, 0.092, 0.09018036072144289]"
11,"[0.11776447105788423, 0.086, 0.1, 0.144, 0.09, 0.102, 0.126, 0.094, 0.11, 0.098, 0.096, 0.088, 0.08, 0.096, 0.092, 0.08, 0.114, 0.098, 0.092, 0.09018036072144289]"
12,"[0.11776447105788423, 0.086, 0.108, 0.098, 0.09, 0.102, 0.15, 0.122, 0.084, 0.098, 0.134, 0.092, 0.1, 0.122, 0.116, 0.092, 0.092, 0.098, 0.092, 0.09018036072144289]"
13,"[0.11776447105788423, 0.086, 0.1, 0.1, 0.09, 0.102, 0.116, 0.094, 0.154, 0.098, 0.166, 0.092, 0.106, 0.096, 0.092, 0.184, 0.114, 0.098, 0.092, 0.09218436873747494]"
14,"[0.11776447105788423, 0.138, 0.108, 0.098, 0.09, 0.104, 0.234, 0.102, 0.084, 0.098, 0.134, 0.092, 0.1, 0.122, 0.132, 0.092, 0.092, 0.098, 0.092, 0.09619238476953908]"
15,"[0.07784431137724551, 0.096, 0.188, 0.1, 0.09, 0.088, 0.198, 0.094, 0.106, 0.098, 0.2, 0.092, 0.106, 0.096, 0.092, 0.202, 0.114, 0.098, 0.092, 0.09619238476953908]"
16,"[0.11776447105788423, 0.09, 0.108, 0.112, 0.15, 0.128, 0.166, 0.14, 0.084, 0.098, 0.134, 0.092, 0.1, 0.122, 0.12, 0.092, 0.092, 0.098, 0.092, 0.18637274549098196]"
17,"[0.08383233532934131, 0.226, 0.208, 0.1, 0.09, 0.088, 0.202, 0.094, 0.106, 0.098, 0.24, 0.092, 0.106, 0.162, 0.092, 0.206, 0.114, 0.098, 0.152, 0.09619238476953908]"
