eigenvector_centrality,[15  0 14 12]
0,"[0.11776447105788423, 0.112, 0.074, 0.098, 0.078, 0.094, 0.078, 0.094, 0.108, 0.07, 0.094, 0.118, 0.086, 0.1, 0.076, 0.088, 0.102, 0.104, 0.102, 0.09418837675350701]"
1,"[0.07784431137724551, 0.086, 0.1, 0.098, 0.088, 0.094, 0.086, 0.118, 0.146, 0.098, 0.094, 0.092, 0.088, 0.098, 0.116, 0.088, 0.098, 0.108, 0.092, 0.11623246492985972]"
2,"[0.10978043912175649, 0.086, 0.1, 0.098, 0.122, 0.094, 0.148, 0.118, 0.112, 0.108, 0.094, 0.118, 0.088, 0.098, 0.082, 0.092, 0.098, 0.104, 0.092, 0.1282565130260521]"
3,"[0.07784431137724551, 0.086, 0.1, 0.098, 0.122, 0.094, 0.126, 0.094, 0.096, 0.108, 0.094, 0.148, 0.088, 0.098, 0.116, 0.088, 0.098, 0.108, 0.092, 0.1523046092184369]"
4,"[0.11776447105788423, 0.084, 0.1, 0.098, 0.122, 0.102, 0.126, 0.094, 0.112, 0.09, 0.094, 0.118, 0.09, 0.098, 0.184, 0.15, 0.092, 0.104, 0.102, 0.11422845691382766]"
5,"[0.07784431137724551, 0.096, 0.1, 0.104, 0.12, 0.102, 0.126, 0.098, 0.198, 0.094, 0.102, 0.118, 0.088, 0.114, 0.116, 0.08, 0.092, 0.104, 0.128, 0.09018036072144289]"
6,"[0.10978043912175649, 0.082, 0.1, 0.098, 0.118, 0.102, 0.126, 0.13, 0.112, 0.09, 0.12, 0.108, 0.084, 0.098, 0.176, 0.08, 0.092, 0.106, 0.102, 0.09018036072144289]"
7,"[0.12574850299401197, 0.088, 0.1, 0.1, 0.122, 0.146, 0.126, 0.112, 0.124, 0.09, 0.078, 0.148, 0.17, 0.096, 0.146, 0.18, 0.092, 0.092, 0.132, 0.09018036072144289]"
8,"[0.11776447105788423, 0.082, 0.152, 0.124, 0.096, 0.102, 0.194, 0.108, 0.11, 0.182, 0.112, 0.092, 0.08, 0.126, 0.082, 0.08, 0.168, 0.196, 0.124, 0.09018036072144289]"
9,"[0.1317365269461078, 0.132, 0.114, 0.096, 0.092, 0.102, 0.214, 0.12, 0.114, 0.176, 0.084, 0.124, 0.142, 0.096, 0.132, 0.126, 0.092, 0.098, 0.104, 0.09018036072144289]"
10,"[0.09580838323353294, 0.098, 0.094, 0.114, 0.092, 0.174, 0.21, 0.108, 0.11, 0.102, 0.112, 0.092, 0.12, 0.116, 0.11, 0.124, 0.094, 0.088, 0.14, 0.1402805611222445]"
