none,[]
0,"[0.10978043912175649, 0.132, 0.094, 0.1, 0.09, 0.102, 0.098, 0.092, 0.108, 0.098, 0.1, 0.084, 0.068, 0.106, 0.092, 0.108, 0.114, 0.08, 0.092, 0.09619238476953908]"
1,"[0.10778443113772455, 0.106, 0.094, 0.12, 0.09, 0.118, 0.078, 0.104, 0.112, 0.076, 0.056, 0.082, 0.098, 0.106, 0.092, 0.092, 0.114, 0.08, 0.104, 0.08216432865731463]"
2,"[0.10778443113772455, 0.132, 0.094, 0.1, 0.09, 0.12, 0.098, 0.104, 0.112, 0.076, 0.1, 0.084, 0.098, 0.106, 0.096, 0.176, 0.182, 0.08, 0.104, 0.17635270541082165]"
3,"[0.10778443113772455, 0.108, 0.094, 0.12, 0.09, 0.118, 0.08, 0.104, 0.112, 0.076, 0.1, 0.084, 0.098, 0.106, 0.096, 0.092, 0.106, 0.08, 0.104, 0.0781563126252505]"
4,"[0.10778443113772455, 0.108, 0.094, 0.12, 0.09, 0.118, 0.098, 0.104, 0.112, 0.076, 0.1, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.08, 0.104, 0.10020040080160321]"
5,"[0.10778443113772455, 0.108, 0.094, 0.12, 0.09, 0.118, 0.098, 0.104, 0.112, 0.076, 0.1, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.08, 0.104, 0.0781563126252505]"
6,"[0.10778443113772455, 0.074, 0.094, 0.12, 0.09, 0.118, 0.098, 0.104, 0.112, 0.076, 0.1, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.076, 0.104, 0.10020040080160321]"
7,"[0.10778443113772455, 0.112, 0.094, 0.12, 0.09, 0.118, 0.098, 0.104, 0.082, 0.076, 0.1, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.08, 0.104, 0.156312625250501]"
8,"[0.10778443113772455, 0.098, 0.098, 0.12, 0.09, 0.118, 0.098, 0.104, 0.112, 0.076, 0.1, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.076, 0.104, 0.10020040080160321]"
9,"[0.10778443113772455, 0.098, 0.094, 0.12, 0.09, 0.118, 0.098, 0.104, 0.078, 0.076, 0.102, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.08, 0.104, 0.09819639278557114]"
10,"[0.10778443113772455, 0.098, 0.094, 0.12, 0.09, 0.118, 0.098, 0.104, 0.112, 0.076, 0.106, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.078, 0.104, 0.10020040080160321]"
11,"[0.10778443113772455, 0.098, 0.094, 0.12, 0.09, 0.118, 0.098, 0.104, 0.072, 0.076, 0.1, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.08, 0.104, 0.10821643286573146]"
12,"[0.10778443113772455, 0.098, 0.094, 0.12, 0.09, 0.118, 0.124, 0.104, 0.112, 0.076, 0.072, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.078, 0.104, 0.10020040080160321]"
