none,[]
0,"[0.09580838323353294, 0.098, 0.108, 0.1, 0.094, 0.092, 0.086, 0.02, 0.11, 0.116, 0.07, 0.12, 0.106, 0.098, 0.092, 0.116, 0.098, 0.144, 0.102, 0.0781563126252505]"
1,"[0.09580838323353294, 0.116, 0.1, 0.208, 0.094, 0.168, 0.086, 0.094, 0.07, 0.098, 0.096, 0.092, 0.08, 0.084, 0.102, 0.086, 0.098, 0.12, 0.098, 0.09819639278557114]"
2,"[0.09580838323353294, 0.116, 0.1, 0.126, 0.094, 0.092, 0.086, 0.076, 0.09, 0.116, 0.096, 0.12, 0.106, 0.136, 0.102, 0.158, 0.1, 0.126, 0.102, 0.09819639278557114]"
3,"[0.09580838323353294, 0.116, 0.196, 0.208, 0.216, 0.174, 0.172, 0.166, 0.156, 0.202, 0.096, 0.092, 0.106, 0.084, 0.102, 0.086, 0.228, 0.12, 0.098, 0.15831663326653306]"
4,"[0.1536926147704591, 0.116, 0.208, 0.17, 0.13, 0.102, 0.1, 0.094, 0.12, 0.17, 0.17, 0.202, 0.106, 0.112, 0.188, 0.116, 0.19, 0.092, 0.136, 0.250501002004008]"
5,"[0.11976047904191617, 0.12, 0.118, 0.1, 0.138, 0.108, 0.1, 0.094, 0.096, 0.092, 0.148, 0.098, 0.186, 0.098, 0.166, 0.138, 0.15, 0.168, 0.16, 0.10420841683366733]"
6,"[0.1596806387225549, 0.12, 0.118, 0.146, 0.144, 0.134, 0.11, 0.112, 0.19, 0.114, 0.148, 0.142, 0.166, 0.126, 0.152, 0.14, 0.158, 0.11, 0.124, 0.18036072144288579]"
7,"[0.1536926147704591, 0.15, 0.16, 0.176, 0.14, 0.178, 0.172, 0.176, 0.146, 0.1, 0.146, 0.144, 0.146, 0.154, 0.14, 0.176, 0.154, 0.142, 0.142, 0.14228456913827656]"
8,"[0.2315369261477046, 0.13, 0.186, 0.188, 0.174, 0.292, 0.194, 0.2, 0.194, 0.14, 0.154, 0.222, 0.218, 0.192, 0.174, 0.218, 0.18, 0.168, 0.162, 0.1963927855711423]"
9,"[0.22355289421157684, 0.308, 0.256, 0.326, 0.356, 0.222, 0.316, 0.234, 0.238, 0.21, 0.238, 0.162, 0.158, 0.278, 0.212, 0.216, 0.34, 0.21, 0.292, 0.13026052104208416]"
10,"[0.34331337325349304, 0.166, 0.328, 0.26, 0.254, 0.272, 0.336, 0.334, 0.28, 0.368, 0.386, 0.372, 0.336, 0.338, 0.332, 0.304, 0.268, 0.232, 0.242, 0.3486973947895792]"
11,"[0.2954091816367265, 0.392, 0.334, 0.224, 0.312, 0.274, 0.414, 0.272, 0.182, 0.31, 0.298, 0.18, 0.182, 0.362, 0.36, 0.41, 0.366, 0.414, 0.366, 0.17635270541082165]"
12,"[0.36726546906187624, 0.194, 0.362, 0.198, 0.228, 0.362, 0.37, 0.336, 0.426, 0.486, 0.452, 0.408, 0.338, 0.402, 0.296, 0.362, 0.326, 0.282, 0.236, 0.3847695390781563]"
13,"[0.34930139720558884, 0.392, 0.38, 0.358, 0.346, 0.276, 0.442, 0.26, 0.144, 0.334, 0.238, 0.198, 0.262, 0.406, 0.394, 0.474, 0.448, 0.416, 0.484, 0.2565130260521042]"
