eigenvector_centrality,"[0, 1, 16, 20, 9]"
0,"[0.10473815461346633, 0.0975, 0.075, 0.095, 0.095, 0.085, 0.08, 0.095, 0.0775, 0.1075, 0.115, 0.19, 0.1275, 0.115, 0.165, 0.115, 0.1025, 0.115, 0.12, 0.095, 0.0825, 0.1775, 0.1175, 0.0975, 0.19047619047619047]"
1,"[0.10473815461346633, 0.0975, 0.075, 0.095, 0.085, 0.0825, 0.0875, 0.0975, 0.11, 0.1125, 0.1925, 0.1025, 0.105, 0.1975, 0.0925, 0.0825, 0.1275, 0.0775, 0.115, 0.0875, 0.1175, 0.1475, 0.1025, 0.1225, 0.13283208020050125]"
2,"[0.14962593516209477, 0.0975, 0.075, 0.095, 0.185, 0.1125, 0.08, 0.0975, 0.0775, 0.1225, 0.1175, 0.11, 0.1075, 0.115, 0.12, 0.0875, 0.1025, 0.0775, 0.0975, 0.1275, 0.0825, 0.105, 0.1025, 0.1225, 0.17042606516290726]"
3,"[0.10473815461346633, 0.0975, 0.075, 0.095, 0.1725, 0.0825, 0.1575, 0.0975, 0.095, 0.1875, 0.11, 0.1025, 0.1075, 0.1, 0.1175, 0.0775, 0.0925, 0.0775, 0.1125, 0.08, 0.1075, 0.14, 0.1025, 0.1225, 0.18796992481203006]"
4,"[0.07481296758104738, 0.1, 0.075, 0.12, 0.1975, 0.085, 0.08, 0.145, 0.135, 0.1125, 0.1925, 0.1025, 0.1075, 0.115, 0.2, 0.075, 0.1025, 0.0775, 0.1425, 0.1275, 0.0825, 0.1025, 0.12, 0.1625, 0.10776942355889724]"
5,"[0.0798004987531172, 0.0975, 0.105, 0.115, 0.12, 0.0825, 0.11, 0.1, 0.0775, 0.09, 0.11, 0.1, 0.1075, 0.1, 0.2625, 0.1525, 0.185, 0.0775, 0.12, 0.08, 0.1075, 0.1425, 0.1025, 0.0875, 0.11779448621553884]"
6,"[0.16957605985037408, 0.1375, 0.08, 0.1075, 0.175, 0.1675, 0.145, 0.1475, 0.0775, 0.215, 0.1775, 0.1, 0.1175, 0.115, 0.1925, 0.0775, 0.13, 0.1125, 0.15, 0.1175, 0.0825, 0.1025, 0.095, 0.0875, 0.10275689223057644]"
7,"[0.11221945137157108, 0.1725, 0.095, 0.19, 0.12, 0.0825, 0.11, 0.155, 0.115, 0.09, 0.11, 0.13, 0.1075, 0.1, 0.195, 0.0975, 0.1975, 0.155, 0.1, 0.08, 0.1075, 0.1025, 0.095, 0.0875, 0.18546365914786966]"
8,"[0.11221945137157108, 0.0875, 0.105, 0.1075, 0.155, 0.2025, 0.19, 0.1225, 0.1, 0.2225, 0.1775, 0.1775, 0.08, 0.115, 0.2375, 0.0775, 0.155, 0.1, 0.14, 0.1225, 0.0825, 0.1025, 0.095, 0.0875, 0.10776942355889724]"
