eigenvector_centrality,"[0, 2]"
0,"[0.07481296758104738, 0.29, 0.1725, 0.085, 0.085, 0.1025, 0.125, 0.0925, 0.1225, 0.1075, 0.1075, 0.1125, 0.1275, 0.1025, 0.1225, 0.1125, 0.075, 0.0725, 0.13, 0.145, 0.1075, 0.09, 0.075, 0.0925, 0.12280701754385964]"
1,"[0.07481296758104738, 0.0775, 0.095, 0.095, 0.0825, 0.13, 0.125, 0.1225, 0.0775, 0.0925, 0.11, 0.11, 0.0775, 0.0775, 0.0925, 0.115, 0.1325, 0.11, 0.1125, 0.1025, 0.095, 0.07, 0.105, 0.1725, 0.09523809523809523]"
2,"[0.07481296758104738, 0.135, 0.125, 0.1075, 0.0825, 0.1025, 0.125, 0.1225, 0.075, 0.11, 0.1075, 0.1175, 0.1275, 0.1025, 0.0925, 0.11, 0.075, 0.0725, 0.13, 0.1125, 0.1075, 0.07, 0.1, 0.0925, 0.10275689223057644]"
3,"[0.07481296758104738, 0.0775, 0.075, 0.1075, 0.0825, 0.13, 0.0675, 0.1225, 0.0775, 0.11, 0.1125, 0.1175, 0.08, 0.0775, 0.0925, 0.115, 0.1075, 0.11, 0.1175, 0.1025, 0.095, 0.07, 0.1, 0.045, 0.10275689223057644]"
4,"[0.09725685785536159, 0.135, 0.0975, 0.085, 0.0825, 0.1275, 0.0675, 0.1225, 0.1475, 0.11, 0.1075, 0.1175, 0.08, 0.1025, 0.0925, 0.085, 0.1175, 0.0725, 0.13, 0.1275, 0.1075, 0.105, 0.115, 0.0925, 0.10275689223057644]"
5,"[0.08229426433915212, 0.0775, 0.075, 0.1075, 0.0825, 0.13, 0.0675, 0.1225, 0.0775, 0.11, 0.1125, 0.2225, 0.08, 0.1075, 0.1, 0.085, 0.1175, 0.11, 0.11, 0.215, 0.095, 0.07, 0.1025, 0.0875, 0.10275689223057644]"
6,"[0.08229426433915212, 0.135, 0.1375, 0.085, 0.1575, 0.1, 0.0675, 0.135, 0.1175, 0.11, 0.1075, 0.1175, 0.0725, 0.11, 0.105, 0.085, 0.1175, 0.0725, 0.13, 0.1275, 0.1075, 0.115, 0.1025, 0.0925, 0.10776942355889724]"
7,"[0.08229426433915212, 0.0775, 0.075, 0.085, 0.0825, 0.13, 0.18, 0.1275, 0.0775, 0.11, 0.1125, 0.2, 0.105, 0.0875, 0.105, 0.085, 0.1075, 0.11, 0.1425, 0.1275, 0.1125, 0.11, 0.175, 0.0875, 0.12531328320802004]"
8,"[0.08229426433915212, 0.135, 0.1275, 0.085, 0.1625, 0.1, 0.125, 0.1225, 0.125, 0.11, 0.1075, 0.1175, 0.0725, 0.11, 0.105, 0.085, 0.1175, 0.0725, 0.12, 0.1075, 0.1075, 0.115, 0.1025, 0.1025, 0.12280701754385964]"
9,"[0.08229426433915212, 0.0775, 0.075, 0.085, 0.0825, 0.13, 0.125, 0.195, 0.0775, 0.1225, 0.1125, 0.1725, 0.105, 0.0875, 0.105, 0.13, 0.17, 0.11, 0.1275, 0.1975, 0.1175, 0.11, 0.18, 0.0875, 0.16040100250626566]"
10,"[0.08229426433915212, 0.135, 0.0975, 0.085, 0.1575, 0.1, 0.125, 0.1225, 0.1775, 0.11, 0.1075, 0.1175, 0.0725, 0.11, 0.105, 0.085, 0.205, 0.0725, 0.1, 0.08, 0.1075, 0.125, 0.1025, 0.0875, 0.12280701754385964]"
11,"[0.11970074812967581, 0.0775, 0.075, 0.085, 0.0825, 0.13, 0.12, 0.1225, 0.175, 0.19, 0.1125, 0.255, 0.105, 0.0875, 0.105, 0.19, 0.09, 0.11, 0.1175, 0.1125, 0.095, 0.1825, 0.12, 0.0875, 0.16791979949874686]"
12,"[0.08229426433915212, 0.135, 0.0975, 0.085, 0.1275, 0.1, 0.15, 0.1225, 0.2125, 0.11, 0.1075, 0.1175, 0.0725, 0.11, 0.105, 0.085, 0.1775, 0.0725, 0.1075, 0.08, 0.1075, 0.09, 0.1025, 0.0875, 0.12280701754385964]"
13,"[0.11970074812967581, 0.0775, 0.075, 0.085, 0.0825, 0.13, 0.1475, 0.1225, 0.085, 0.1275, 0.1125, 0.16, 0.105, 0.0875, 0.105, 0.185, 0.09, 0.11, 0.1175, 0.1325, 0.1475, 0.145, 0.12, 0.0875, 0.10275689223057644]"
