none,[]
0,"[0.12200971177944861, 0.2225, 0.1, 0.115, 0.0825, 0.13, 0.1275, 0.2, 0.1125, 0.085, 0.115, 0.12200971177944861, 0.095, 0.12200971177944861, 0.265, 0.0775, 0.0775, 0.1, 0.1575, 0.12200971177944861, 0.12200971177944861, 0.1075, 0.0725, 0.12, 0.07769423558897243]"
1,"[0.18139035087719296, 0.3425, 0.25, 0.1475, 0.135, 0.135, 0.2475, 0.21, 0.1875, 0.1075, 0.135, 0.18139035087719296, 0.1075, 0.18139035087719296, 0.265, 0.2325, 0.105, 0.17, 0.17, 0.18139035087719296, 0.18139035087719296, 0.2525, 0.09, 0.215, 0.12280701754385964]"
2,"[0.17463909774436093, 0.1825, 0.3275, 0.115, 0.0825, 0.1925, 0.15, 0.1175, 0.1125, 0.085, 0.2225, 0.17463909774436093, 0.27, 0.17463909774436093, 0.365, 0.31, 0.245, 0.0775, 0.155, 0.17463909774436093, 0.17463909774436093, 0.165, 0.085, 0.12, 0.11278195488721804]"
3,"[0.22351535087719293, 0.22, 0.14, 0.2025, 0.19, 0.08, 0.155, 0.17, 0.275, 0.2625, 0.145, 0.22351535087719293, 0.2625, 0.22351535087719293, 0.2675, 0.2875, 0.2, 0.3525, 0.365, 0.22351535087719293, 0.22351535087719293, 0.3, 0.185, 0.2875, 0.12280701754385964]"
4,"[0.21014943609022557, 0.2975, 0.315, 0.1925, 0.27, 0.2125, 0.3175, 0.1175, 0.1125, 0.155, 0.22, 0.21014943609022557, 0.45, 0.21014943609022557, 0.395, 0.2725, 0.1, 0.1575, 0.1, 0.21014943609022557, 0.21014943609022557, 0.115, 0.085, 0.1225, 0.19548872180451127]"
5,"[0.263140664160401, 0.19, 0.2625, 0.255, 0.265, 0.1, 0.2075, 0.2125, 0.3, 0.4, 0.2575, 0.263140664160401, 0.38, 0.263140664160401, 0.29, 0.2575, 0.2875, 0.3825, 0.3175, 0.263140664160401, 0.263140664160401, 0.315, 0.1725, 0.285, 0.12531328320802004]"
6,"[0.2551716791979949, 0.2825, 0.235, 0.3825, 0.24, 0.2125, 0.3475, 0.1175, 0.1125, 0.0875, 0.22, 0.2551716791979949, 0.5225, 0.2551716791979949, 0.46, 0.2325, 0.275, 0.22, 0.2075, 0.2551716791979949, 0.2551716791979949, 0.2425, 0.21, 0.1225, 0.37343358395989973]"
7,"[0.27353414786967417, 0.2275, 0.215, 0.14, 0.27, 0.1575, 0.2775, 0.2825, 0.345, 0.2675, 0.39, 0.27353414786967417, 0.45, 0.27353414786967417, 0.2875, 0.2975, 0.2975, 0.3025, 0.24, 0.27353414786967417, 0.27353414786967417, 0.3225, 0.1575, 0.27, 0.2731829573934837]"
8,"[0.26491604010025055, 0.33, 0.2225, 0.2925, 0.295, 0.21, 0.2625, 0.1175, 0.1125, 0.1175, 0.3325, 0.26491604010025055, 0.4925, 0.26491604010025055, 0.375, 0.1925, 0.335, 0.2575, 0.265, 0.26491604010025055, 0.26491604010025055, 0.31, 0.275, 0.175, 0.3283208020050125]"
9,"[0.28041165413533836, 0.245, 0.1975, 0.125, 0.325, 0.1325, 0.2975, 0.3075, 0.3525, 0.1775, 0.29, 0.28041165413533836, 0.5325, 0.28041165413533836, 0.28, 0.3675, 0.3325, 0.38, 0.1525, 0.28041165413533836, 0.28041165413533836, 0.3075, 0.1775, 0.335, 0.2932330827067669]"
