eigenvector_centrality,"[6, 15, 13, 14, 5]"
0,"[0.07481296758104738, 0.0925, 0.1, 0.085, 0.095, 0.07, 0.125, 0.0925, 0.0925, 0.09, 0.0925, 0.08, 0.095, 0.1025, 0.1075, 0.1125, 0.075, 0.0775, 0.0925, 0.0875, 0.075, 0.1025, 0.105, 0.0975, 0.11278195488721804]"
1,"[0.18703241895261846, 0.135, 0.08, 0.085, 0.095, 0.1325, 0.1275, 0.0925, 0.115, 0.1075, 0.1, 0.115, 0.095, 0.0775, 0.085, 0.215, 0.1, 0.095, 0.11, 0.0975, 0.1075, 0.105, 0.12, 0.1225, 0.12280701754385964]"
2,"[0.09476309226932668, 0.14, 0.1, 0.08, 0.095, 0.1075, 0.125, 0.0925, 0.0925, 0.1125, 0.1, 0.08, 0.095, 0.0975, 0.085, 0.1125, 0.1, 0.0775, 0.0925, 0.0875, 0.075, 0.1175, 0.1875, 0.12, 0.11278195488721804]"
3,"[0.08229426433915212, 0.0975, 0.08, 0.085, 0.095, 0.1325, 0.22, 0.0925, 0.095, 0.1725, 0.1, 0.08, 0.095, 0.1725, 0.085, 0.115, 0.1, 0.0775, 0.105, 0.0875, 0.1075, 0.1075, 0.12, 0.12, 0.12280701754385964]"
4,"[0.08229426433915212, 0.095, 0.08, 0.085, 0.1, 0.1825, 0.125, 0.1125, 0.0925, 0.1125, 0.185, 0.08, 0.095, 0.0775, 0.085, 0.1575, 0.12, 0.0775, 0.1125, 0.09, 0.1075, 0.1175, 0.1275, 0.12, 0.12280701754385964]"
5,"[0.08229426433915212, 0.105, 0.1475, 0.1025, 0.1225, 0.1325, 0.1125, 0.0925, 0.1325, 0.1525, 0.1125, 0.08, 0.095, 0.0775, 0.1975, 0.1775, 0.1, 0.185, 0.1125, 0.1875, 0.1075, 0.1125, 0.12, 0.12, 0.12280701754385964]"
6,"[0.08229426433915212, 0.0775, 0.0875, 0.125, 0.1775, 0.1325, 0.11, 0.0925, 0.22, 0.085, 0.1775, 0.08, 0.095, 0.0775, 0.1125, 0.1325, 0.245, 0.1325, 0.1125, 0.1775, 0.1925, 0.105, 0.1475, 0.12, 0.15789473684210525]"
7,"[0.12468827930174564, 0.0775, 0.1125, 0.225, 0.1375, 0.1325, 0.11, 0.0925, 0.13, 0.085, 0.0975, 0.08, 0.095, 0.0775, 0.185, 0.1175, 0.19, 0.2575, 0.1125, 0.1025, 0.1725, 0.1075, 0.075, 0.12, 0.22055137844611528]"
8,"[0.08977556109725686, 0.275, 0.2325, 0.1375, 0.2725, 0.135, 0.125, 0.1, 0.315, 0.1125, 0.12, 0.08, 0.095, 0.0775, 0.115, 0.1175, 0.2725, 0.12, 0.1125, 0.27, 0.3, 0.105, 0.1675, 0.12, 0.17293233082706766]"
