eigenvector_centrality,"[11, 24]"
0,"[0.11970074812967581, 0.1025, 0.075, 0.085, 0.0825, 0.09, 0.0875, 0.0975, 0.0925, 0.0875, 0.1125, 0.1, 0.105, 0.1025, 0.1075, 0.1125, 0.1, 0.1, 0.0925, 0.0875, 0.0825, 0.1025, 0.12, 0.0875, 0.10275689223057644]"
1,"[0.08229426433915212, 0.095, 0.08, 0.0925, 0.0825, 0.1, 0.11, 0.0975, 0.1225, 0.1125, 0.1125, 0.115, 0.0725, 0.115, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.1275, 0.06, 0.1025, 0.12, 0.0875, 0.07518796992481203]"
2,"[0.08229426433915212, 0.095, 0.08, 0.0925, 0.0825, 0.1, 0.125, 0.0975, 0.1225, 0.1125, 0.1125, 0.115, 0.0725, 0.1, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.1275, 0.0825, 0.115, 0.12, 0.0875, 0.10275689223057644]"
3,"[0.08229426433915212, 0.095, 0.08, 0.0925, 0.0825, 0.1, 0.125, 0.0975, 0.11, 0.1125, 0.1125, 0.1, 0.0725, 0.1, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.1275, 0.0825, 0.0975, 0.1025, 0.0875, 0.08020050125313283]"
4,"[0.08229426433915212, 0.095, 0.08, 0.1125, 0.0825, 0.1, 0.125, 0.0975, 0.0925, 0.1125, 0.1125, 0.115, 0.0725, 0.1, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.1275, 0.0825, 0.115, 0.12, 0.0875, 0.10275689223057644]"
5,"[0.08728179551122195, 0.095, 0.08, 0.0925, 0.0825, 0.115, 0.125, 0.0975, 0.095, 0.1125, 0.1125, 0.1, 0.11, 0.1225, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.2375, 0.0825, 0.095, 0.1, 0.0875, 0.11278195488721804]"
6,"[0.08229426433915212, 0.15, 0.08, 0.1075, 0.105, 0.1, 0.125, 0.0975, 0.1225, 0.1125, 0.1125, 0.0875, 0.0725, 0.1, 0.105, 0.085, 0.1075, 0.1, 0.0925, 0.1275, 0.0825, 0.1, 0.12, 0.0875, 0.10275689223057644]"
7,"[0.1396508728179551, 0.095, 0.08, 0.0925, 0.1125, 0.145, 0.215, 0.1025, 0.17, 0.155, 0.1125, 0.1, 0.125, 0.1025, 0.1075, 0.085, 0.1075, 0.1, 0.095, 0.08, 0.155, 0.1175, 0.1, 0.0875, 0.12781954887218044]"
8,"[0.20947630922693267, 0.0825, 0.12, 0.1075, 0.155, 0.1775, 0.115, 0.0725, 0.1225, 0.2125, 0.17, 0.0875, 0.1275, 0.2025, 0.095, 0.11, 0.1075, 0.1125, 0.13, 0.1275, 0.15, 0.09, 0.2325, 0.0875, 0.12531328320802004]"
9,"[0.13466334164588528, 0.1475, 0.1025, 0.095, 0.12, 0.08, 0.1475, 0.095, 0.12, 0.2125, 0.0975, 0.1, 0.125, 0.0875, 0.1225, 0.0775, 0.1025, 0.195, 0.215, 0.08, 0.08, 0.1225, 0.1, 0.095, 0.10275689223057644]"
