eigenvector_centrality,"[2, 0]"
0,"[0.11970074812967581, 0.0825, 0.11, 0.1325, 0.1, 0.13, 0.1275, 0.0925, 0.085, 0.09, 0.1125, 0.09, 0.1075, 0.115, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.1325, 0.1025, 0.07, 0.0725, 0.0875, 0.07769423558897243]"
1,"[0.08977556109725686, 0.1075, 0.11, 0.1325, 0.1, 0.115, 0.1275, 0.1175, 0.085, 0.09, 0.11, 0.09, 0.085, 0.0925, 0.11, 0.1075, 0.0925, 0.09, 0.08, 0.1325, 0.085, 0.1025, 0.095, 0.0875, 0.07769423558897243]"
2,"[0.08977556109725686, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.12, 0.085, 0.09, 0.11, 0.0975, 0.105, 0.0925, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.1325, 0.085, 0.09, 0.0725, 0.0875, 0.07769423558897243]"
3,"[0.08977556109725686, 0.1075, 0.11, 0.0925, 0.1, 0.06, 0.1275, 0.15, 0.085, 0.09, 0.12, 0.0975, 0.085, 0.1575, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.1325, 0.085, 0.1025, 0.095, 0.0875, 0.07769423558897243]"
4,"[0.08977556109725686, 0.1075, 0.11, 0.14, 0.1, 0.085, 0.1275, 0.12, 0.085, 0.09, 0.115, 0.0975, 0.085, 0.0875, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.1325, 0.085, 0.1575, 0.0725, 0.0875, 0.07769423558897243]"
5,"[0.08977556109725686, 0.1075, 0.11, 0.0925, 0.1, 0.085, 0.13, 0.1825, 0.085, 0.09, 0.11, 0.0975, 0.085, 0.1175, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.08, 0.085, 0.1025, 0.095, 0.0875, 0.08020050125313283]"
6,"[0.08977556109725686, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.12, 0.085, 0.09, 0.1975, 0.1, 0.085, 0.0875, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.1325, 0.085, 0.1025, 0.0975, 0.0875, 0.13032581453634084]"
7,"[0.08977556109725686, 0.1075, 0.11, 0.0925, 0.1, 0.085, 0.1275, 0.2225, 0.085, 0.09, 0.1125, 0.12, 0.085, 0.0925, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.08, 0.085, 0.105, 0.1475, 0.0875, 0.07769423558897243]"
8,"[0.08977556109725686, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.12, 0.085, 0.09, 0.1475, 0.0975, 0.085, 0.0875, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.1325, 0.085, 0.1025, 0.095, 0.1025, 0.09774436090225563]"
9,"[0.08977556109725686, 0.1075, 0.11, 0.0925, 0.1, 0.085, 0.1425, 0.22, 0.085, 0.09, 0.11, 0.16, 0.085, 0.0925, 0.11, 0.1075, 0.0925, 0.12, 0.14, 0.08, 0.085, 0.115, 0.075, 0.0875, 0.07769423558897243]"
10,"[0.08977556109725686, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.12, 0.085, 0.09, 0.145, 0.0975, 0.085, 0.0875, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.1325, 0.085, 0.1025, 0.095, 0.105, 0.09774436090225563]"
11,"[0.08977556109725686, 0.1075, 0.11, 0.0925, 0.1, 0.085, 0.17, 0.225, 0.085, 0.09, 0.11, 0.1675, 0.085, 0.0925, 0.11, 0.1075, 0.0925, 0.12, 0.1575, 0.08, 0.085, 0.17, 0.0725, 0.0875, 0.07769423558897243]"
12,"[0.08977556109725686, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.12, 0.085, 0.09, 0.17, 0.0975, 0.085, 0.0875, 0.11, 0.1075, 0.0925, 0.12, 0.08, 0.1325, 0.085, 0.1025, 0.095, 0.0925, 0.09774436090225563]"
13,"[0.08977556109725686, 0.1075, 0.11, 0.0925, 0.1, 0.085, 0.1925, 0.215, 0.085, 0.09, 0.11, 0.1625, 0.085, 0.0925, 0.11, 0.1075, 0.15, 0.12, 0.1775, 0.08, 0.085, 0.175, 0.0725, 0.0875, 0.07769423558897243]"
14,"[0.08977556109725686, 0.1075, 0.11, 0.1325, 0.1, 0.085, 0.1275, 0.12, 0.085, 0.09, 0.1375, 0.0975, 0.085, 0.0875, 0.11, 0.1075, 0.0925, 0.12, 0.1075, 0.1325, 0.085, 0.1025, 0.095, 0.0875, 0.09774436090225563]"
15,"[0.08977556109725686, 0.1075, 0.11, 0.0925, 0.1, 0.085, 0.2125, 0.2225, 0.085, 0.09, 0.11, 0.1425, 0.085, 0.0925, 0.11, 0.1175, 0.1775, 0.12, 0.1825, 0.08, 0.085, 0.19, 0.0725, 0.0875, 0.07769423558897243]"
16,"[0.08977556109725686, 0.1075, 0.11, 0.1325, 0.1, 0.1325, 0.1275, 0.12, 0.085, 0.09, 0.205, 0.1475, 0.085, 0.0875, 0.1175, 0.1075, 0.0925, 0.125, 0.105, 0.1325, 0.085, 0.1025, 0.095, 0.0925, 0.09774436090225563]"
17,"[0.09226932668329177, 0.1075, 0.11, 0.0925, 0.1475, 0.085, 0.23, 0.1275, 0.1725, 0.09, 0.11, 0.1425, 0.085, 0.0925, 0.11, 0.16, 0.1725, 0.12, 0.18, 0.08, 0.085, 0.18, 0.0725, 0.1125, 0.07769423558897243]"
18,"[0.08977556109725686, 0.1075, 0.1275, 0.1325, 0.1, 0.1275, 0.1275, 0.12, 0.085, 0.09, 0.2025, 0.12, 0.0875, 0.0875, 0.2025, 0.1075, 0.0925, 0.1225, 0.105, 0.1325, 0.085, 0.1025, 0.095, 0.1025, 0.09774436090225563]"
19,"[0.08977556109725686, 0.1075, 0.11, 0.0925, 0.175, 0.095, 0.23, 0.1175, 0.165, 0.09, 0.11, 0.185, 0.085, 0.0925, 0.11, 0.1725, 0.1675, 0.12, 0.13, 0.08, 0.085, 0.135, 0.0725, 0.15, 0.07769423558897243]"
20,"[0.08977556109725686, 0.1075, 0.1275, 0.1325, 0.1, 0.155, 0.1275, 0.12, 0.085, 0.09, 0.115, 0.1275, 0.095, 0.0875, 0.215, 0.1075, 0.0925, 0.21, 0.11, 0.1325, 0.085, 0.1025, 0.095, 0.1125, 0.09774436090225563]"
21,"[0.08977556109725686, 0.1075, 0.11, 0.0925, 0.1775, 0.1, 0.23, 0.1225, 0.1675, 0.09, 0.11, 0.1825, 0.085, 0.0925, 0.11, 0.17, 0.1325, 0.17, 0.125, 0.08, 0.085, 0.155, 0.0725, 0.1675, 0.07769423558897243]"
22,"[0.08977556109725686, 0.1075, 0.155, 0.1325, 0.105, 0.115, 0.1275, 0.12, 0.085, 0.09, 0.11, 0.165, 0.1525, 0.0875, 0.21, 0.1075, 0.0925, 0.145, 0.15, 0.1325, 0.085, 0.1025, 0.095, 0.1275, 0.09774436090225563]"
23,"[0.09725685785536159, 0.1075, 0.1125, 0.0925, 0.185, 0.1075, 0.1825, 0.1175, 0.1925, 0.09, 0.11, 0.125, 0.085, 0.0925, 0.11, 0.1775, 0.09, 0.2075, 0.1175, 0.08, 0.1, 0.09, 0.0725, 0.1625, 0.07769423558897243]"
24,"[0.08977556109725686, 0.1075, 0.195, 0.1325, 0.1425, 0.08, 0.1275, 0.12, 0.1075, 0.1075, 0.11, 0.18, 0.17, 0.0875, 0.1775, 0.1075, 0.0925, 0.1075, 0.16, 0.1325, 0.085, 0.1025, 0.095, 0.14, 0.09774436090225563]"
25,"[0.1546134663341646, 0.1325, 0.1425, 0.0925, 0.18, 0.085, 0.1475, 0.1175, 0.1925, 0.1, 0.11, 0.1125, 0.085, 0.0925, 0.11, 0.1625, 0.09, 0.2075, 0.1175, 0.08, 0.1425, 0.09, 0.0725, 0.0975, 0.07769423558897243]"
26,"[0.08977556109725686, 0.1075, 0.0975, 0.1325, 0.1775, 0.08, 0.1275, 0.12, 0.1075, 0.1675, 0.11, 0.1675, 0.16, 0.0875, 0.145, 0.1075, 0.0925, 0.21, 0.18, 0.1325, 0.085, 0.1025, 0.095, 0.0875, 0.09774436090225563]"
27,"[0.11970074812967581, 0.1075, 0.11, 0.2125, 0.1, 0.085, 0.1275, 0.16, 0.195, 0.09, 0.11, 0.0975, 0.085, 0.0925, 0.11, 0.11, 0.135, 0.12, 0.1175, 0.195, 0.085, 0.13, 0.0725, 0.09, 0.07769423558897243]"
28,"[0.12219451371571072, 0.1075, 0.18, 0.1325, 0.105, 0.155, 0.1275, 0.12, 0.085, 0.09, 0.1375, 0.0975, 0.115, 0.0875, 0.2025, 0.1075, 0.0925, 0.12, 0.0825, 0.1325, 0.085, 0.1025, 0.095, 0.0875, 0.09774436090225563]"
29,"[0.1596009975062344, 0.1075, 0.125, 0.1325, 0.1, 0.085, 0.1275, 0.12, 0.125, 0.09, 0.11, 0.0975, 0.085, 0.0925, 0.11, 0.1075, 0.0925, 0.12, 0.155, 0.1325, 0.085, 0.1025, 0.0725, 0.0875, 0.07769423558897243]"
30,"[0.12468827930174564, 0.175, 0.1325, 0.1325, 0.1075, 0.1575, 0.135, 0.12, 0.085, 0.0925, 0.1125, 0.0975, 0.125, 0.1675, 0.21, 0.1075, 0.0925, 0.12, 0.08, 0.1325, 0.1725, 0.12, 0.1525, 0.09, 0.14786967418546365]"
31,"[0.19201995012468828, 0.1075, 0.1125, 0.1325, 0.1, 0.085, 0.1275, 0.12, 0.195, 0.09, 0.11, 0.0975, 0.085, 0.0925, 0.11, 0.1075, 0.0925, 0.12, 0.1825, 0.1325, 0.085, 0.1025, 0.0725, 0.0875, 0.07769423558897243]"
32,"[0.08977556109725686, 0.1775, 0.1075, 0.135, 0.1375, 0.1475, 0.15, 0.1225, 0.085, 0.1975, 0.11, 0.0975, 0.1425, 0.1625, 0.215, 0.1275, 0.105, 0.1525, 0.08, 0.16, 0.17, 0.1225, 0.1575, 0.11, 0.14035087719298245]"
33,"[0.19201995012468828, 0.1075, 0.19, 0.1575, 0.1, 0.085, 0.1275, 0.12, 0.14, 0.11, 0.11, 0.0975, 0.085, 0.0925, 0.11, 0.1325, 0.1775, 0.2025, 0.1225, 0.1325, 0.085, 0.1025, 0.0725, 0.0875, 0.07769423558897243]"
34,"[0.08977556109725686, 0.19, 0.11, 0.175, 0.1825, 0.1525, 0.21, 0.16, 0.085, 0.1275, 0.11, 0.1225, 0.1725, 0.16, 0.2025, 0.1675, 0.1525, 0.2125, 0.08, 0.21, 0.1775, 0.175, 0.0975, 0.1675, 0.14536340852130325]"
35,"[0.1546134663341646, 0.1075, 0.1525, 0.205, 0.1, 0.085, 0.1275, 0.12, 0.12, 0.1575, 0.1125, 0.1425, 0.085, 0.105, 0.11, 0.165, 0.155, 0.1575, 0.1175, 0.135, 0.085, 0.1025, 0.115, 0.0925, 0.08020050125313283]"
36,"[0.08977556109725686, 0.14, 0.11, 0.205, 0.1475, 0.08, 0.11, 0.1225, 0.085, 0.1175, 0.11, 0.18, 0.1375, 0.0875, 0.12, 0.0775, 0.1675, 0.1075, 0.0975, 0.08, 0.1475, 0.09, 0.095, 0.1575, 0.09774436090225563]"
37,"[0.11970074812967581, 0.185, 0.095, 0.0975, 0.185, 0.095, 0.19, 0.2225, 0.12, 0.19, 0.11, 0.1625, 0.12, 0.175, 0.2025, 0.0775, 0.09, 0.1, 0.1175, 0.2075, 0.1725, 0.175, 0.145, 0.17, 0.16541353383458646]"
