in_deg_centrality,[ 7 19  9  5]
0,"[0.19161676646706588, 0.18, 0.082, 0.11, 0.09, 0.102, 0.098, 0.102, 0.072, 0.116, 0.09, 0.12, 0.08, 0.122, 0.214, 0.102, 0.098, 0.088, 0.128, 0.09619238476953908]"
1,"[0.07784431137724551, 0.086, 0.206, 0.1, 0.078, 0.102, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.106, 0.096, 0.126, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
2,"[0.11776447105788423, 0.132, 0.1, 0.098, 0.09, 0.102, 0.094, 0.118, 0.1, 0.098, 0.094, 0.09, 0.08, 0.1, 0.116, 0.08, 0.092, 0.104, 0.092, 0.09018036072144289]"
3,"[0.10379241516966067, 0.086, 0.1, 0.098, 0.078, 0.088, 0.126, 0.138, 0.084, 0.09, 0.094, 0.118, 0.106, 0.122, 0.116, 0.08, 0.114, 0.104, 0.092, 0.09619238476953908]"
4,"[0.11776447105788423, 0.086, 0.1, 0.098, 0.09, 0.088, 0.126, 0.13, 0.084, 0.098, 0.134, 0.118, 0.08, 0.122, 0.116, 0.092, 0.172, 0.108, 0.14, 0.09018036072144289]"
5,"[0.0998003992015968, 0.086, 0.108, 0.1, 0.078, 0.088, 0.126, 0.118, 0.11, 0.09, 0.094, 0.118, 0.106, 0.1, 0.116, 0.08, 0.114, 0.104, 0.14, 0.09619238476953908]"
6,"[0.11776447105788423, 0.168, 0.1, 0.098, 0.09, 0.128, 0.078, 0.106, 0.104, 0.146, 0.18, 0.242, 0.08, 0.096, 0.116, 0.118, 0.19, 0.098, 0.11, 0.10020040080160321]"
7,"[0.15568862275449102, 0.086, 0.12, 0.1, 0.078, 0.206, 0.126, 0.102, 0.11, 0.09, 0.094, 0.09, 0.106, 0.096, 0.092, 0.08, 0.092, 0.104, 0.092, 0.09619238476953908]"
8,"[0.11776447105788423, 0.166, 0.1, 0.098, 0.09, 0.14, 0.078, 0.104, 0.204, 0.19, 0.228, 0.1, 0.08, 0.084, 0.116, 0.092, 0.196, 0.098, 0.11, 0.10020040080160321]"
9,"[0.12974051896207583, 0.086, 0.108, 0.1, 0.078, 0.192, 0.126, 0.102, 0.11, 0.112, 0.094, 0.09, 0.106, 0.096, 0.144, 0.08, 0.092, 0.104, 0.092, 0.09619238476953908]"
10,"[0.11776447105788423, 0.192, 0.1, 0.098, 0.09, 0.102, 0.078, 0.104, 0.162, 0.18, 0.216, 0.156, 0.08, 0.272, 0.116, 0.166, 0.202, 0.098, 0.12, 0.10020040080160321]"
11,"[0.10978043912175649, 0.086, 0.108, 0.144, 0.078, 0.156, 0.126, 0.102, 0.11, 0.098, 0.094, 0.09, 0.106, 0.096, 0.114, 0.08, 0.184, 0.104, 0.162, 0.09619238476953908]"
12,"[0.11776447105788423, 0.196, 0.1, 0.098, 0.09, 0.104, 0.078, 0.104, 0.154, 0.19, 0.23, 0.168, 0.08, 0.19, 0.15, 0.158, 0.116, 0.098, 0.124, 0.10020040080160321]"
13,"[0.11177644710578842, 0.086, 0.108, 0.15, 0.078, 0.182, 0.126, 0.102, 0.11, 0.098, 0.162, 0.09, 0.106, 0.096, 0.15, 0.08, 0.186, 0.108, 0.162, 0.09619238476953908]"
14,"[0.11776447105788423, 0.196, 0.1, 0.098, 0.09, 0.102, 0.078, 0.104, 0.234, 0.244, 0.234, 0.084, 0.08, 0.128, 0.162, 0.14, 0.116, 0.098, 0.132, 0.10020040080160321]"
15,"[0.10978043912175649, 0.086, 0.108, 0.16, 0.078, 0.19, 0.126, 0.102, 0.11, 0.098, 0.174, 0.09, 0.106, 0.096, 0.134, 0.08, 0.184, 0.176, 0.162, 0.09619238476953908]"
16,"[0.11776447105788423, 0.198, 0.132, 0.098, 0.09, 0.136, 0.094, 0.104, 0.204, 0.266, 0.238, 0.084, 0.084, 0.146, 0.178, 0.182, 0.124, 0.098, 0.134, 0.10020040080160321]"
17,"[0.10978043912175649, 0.086, 0.108, 0.16, 0.078, 0.192, 0.126, 0.102, 0.11, 0.098, 0.224, 0.09, 0.166, 0.096, 0.092, 0.09, 0.184, 0.126, 0.16, 0.09619238476953908]"
18,"[0.11776447105788423, 0.196, 0.168, 0.104, 0.09, 0.184, 0.12, 0.104, 0.154, 0.282, 0.238, 0.084, 0.142, 0.154, 0.16, 0.188, 0.128, 0.098, 0.158, 0.10020040080160321]"
19,"[0.10778443113772455, 0.086, 0.108, 0.18, 0.078, 0.196, 0.126, 0.102, 0.11, 0.098, 0.192, 0.09, 0.192, 0.108, 0.134, 0.198, 0.176, 0.092, 0.15, 0.09619238476953908]"
20,"[0.11776447105788423, 0.2, 0.116, 0.108, 0.09, 0.18, 0.144, 0.104, 0.162, 0.3, 0.242, 0.084, 0.116, 0.206, 0.15, 0.184, 0.124, 0.098, 0.198, 0.10020040080160321]"
21,"[0.10778443113772455, 0.086, 0.108, 0.186, 0.078, 0.196, 0.126, 0.102, 0.11, 0.106, 0.18, 0.09, 0.202, 0.194, 0.144, 0.226, 0.146, 0.082, 0.126, 0.09619238476953908]"
22,"[0.1217564870259481, 0.2, 0.094, 0.134, 0.092, 0.268, 0.152, 0.104, 0.166, 0.296, 0.244, 0.084, 0.14, 0.206, 0.12, 0.17, 0.174, 0.098, 0.236, 0.10020040080160321]"
23,"[0.10778443113772455, 0.122, 0.108, 0.188, 0.108, 0.178, 0.126, 0.102, 0.2, 0.108, 0.162, 0.09, 0.162, 0.136, 0.166, 0.184, 0.138, 0.08, 0.106, 0.09619238476953908]"
24,"[0.11976047904191617, 0.204, 0.094, 0.198, 0.16, 0.214, 0.174, 0.104, 0.128, 0.276, 0.242, 0.084, 0.214, 0.216, 0.11, 0.166, 0.192, 0.098, 0.288, 0.10020040080160321]"
25,"[0.10778443113772455, 0.156, 0.108, 0.186, 0.156, 0.132, 0.182, 0.106, 0.188, 0.15, 0.128, 0.09, 0.154, 0.106, 0.176, 0.144, 0.134, 0.08, 0.106, 0.09619238476953908]"
26,"[0.1377245508982036, 0.202, 0.094, 0.198, 0.156, 0.194, 0.158, 0.104, 0.126, 0.204, 0.242, 0.084, 0.194, 0.22, 0.096, 0.148, 0.206, 0.098, 0.218, 0.10020040080160321]"
27,"[0.10778443113772455, 0.098, 0.108, 0.12, 0.09, 0.118, 0.19, 0.206, 0.112, 0.166, 0.1, 0.09, 0.098, 0.106, 0.18, 0.168, 0.118, 0.08, 0.21, 0.16432865731462926]"
28,"[0.17564870259481039, 0.198, 0.094, 0.11, 0.156, 0.206, 0.1, 0.104, 0.194, 0.084, 0.246, 0.084, 0.172, 0.122, 0.176, 0.108, 0.152, 0.098, 0.104, 0.10020040080160321]"
29,"[0.10778443113772455, 0.098, 0.148, 0.12, 0.09, 0.118, 0.29, 0.182, 0.112, 0.098, 0.2, 0.09, 0.098, 0.106, 0.118, 0.108, 0.134, 0.08, 0.156, 0.17034068136272545]"
30,"[0.18562874251497005, 0.2, 0.094, 0.116, 0.216, 0.154, 0.108, 0.104, 0.094, 0.076, 0.244, 0.084, 0.152, 0.124, 0.216, 0.108, 0.114, 0.098, 0.104, 0.10020040080160321]"
31,"[0.10778443113772455, 0.098, 0.15, 0.12, 0.09, 0.118, 0.244, 0.18, 0.112, 0.098, 0.2, 0.118, 0.098, 0.106, 0.096, 0.098, 0.138, 0.08, 0.162, 0.17635270541082165]"
32,"[0.17764471057884232, 0.196, 0.174, 0.18, 0.24, 0.158, 0.168, 0.104, 0.116, 0.076, 0.244, 0.084, 0.202, 0.148, 0.184, 0.108, 0.114, 0.098, 0.108, 0.10020040080160321]"
33,"[0.12574850299401197, 0.082, 0.156, 0.12, 0.136, 0.118, 0.244, 0.232, 0.12, 0.098, 0.194, 0.134, 0.112, 0.106, 0.098, 0.13, 0.176, 0.08, 0.176, 0.17835671342685372]"
34,"[0.20159680638722555, 0.196, 0.142, 0.26, 0.304, 0.172, 0.174, 0.104, 0.164, 0.076, 0.242, 0.084, 0.23, 0.176, 0.18, 0.108, 0.138, 0.124, 0.118, 0.10020040080160321]"
35,"[0.15568862275449102, 0.082, 0.164, 0.124, 0.15, 0.118, 0.178, 0.26, 0.084, 0.1, 0.202, 0.144, 0.126, 0.106, 0.112, 0.102, 0.146, 0.08, 0.19, 0.1903807615230461]"
36,"[0.2435129740518962, 0.2, 0.158, 0.296, 0.348, 0.174, 0.19, 0.104, 0.164, 0.076, 0.3, 0.124, 0.216, 0.19, 0.18, 0.108, 0.154, 0.146, 0.124, 0.1062124248496994]"
37,"[0.16167664670658682, 0.082, 0.164, 0.144, 0.156, 0.164, 0.174, 0.262, 0.118, 0.114, 0.2, 0.144, 0.138, 0.108, 0.126, 0.138, 0.112, 0.08, 0.182, 0.19438877755511022]"
38,"[0.22355289421157684, 0.2, 0.164, 0.282, 0.342, 0.176, 0.196, 0.104, 0.152, 0.076, 0.314, 0.088, 0.234, 0.196, 0.18, 0.108, 0.17, 0.14, 0.138, 0.1062124248496994]"
39,"[0.16167664670658682, 0.082, 0.168, 0.152, 0.156, 0.196, 0.174, 0.26, 0.13, 0.116, 0.21, 0.146, 0.128, 0.108, 0.134, 0.156, 0.116, 0.08, 0.186, 0.19238476953907815]"
40,"[0.17764471057884232, 0.196, 0.19, 0.246, 0.276, 0.176, 0.178, 0.104, 0.16, 0.076, 0.31, 0.086, 0.218, 0.196, 0.18, 0.108, 0.182, 0.138, 0.18, 0.09619238476953908]"
41,"[0.16367265469061876, 0.082, 0.166, 0.166, 0.156, 0.192, 0.174, 0.258, 0.152, 0.122, 0.224, 0.14, 0.132, 0.108, 0.138, 0.176, 0.118, 0.08, 0.188, 0.1903807615230461]"
42,"[0.1656686626746507, 0.196, 0.19, 0.216, 0.216, 0.176, 0.174, 0.106, 0.172, 0.076, 0.32, 0.092, 0.198, 0.2, 0.18, 0.11, 0.192, 0.152, 0.184, 0.1062124248496994]"
43,"[0.17165668662674652, 0.082, 0.172, 0.176, 0.162, 0.17, 0.176, 0.262, 0.158, 0.134, 0.238, 0.146, 0.144, 0.108, 0.132, 0.192, 0.128, 0.08, 0.184, 0.19438877755511022]"
44,"[0.19760479041916168, 0.198, 0.19, 0.224, 0.204, 0.186, 0.174, 0.108, 0.204, 0.076, 0.308, 0.116, 0.202, 0.204, 0.182, 0.112, 0.21, 0.164, 0.188, 0.10821643286573146]"
45,"[0.17764471057884232, 0.082, 0.17, 0.186, 0.164, 0.178, 0.178, 0.262, 0.166, 0.172, 0.26, 0.15, 0.158, 0.108, 0.136, 0.206, 0.168, 0.082, 0.19, 0.1963927855711423]"
46,"[0.22554890219560877, 0.208, 0.204, 0.242, 0.202, 0.202, 0.174, 0.108, 0.23, 0.076, 0.278, 0.194, 0.19, 0.204, 0.194, 0.126, 0.256, 0.192, 0.204, 0.11022044088176353]"
47,"[0.17964071856287425, 0.098, 0.17, 0.194, 0.202, 0.194, 0.178, 0.258, 0.196, 0.202, 0.268, 0.158, 0.202, 0.11, 0.148, 0.242, 0.24, 0.088, 0.216, 0.1963927855711423]"
48,"[0.25349301397205587, 0.226, 0.196, 0.286, 0.202, 0.228, 0.194, 0.114, 0.236, 0.076, 0.256, 0.224, 0.188, 0.208, 0.228, 0.146, 0.296, 0.208, 0.222, 0.11623246492985972]"
49,"[0.18562874251497005, 0.1, 0.172, 0.212, 0.22, 0.208, 0.186, 0.258, 0.206, 0.234, 0.282, 0.19, 0.24, 0.124, 0.17, 0.35, 0.27, 0.11, 0.304, 0.20240480961923848]"
50,"[0.2934131736526946, 0.256, 0.194, 0.306, 0.204, 0.254, 0.184, 0.138, 0.286, 0.104, 0.254, 0.246, 0.188, 0.226, 0.232, 0.17, 0.3, 0.244, 0.22, 0.13226452905811623]"
51,"[0.20958083832335328, 0.1, 0.18, 0.25, 0.27, 0.244, 0.208, 0.24, 0.22, 0.278, 0.326, 0.254, 0.256, 0.164, 0.182, 0.376, 0.27, 0.128, 0.376, 0.21442885771543085]"
52,"[0.29141716566866266, 0.302, 0.206, 0.322, 0.232, 0.272, 0.196, 0.204, 0.292, 0.148, 0.27, 0.26, 0.186, 0.262, 0.318, 0.19, 0.312, 0.322, 0.222, 0.17034068136272545]"
53,"[0.28542914171656686, 0.102, 0.212, 0.292, 0.344, 0.244, 0.226, 0.25, 0.22, 0.326, 0.366, 0.298, 0.234, 0.162, 0.188, 0.4, 0.28, 0.126, 0.382, 0.24248496993987975]"
54,"[0.2954091816367265, 0.314, 0.232, 0.326, 0.286, 0.288, 0.22, 0.248, 0.272, 0.176, 0.302, 0.276, 0.196, 0.302, 0.356, 0.192, 0.316, 0.35, 0.232, 0.19238476953907815]"
55,"[0.34530938123752497, 0.128, 0.25, 0.356, 0.368, 0.264, 0.256, 0.264, 0.222, 0.322, 0.376, 0.358, 0.276, 0.148, 0.188, 0.428, 0.29, 0.144, 0.374, 0.2625250501002004]"
56,"[0.2654690618762475, 0.316, 0.262, 0.338, 0.328, 0.296, 0.248, 0.266, 0.27, 0.18, 0.34, 0.336, 0.218, 0.334, 0.35, 0.192, 0.322, 0.344, 0.244, 0.22044088176352705]"
57,"[0.37325349301397204, 0.156, 0.286, 0.376, 0.374, 0.29, 0.262, 0.26, 0.236, 0.294, 0.354, 0.372, 0.318, 0.146, 0.196, 0.436, 0.3, 0.148, 0.374, 0.2845691382765531]"
58,"[0.23353293413173654, 0.322, 0.296, 0.334, 0.348, 0.304, 0.274, 0.304, 0.28, 0.194, 0.352, 0.364, 0.238, 0.348, 0.386, 0.192, 0.322, 0.326, 0.266, 0.24248496993987975]"
59,"[0.36726546906187624, 0.178, 0.296, 0.376, 0.368, 0.304, 0.252, 0.248, 0.228, 0.292, 0.366, 0.368, 0.35, 0.162, 0.214, 0.442, 0.3, 0.17, 0.38, 0.30060120240480964]"
60,"[0.21756487025948104, 0.322, 0.316, 0.314, 0.328, 0.296, 0.286, 0.32, 0.28, 0.234, 0.346, 0.348, 0.236, 0.35, 0.426, 0.196, 0.33, 0.324, 0.294, 0.2605210420841683]"
61,"[0.3912175648702595, 0.19, 0.314, 0.368, 0.336, 0.328, 0.234, 0.258, 0.228, 0.298, 0.366, 0.356, 0.362, 0.172, 0.234, 0.452, 0.314, 0.176, 0.384, 0.3066132264529058]"
62,"[0.2215568862275449, 0.32, 0.318, 0.314, 0.306, 0.298, 0.308, 0.33, 0.28, 0.258, 0.356, 0.33, 0.234, 0.356, 0.396, 0.224, 0.334, 0.328, 0.312, 0.2865731462925852]"
63,"[0.405189620758483, 0.202, 0.32, 0.356, 0.33, 0.328, 0.22, 0.27, 0.226, 0.302, 0.362, 0.348, 0.378, 0.202, 0.264, 0.458, 0.316, 0.192, 0.378, 0.3166332665330661]"
64,"[0.22355289421157684, 0.32, 0.316, 0.298, 0.304, 0.294, 0.31, 0.336, 0.284, 0.292, 0.376, 0.316, 0.238, 0.358, 0.43, 0.258, 0.328, 0.34, 0.336, 0.2985971943887776]"
65,"[0.40119760479041916, 0.212, 0.318, 0.352, 0.332, 0.34, 0.212, 0.276, 0.242, 0.314, 0.372, 0.344, 0.39, 0.254, 0.272, 0.462, 0.338, 0.204, 0.384, 0.32665330661322645]"
66,"[0.23353293413173654, 0.322, 0.334, 0.31, 0.31, 0.3, 0.306, 0.334, 0.292, 0.322, 0.372, 0.308, 0.238, 0.362, 0.428, 0.29, 0.318, 0.348, 0.336, 0.31462925851703405]"
67,"[0.4031936127744511, 0.238, 0.326, 0.35, 0.332, 0.344, 0.242, 0.282, 0.266, 0.292, 0.368, 0.36, 0.392, 0.312, 0.266, 0.456, 0.348, 0.214, 0.384, 0.35671342685370744]"
68,"[0.23353293413173654, 0.318, 0.35, 0.326, 0.34, 0.312, 0.324, 0.328, 0.304, 0.35, 0.402, 0.32, 0.244, 0.364, 0.442, 0.334, 0.312, 0.35, 0.326, 0.312625250501002]"
69,"[0.4031936127744511, 0.274, 0.33, 0.348, 0.33, 0.378, 0.28, 0.3, 0.318, 0.278, 0.352, 0.366, 0.388, 0.332, 0.29, 0.454, 0.358, 0.248, 0.39, 0.37675350701402804]"
70,"[0.24151696606786427, 0.328, 0.366, 0.34, 0.378, 0.318, 0.312, 0.348, 0.332, 0.384, 0.476, 0.316, 0.254, 0.378, 0.444, 0.372, 0.294, 0.344, 0.324, 0.32064128256513025]"
71,"[0.4231536926147705, 0.32, 0.34, 0.352, 0.328, 0.464, 0.294, 0.31, 0.34, 0.294, 0.354, 0.366, 0.388, 0.372, 0.298, 0.442, 0.37, 0.288, 0.394, 0.3627254509018036]"
