eigenvector_centrality,"[2, 0]"
0,"[0.102, 0.085, 0.109, 0.108, 0.16, 0.108, 0.11, 0.104, 0.088, 0.147]"
1,"[0.103, 0.091, 0.097, 0.098, 0.109, 0.107, 0.095, 0.098, 0.091, 0.079]"
2,"[0.205, 0.21, 0.109, 0.18, 0.104, 0.107, 0.094, 0.104, 0.11, 0.1]"
3,"[0.301, 0.188, 0.284, 0.097, 0.109, 0.274, 0.177, 0.099, 0.091, 0.079]"
4,"[0.306, 0.141, 0.236, 0.226, 0.213, 0.192, 0.189, 0.104, 0.185, 0.091]"
5,"[0.155, 0.277, 0.271, 0.345, 0.298, 0.096, 0.117, 0.159, 0.094, 0.175]"
6,"[0.364, 0.149, 0.237, 0.145, 0.183, 0.186, 0.334, 0.224, 0.14, 0.213]"
7,"[0.273, 0.333, 0.257, 0.343, 0.28, 0.185, 0.138, 0.185, 0.27, 0.241]"
8,"[0.358, 0.18, 0.306, 0.255, 0.177, 0.317, 0.385, 0.267, 0.188, 0.188]"
9,"[0.397, 0.38, 0.268, 0.381, 0.376, 0.148, 0.167, 0.216, 0.254, 0.257]"
10,"[0.36, 0.198, 0.382, 0.256, 0.291, 0.409, 0.381, 0.294, 0.274, 0.323]"
11,"[0.355, 0.392, 0.314, 0.325, 0.38, 0.149, 0.212, 0.26, 0.26, 0.287]"
12,"[0.312, 0.245, 0.397, 0.313, 0.331, 0.412, 0.31, 0.334, 0.276, 0.365]"
13,"[0.386, 0.355, 0.304, 0.314, 0.355, 0.211, 0.29, 0.292, 0.294, 0.313]"
14,"[0.273, 0.337, 0.398, 0.355, 0.324, 0.404, 0.289, 0.34, 0.288, 0.369]"
15,"[0.397, 0.293, 0.262, 0.286, 0.341, 0.301, 0.387, 0.3, 0.282, 0.318]"
16,"[0.267, 0.356, 0.332, 0.39, 0.299, 0.369, 0.225, 0.332, 0.3, 0.369]"
17,"[0.442, 0.246, 0.229, 0.243, 0.338, 0.328, 0.33, 0.307, 0.274, 0.332]"
18,"[0.285, 0.323, 0.311, 0.331, 0.295, 0.348, 0.201, 0.326, 0.303, 0.368]"
19,"[0.389, 0.236, 0.216, 0.233, 0.337, 0.342, 0.303, 0.321, 0.28, 0.364]"
20,"[0.299, 0.318, 0.304, 0.324, 0.29, 0.345, 0.199, 0.333, 0.322, 0.361]"
21,"[0.397, 0.219, 0.212, 0.229, 0.334, 0.336, 0.301, 0.336, 0.303, 0.376]"
22,"[0.335, 0.319, 0.305, 0.329, 0.276, 0.38, 0.203, 0.344, 0.351, 0.356]"
23,"[0.409, 0.206, 0.242, 0.225, 0.348, 0.322, 0.307, 0.345, 0.315, 0.387]"
24,"[0.359, 0.329, 0.311, 0.344, 0.28, 0.412, 0.207, 0.365, 0.372, 0.357]"
25,"[0.485, 0.218, 0.495, 0.225, 0.349, 0.309, 0.32, 0.35, 0.339, 0.399]"
26,"[0.548, 0.372, 0.497, 0.43, 0.321, 0.467, 0.35, 0.358, 0.382, 0.374]"
27,"[0.398, 0.278, 0.449, 0.348, 0.351, 0.319, 0.382, 0.354, 0.368, 0.372]"
28,"[0.554, 0.39, 0.521, 0.422, 0.301, 0.373, 0.318, 0.321, 0.355, 0.372]"
29,"[0.397, 0.249, 0.428, 0.403, 0.368, 0.319, 0.384, 0.342, 0.354, 0.347]"
30,"[0.517, 0.386, 0.532, 0.433, 0.261, 0.303, 0.294, 0.317, 0.372, 0.339]"
31,"[0.39, 0.22, 0.378, 0.396, 0.416, 0.282, 0.437, 0.283, 0.333, 0.324]"
32,"[0.532, 0.412, 0.56, 0.423, 0.223, 0.242, 0.283, 0.333, 0.319, 0.285]"
33,"[0.389, 0.187, 0.387, 0.327, 0.392, 0.328, 0.353, 0.234, 0.234, 0.319]"
34,"[0.564, 0.292, 0.506, 0.303, 0.195, 0.203, 0.223, 0.247, 0.242, 0.212]"
35,"[0.365, 0.181, 0.368, 0.401, 0.333, 0.376, 0.298, 0.189, 0.207, 0.286]"
36,"[0.557, 0.301, 0.557, 0.268, 0.184, 0.185, 0.207, 0.231, 0.171, 0.186]"
37,"[0.355, 0.159, 0.381, 0.398, 0.32, 0.415, 0.302, 0.171, 0.152, 0.269]"
38,"[0.544, 0.297, 0.548, 0.255, 0.176, 0.159, 0.188, 0.22, 0.152, 0.175]"
39,"[0.385, 0.15, 0.374, 0.378, 0.321, 0.396, 0.333, 0.149, 0.115, 0.267]"
40,"[0.53, 0.303, 0.574, 0.251, 0.171, 0.136, 0.175, 0.213, 0.14, 0.167]"
41,"[0.425, 0.15, 0.383, 0.351, 0.317, 0.36, 0.311, 0.145, 0.108, 0.266]"
42,"[0.577, 0.299, 0.545, 0.251, 0.165, 0.132, 0.167, 0.211, 0.132, 0.137]"
43,"[0.428, 0.149, 0.393, 0.29, 0.323, 0.333, 0.3, 0.141, 0.101, 0.259]"
44,"[0.454, 0.298, 0.51, 0.265, 0.165, 0.123, 0.166, 0.214, 0.123, 0.137]"
45,"[0.426, 0.142, 0.379, 0.242, 0.321, 0.322, 0.298, 0.134, 0.105, 0.25]"
46,"[0.437, 0.322, 0.471, 0.291, 0.147, 0.115, 0.166, 0.21, 0.127, 0.114]"
47,"[0.394, 0.14, 0.369, 0.231, 0.32, 0.311, 0.309, 0.128, 0.101, 0.244]"
48,"[0.443, 0.327, 0.438, 0.317, 0.132, 0.113, 0.163, 0.209, 0.124, 0.107]"
49,"[0.4, 0.122, 0.327, 0.234, 0.315, 0.285, 0.307, 0.128, 0.095, 0.229]"
50,"[0.394, 0.323, 0.362, 0.34, 0.115, 0.11, 0.144, 0.19, 0.116, 0.104]"
51,"[0.446, 0.108, 0.329, 0.286, 0.315, 0.287, 0.3, 0.127, 0.091, 0.244]"
52,"[0.376, 0.306, 0.374, 0.314, 0.11, 0.109, 0.123, 0.186, 0.113, 0.103]"
53,"[0.463, 0.105, 0.309, 0.293, 0.317, 0.286, 0.298, 0.124, 0.089, 0.241]"
54,"[0.346, 0.3, 0.444, 0.3, 0.109, 0.108, 0.108, 0.178, 0.108, 0.102]"
55,"[0.413, 0.104, 0.296, 0.3, 0.324, 0.295, 0.295, 0.124, 0.089, 0.239]"
56,"[0.411, 0.304, 0.436, 0.299, 0.108, 0.108, 0.104, 0.172, 0.103, 0.102]"
57,"[0.383, 0.101, 0.296, 0.299, 0.311, 0.294, 0.287, 0.123, 0.094, 0.245]"
58,"[0.389, 0.309, 0.42, 0.323, 0.108, 0.108, 0.098, 0.174, 0.103, 0.102]"
59,"[0.407, 0.102, 0.277, 0.278, 0.313, 0.296, 0.3, 0.124, 0.093, 0.265]"
60,"[0.377, 0.327, 0.368, 0.326, 0.107, 0.107, 0.097, 0.175, 0.101, 0.102]"
61,"[0.372, 0.102, 0.274, 0.273, 0.318, 0.304, 0.305, 0.124, 0.092, 0.273]"
62,"[0.375, 0.339, 0.301, 0.341, 0.107, 0.107, 0.097, 0.171, 0.101, 0.102]"
63,"[0.358, 0.101, 0.309, 0.281, 0.322, 0.292, 0.306, 0.123, 0.09, 0.253]"
64,"[0.323, 0.343, 0.328, 0.345, 0.107, 0.107, 0.096, 0.165, 0.102, 0.102]"
65,"[0.329, 0.101, 0.293, 0.27, 0.309, 0.3, 0.302, 0.123, 0.091, 0.214]"
66,"[0.393, 0.343, 0.277, 0.347, 0.108, 0.108, 0.096, 0.153, 0.098, 0.102]"
67,"[0.178, 0.1, 0.363, 0.252, 0.314, 0.278, 0.297, 0.122, 0.089, 0.232]"
68,"[0.348, 0.34, 0.245, 0.322, 0.109, 0.108, 0.097, 0.153, 0.1, 0.104]"
69,"[0.242, 0.098, 0.444, 0.224, 0.314, 0.277, 0.296, 0.12, 0.089, 0.234]"
70,"[0.254, 0.332, 0.263, 0.327, 0.11, 0.108, 0.097, 0.184, 0.105, 0.109]"
71,"[0.312, 0.097, 0.451, 0.2, 0.311, 0.276, 0.297, 0.12, 0.092, 0.213]"
72,"[0.221, 0.334, 0.28, 0.327, 0.111, 0.109, 0.097, 0.205, 0.104, 0.111]"
73,"[0.404, 0.098, 0.416, 0.206, 0.319, 0.283, 0.307, 0.123, 0.092, 0.22]"
74,"[0.195, 0.346, 0.286, 0.34, 0.11, 0.108, 0.097, 0.23, 0.128, 0.109]"
75,"[0.388, 0.099, 0.341, 0.203, 0.321, 0.286, 0.331, 0.123, 0.093, 0.211]"
76,"[0.133, 0.344, 0.296, 0.339, 0.106, 0.108, 0.097, 0.232, 0.158, 0.104]"
77,"[0.294, 0.098, 0.278, 0.193, 0.314, 0.292, 0.342, 0.123, 0.093, 0.2]"
78,"[0.096, 0.334, 0.396, 0.306, 0.105, 0.108, 0.095, 0.218, 0.167, 0.103]"
79,"[0.248, 0.097, 0.236, 0.194, 0.326, 0.304, 0.35, 0.125, 0.093, 0.233]"
80,"[0.138, 0.31, 0.426, 0.276, 0.106, 0.108, 0.097, 0.217, 0.16, 0.103]"
81,"[0.243, 0.098, 0.252, 0.192, 0.327, 0.303, 0.337, 0.126, 0.098, 0.234]"
82,"[0.278, 0.301, 0.421, 0.264, 0.108, 0.108, 0.097, 0.227, 0.172, 0.108]"
83,"[0.204, 0.097, 0.265, 0.189, 0.322, 0.302, 0.334, 0.125, 0.1, 0.236]"
84,"[0.309, 0.294, 0.419, 0.268, 0.109, 0.109, 0.097, 0.226, 0.17, 0.108]"
85,"[0.127, 0.097, 0.265, 0.185, 0.315, 0.275, 0.325, 0.122, 0.099, 0.237]"
86,"[0.28, 0.289, 0.411, 0.262, 0.107, 0.108, 0.095, 0.21, 0.105, 0.105]"
87,"[0.114, 0.096, 0.274, 0.174, 0.306, 0.271, 0.309, 0.12, 0.096, 0.227]"
88,"[0.215, 0.286, 0.412, 0.28, 0.106, 0.108, 0.095, 0.196, 0.112, 0.105]"
89,"[0.12, 0.096, 0.282, 0.155, 0.279, 0.258, 0.294, 0.119, 0.095, 0.212]"
90,"[0.205, 0.283, 0.408, 0.271, 0.105, 0.108, 0.095, 0.208, 0.113, 0.103]"
91,"[0.18, 0.095, 0.265, 0.14, 0.286, 0.261, 0.292, 0.12, 0.096, 0.216]"
92,"[0.184, 0.269, 0.411, 0.253, 0.105, 0.108, 0.095, 0.216, 0.11, 0.102]"
93,"[0.148, 0.095, 0.261, 0.102, 0.288, 0.262, 0.289, 0.121, 0.098, 0.229]"
94,"[0.161, 0.267, 0.398, 0.229, 0.104, 0.107, 0.095, 0.244, 0.123, 0.101]"
95,"[0.13, 0.093, 0.27, 0.099, 0.293, 0.266, 0.288, 0.121, 0.098, 0.234]"
96,"[0.15, 0.269, 0.342, 0.22, 0.104, 0.107, 0.095, 0.249, 0.149, 0.101]"
97,"[0.151, 0.093, 0.29, 0.098, 0.281, 0.265, 0.288, 0.119, 0.095, 0.221]"
98,"[0.137, 0.27, 0.307, 0.229, 0.104, 0.107, 0.095, 0.244, 0.165, 0.101]"
99,"[0.173, 0.093, 0.341, 0.099, 0.278, 0.263, 0.299, 0.119, 0.093, 0.217]"
