none,[]
0,"[0.088, 0.107, 0.095, 0.167, 0.094, 0.092, 0.089, 0.09, 0.1, 0.103]"
1,"[0.085, 0.085, 0.106, 0.118, 0.093, 0.103, 0.102, 0.102, 0.093, 0.103]"
2,"[0.121, 0.085, 0.106, 0.104, 0.094, 0.092, 0.102, 0.083, 0.109, 0.102]"
3,"[0.103, 0.115, 0.106, 0.128, 0.107, 0.108, 0.151, 0.102, 0.095, 0.102]"
4,"[0.103, 0.107, 0.11, 0.118, 0.094, 0.092, 0.102, 0.104, 0.093, 0.102]"
5,"[0.103, 0.107, 0.105, 0.122, 0.119, 0.092, 0.102, 0.102, 0.093, 0.102]"
6,"[0.107, 0.107, 0.104, 0.117, 0.101, 0.092, 0.102, 0.102, 0.094, 0.102]"
7,"[0.14, 0.239, 0.281, 0.239, 0.229, 0.264, 0.222, 0.114, 0.094, 0.158]"
8,"[0.259, 0.193, 0.223, 0.236, 0.236, 0.216, 0.177, 0.187, 0.234, 0.194]"
9,"[0.34, 0.176, 0.202, 0.272, 0.221, 0.199, 0.174, 0.276, 0.245, 0.345]"
10,"[0.219, 0.298, 0.322, 0.313, 0.346, 0.334, 0.312, 0.211, 0.213, 0.491]"
11,"[0.382, 0.182, 0.207, 0.235, 0.212, 0.217, 0.179, 0.342, 0.324, 0.44]"
12,"[0.202, 0.404, 0.349, 0.406, 0.384, 0.409, 0.415, 0.197, 0.2, 0.474]"
13,"[0.447, 0.166, 0.198, 0.209, 0.186, 0.193, 0.165, 0.443, 0.415, 0.354]"
14,"[0.2, 0.424, 0.395, 0.375, 0.37, 0.41, 0.416, 0.179, 0.191, 0.495]"
15,"[0.394, 0.156, 0.203, 0.21, 0.147, 0.179, 0.153, 0.369, 0.352, 0.317]"
16,"[0.214, 0.379, 0.34, 0.328, 0.316, 0.357, 0.379, 0.178, 0.191, 0.46]"
17,"[0.369, 0.154, 0.232, 0.24, 0.151, 0.193, 0.159, 0.33, 0.308, 0.298]"
18,"[0.281, 0.365, 0.338, 0.312, 0.313, 0.338, 0.368, 0.213, 0.216, 0.393]"
19,"[0.368, 0.233, 0.261, 0.288, 0.169, 0.28, 0.257, 0.327, 0.311, 0.305]"
20,"[0.328, 0.351, 0.338, 0.314, 0.324, 0.33, 0.351, 0.246, 0.278, 0.416]"
21,"[0.387, 0.262, 0.249, 0.311, 0.238, 0.299, 0.263, 0.332, 0.326, 0.37]"
22,"[0.302, 0.345, 0.347, 0.359, 0.355, 0.351, 0.361, 0.314, 0.284, 0.411]"
23,"[0.411, 0.325, 0.24, 0.272, 0.243, 0.319, 0.306, 0.353, 0.355, 0.376]"
24,"[0.279, 0.368, 0.329, 0.352, 0.381, 0.38, 0.393, 0.263, 0.262, 0.423]"
25,"[0.375, 0.287, 0.224, 0.238, 0.196, 0.286, 0.292, 0.335, 0.329, 0.364]"
26,"[0.267, 0.315, 0.3, 0.339, 0.326, 0.326, 0.352, 0.221, 0.223, 0.45]"
27,"[0.382, 0.249, 0.234, 0.253, 0.184, 0.238, 0.263, 0.322, 0.318, 0.368]"
28,"[0.309, 0.324, 0.333, 0.35, 0.352, 0.327, 0.354, 0.224, 0.224, 0.453]"
29,"[0.392, 0.249, 0.291, 0.303, 0.205, 0.229, 0.254, 0.345, 0.336, 0.393]"
30,"[0.333, 0.358, 0.326, 0.364, 0.352, 0.355, 0.37, 0.292, 0.293, 0.447]"
31,"[0.403, 0.309, 0.322, 0.314, 0.282, 0.312, 0.315, 0.365, 0.342, 0.423]"
32,"[0.35, 0.367, 0.339, 0.386, 0.373, 0.357, 0.385, 0.303, 0.326, 0.436]"
33,"[0.43, 0.35, 0.327, 0.329, 0.297, 0.344, 0.364, 0.38, 0.364, 0.468]"
34,"[0.365, 0.386, 0.358, 0.415, 0.399, 0.395, 0.399, 0.312, 0.338, 0.432]"
35,"[0.451, 0.352, 0.334, 0.333, 0.296, 0.364, 0.375, 0.405, 0.398, 0.494]"
36,"[0.342, 0.41, 0.392, 0.427, 0.415, 0.408, 0.413, 0.309, 0.354, 0.412]"
37,"[0.461, 0.348, 0.308, 0.317, 0.275, 0.357, 0.361, 0.425, 0.413, 0.519]"
38,"[0.325, 0.423, 0.407, 0.438, 0.425, 0.425, 0.427, 0.291, 0.335, 0.398]"
39,"[0.467, 0.344, 0.297, 0.31, 0.258, 0.359, 0.361, 0.437, 0.422, 0.566]"
40,"[0.326, 0.421, 0.412, 0.442, 0.43, 0.426, 0.426, 0.292, 0.324, 0.382]"
41,"[0.458, 0.345, 0.306, 0.311, 0.267, 0.365, 0.364, 0.434, 0.42, 0.574]"
42,"[0.342, 0.413, 0.418, 0.445, 0.435, 0.411, 0.421, 0.305, 0.33, 0.386]"
43,"[0.456, 0.346, 0.322, 0.324, 0.281, 0.375, 0.372, 0.437, 0.412, 0.543]"
44,"[0.368, 0.408, 0.419, 0.444, 0.424, 0.418, 0.411, 0.333, 0.345, 0.399]"
45,"[0.456, 0.344, 0.348, 0.359, 0.303, 0.397, 0.38, 0.428, 0.413, 0.518]"
46,"[0.402, 0.411, 0.408, 0.428, 0.427, 0.426, 0.411, 0.352, 0.359, 0.4]"
