eigenvector_centrality,[0]
0,"[0.102, 0.114, 0.109, 0.093, 0.109, 0.09, 0.123, 0.104, 0.091, 0.079]"
1,"[0.102, 0.114, 0.109, 0.093, 0.109, 0.09, 0.144, 0.104, 0.091, 0.079]"
2,"[0.102, 0.114, 0.109, 0.093, 0.109, 0.09, 0.109, 0.104, 0.091, 0.079]"
3,"[0.102, 0.123, 0.174, 0.112, 0.109, 0.09, 0.109, 0.104, 0.091, 0.141]"
4,"[0.192, 0.252, 0.198, 0.277, 0.222, 0.203, 0.221, 0.191, 0.17, 0.182]"
5,"[0.188, 0.259, 0.247, 0.178, 0.15, 0.13, 0.259, 0.192, 0.282, 0.187]"
6,"[0.195, 0.151, 0.205, 0.236, 0.099, 0.138, 0.111, 0.233, 0.212, 0.324]"
7,"[0.205, 0.357, 0.279, 0.297, 0.295, 0.248, 0.391, 0.285, 0.275, 0.284]"
8,"[0.358, 0.298, 0.317, 0.323, 0.298, 0.316, 0.385, 0.307, 0.28, 0.501]"
9,"[0.345, 0.311, 0.314, 0.29, 0.324, 0.33, 0.35, 0.388, 0.361, 0.341]"
10,"[0.337, 0.378, 0.387, 0.378, 0.364, 0.359, 0.384, 0.292, 0.359, 0.431]"
11,"[0.36, 0.293, 0.283, 0.251, 0.316, 0.319, 0.376, 0.403, 0.372, 0.349]"
12,"[0.348, 0.389, 0.389, 0.375, 0.378, 0.364, 0.424, 0.31, 0.402, 0.407]"
13,"[0.371, 0.256, 0.247, 0.262, 0.28, 0.288, 0.385, 0.408, 0.396, 0.361]"
14,"[0.366, 0.368, 0.357, 0.351, 0.37, 0.352, 0.417, 0.341, 0.408, 0.376]"
15,"[0.393, 0.323, 0.29, 0.302, 0.319, 0.295, 0.335, 0.409, 0.402, 0.37]"
16,"[0.346, 0.34, 0.328, 0.337, 0.358, 0.348, 0.397, 0.348, 0.412, 0.347]"
17,"[0.395, 0.308, 0.298, 0.283, 0.318, 0.31, 0.364, 0.411, 0.395, 0.368]"
18,"[0.345, 0.325, 0.322, 0.344, 0.348, 0.362, 0.389, 0.36, 0.378, 0.294]"
19,"[0.373, 0.305, 0.285, 0.296, 0.333, 0.343, 0.367, 0.393, 0.378, 0.387]"
20,"[0.343, 0.33, 0.316, 0.352, 0.357, 0.379, 0.392, 0.364, 0.377, 0.302]"
21,"[0.389, 0.308, 0.283, 0.289, 0.322, 0.344, 0.362, 0.396, 0.392, 0.402]"
22,"[0.347, 0.297, 0.287, 0.32, 0.315, 0.351, 0.417, 0.365, 0.375, 0.316]"
23,"[0.348, 0.305, 0.285, 0.291, 0.323, 0.338, 0.364, 0.366, 0.38, 0.38]"
24,"[0.352, 0.313, 0.301, 0.334, 0.315, 0.36, 0.396, 0.37, 0.378, 0.357]"
25,"[0.38, 0.307, 0.292, 0.289, 0.323, 0.344, 0.373, 0.393, 0.412, 0.39]"
26,"[0.456, 0.409, 0.395, 0.429, 0.432, 0.458, 0.599, 0.349, 0.369, 0.299]"
27,"[0.403, 0.28, 0.267, 0.262, 0.314, 0.327, 0.532, 0.45, 0.459, 0.426]"
28,"[0.452, 0.442, 0.416, 0.457, 0.435, 0.461, 0.533, 0.3, 0.335, 0.366]"
29,"[0.37, 0.257, 0.248, 0.248, 0.286, 0.298, 0.354, 0.431, 0.428, 0.452]"
30,"[0.325, 0.397, 0.394, 0.431, 0.416, 0.439, 0.355, 0.306, 0.434, 0.422]"
31,"[0.467, 0.303, 0.313, 0.345, 0.332, 0.341, 0.274, 0.356, 0.339, 0.345]"
32,"[0.274, 0.302, 0.29, 0.316, 0.323, 0.348, 0.269, 0.345, 0.407, 0.293]"
33,"[0.528, 0.224, 0.224, 0.215, 0.342, 0.354, 0.228, 0.297, 0.274, 0.286]"
34,"[0.263, 0.28, 0.262, 0.292, 0.281, 0.311, 0.258, 0.229, 0.213, 0.186]"
35,"[0.51, 0.146, 0.155, 0.153, 0.177, 0.193, 0.212, 0.298, 0.284, 0.273]"
36,"[0.252, 0.282, 0.26, 0.291, 0.278, 0.319, 0.244, 0.194, 0.198, 0.179]"
37,"[0.496, 0.161, 0.159, 0.164, 0.167, 0.183, 0.2, 0.254, 0.244, 0.21]"
38,"[0.255, 0.212, 0.21, 0.237, 0.221, 0.225, 0.24, 0.196, 0.196, 0.189]"
39,"[0.486, 0.164, 0.16, 0.18, 0.166, 0.18, 0.2, 0.227, 0.215, 0.201]"
40,"[0.261, 0.209, 0.2, 0.225, 0.214, 0.221, 0.236, 0.196, 0.19, 0.184]"
41,"[0.465, 0.156, 0.155, 0.17, 0.16, 0.175, 0.196, 0.226, 0.214, 0.195]"
42,"[0.263, 0.205, 0.197, 0.217, 0.213, 0.212, 0.227, 0.192, 0.178, 0.173]"
43,"[0.449, 0.14, 0.149, 0.157, 0.146, 0.157, 0.186, 0.225, 0.208, 0.189]"
44,"[0.264, 0.204, 0.198, 0.215, 0.213, 0.21, 0.222, 0.179, 0.165, 0.162]"
45,"[0.445, 0.137, 0.143, 0.147, 0.136, 0.151, 0.187, 0.226, 0.21, 0.191]"
46,"[0.261, 0.204, 0.198, 0.215, 0.209, 0.21, 0.219, 0.172, 0.158, 0.151]"
47,"[0.464, 0.134, 0.137, 0.143, 0.134, 0.148, 0.18, 0.225, 0.209, 0.185]"
48,"[0.257, 0.205, 0.199, 0.215, 0.212, 0.216, 0.218, 0.167, 0.152, 0.147]"
49,"[0.461, 0.128, 0.134, 0.147, 0.137, 0.15, 0.182, 0.228, 0.212, 0.188]"
50,"[0.261, 0.209, 0.202, 0.22, 0.212, 0.221, 0.207, 0.162, 0.147, 0.146]"
51,"[0.429, 0.127, 0.133, 0.147, 0.139, 0.149, 0.186, 0.229, 0.212, 0.188]"
52,"[0.257, 0.21, 0.208, 0.219, 0.212, 0.222, 0.198, 0.161, 0.144, 0.143]"
53,"[0.462, 0.128, 0.133, 0.145, 0.14, 0.149, 0.191, 0.227, 0.212, 0.187]"
54,"[0.277, 0.208, 0.212, 0.225, 0.216, 0.227, 0.186, 0.167, 0.147, 0.143]"
55,"[0.434, 0.133, 0.139, 0.152, 0.143, 0.157, 0.206, 0.227, 0.215, 0.192]"
56,"[0.278, 0.212, 0.214, 0.232, 0.22, 0.228, 0.186, 0.172, 0.155, 0.147]"
57,"[0.426, 0.142, 0.144, 0.158, 0.147, 0.164, 0.206, 0.231, 0.218, 0.197]"
58,"[0.286, 0.214, 0.213, 0.23, 0.222, 0.232, 0.186, 0.183, 0.16, 0.151]"
59,"[0.419, 0.144, 0.146, 0.161, 0.151, 0.168, 0.198, 0.232, 0.218, 0.2]"
60,"[0.282, 0.216, 0.214, 0.231, 0.221, 0.228, 0.185, 0.188, 0.162, 0.156]"
61,"[0.442, 0.15, 0.149, 0.168, 0.156, 0.174, 0.2, 0.232, 0.22, 0.201]"
62,"[0.276, 0.218, 0.215, 0.232, 0.225, 0.229, 0.188, 0.188, 0.163, 0.162]"
63,"[0.417, 0.153, 0.152, 0.172, 0.163, 0.183, 0.189, 0.233, 0.221, 0.201]"
64,"[0.286, 0.218, 0.214, 0.233, 0.224, 0.227, 0.193, 0.189, 0.164, 0.166]"
65,"[0.406, 0.155, 0.154, 0.174, 0.166, 0.189, 0.172, 0.233, 0.22, 0.203]"
66,"[0.288, 0.216, 0.209, 0.227, 0.219, 0.224, 0.204, 0.191, 0.165, 0.168]"
67,"[0.445, 0.159, 0.157, 0.18, 0.167, 0.191, 0.165, 0.234, 0.219, 0.203]"
68,"[0.283, 0.215, 0.209, 0.226, 0.219, 0.22, 0.189, 0.197, 0.172, 0.17]"
69,"[0.44, 0.162, 0.162, 0.182, 0.172, 0.192, 0.171, 0.234, 0.218, 0.203]"
70,"[0.272, 0.216, 0.21, 0.227, 0.219, 0.223, 0.178, 0.198, 0.173, 0.174]"
71,"[0.435, 0.163, 0.162, 0.183, 0.172, 0.192, 0.173, 0.234, 0.22, 0.203]"
72,"[0.268, 0.218, 0.212, 0.23, 0.22, 0.227, 0.177, 0.198, 0.172, 0.173]"
73,"[0.375, 0.163, 0.159, 0.182, 0.172, 0.193, 0.18, 0.234, 0.221, 0.205]"
74,"[0.328, 0.219, 0.213, 0.234, 0.22, 0.228, 0.177, 0.197, 0.178, 0.172]"
75,"[0.346, 0.169, 0.164, 0.185, 0.185, 0.198, 0.196, 0.241, 0.227, 0.21]"
76,"[0.382, 0.221, 0.217, 0.236, 0.224, 0.232, 0.175, 0.202, 0.181, 0.177]"
77,"[0.303, 0.176, 0.168, 0.195, 0.189, 0.2, 0.188, 0.246, 0.232, 0.219]"
78,"[0.426, 0.22, 0.219, 0.237, 0.224, 0.234, 0.164, 0.204, 0.183, 0.176]"
79,"[0.291, 0.178, 0.172, 0.197, 0.191, 0.201, 0.185, 0.245, 0.232, 0.22]"
80,"[0.446, 0.219, 0.219, 0.236, 0.224, 0.232, 0.17, 0.205, 0.184, 0.178]"
81,"[0.282, 0.178, 0.171, 0.197, 0.192, 0.2, 0.182, 0.245, 0.231, 0.219]"
82,"[0.422, 0.219, 0.217, 0.234, 0.221, 0.229, 0.174, 0.205, 0.183, 0.176]"
83,"[0.305, 0.178, 0.169, 0.195, 0.191, 0.2, 0.176, 0.243, 0.229, 0.215]"
84,"[0.396, 0.219, 0.214, 0.231, 0.219, 0.228, 0.182, 0.205, 0.182, 0.176]"
85,"[0.296, 0.175, 0.168, 0.194, 0.187, 0.199, 0.177, 0.239, 0.224, 0.209]"
86,"[0.468, 0.216, 0.211, 0.229, 0.217, 0.223, 0.172, 0.203, 0.181, 0.17]"
87,"[0.312, 0.175, 0.168, 0.195, 0.188, 0.2, 0.192, 0.238, 0.223, 0.208]"
88,"[0.472, 0.216, 0.209, 0.226, 0.217, 0.221, 0.176, 0.202, 0.181, 0.172]"
89,"[0.307, 0.175, 0.169, 0.196, 0.19, 0.2, 0.199, 0.235, 0.222, 0.206]"
90,"[0.455, 0.215, 0.205, 0.223, 0.215, 0.22, 0.178, 0.202, 0.18, 0.171]"
91,"[0.327, 0.175, 0.169, 0.194, 0.188, 0.207, 0.214, 0.234, 0.22, 0.205]"
92,"[0.37, 0.211, 0.204, 0.222, 0.216, 0.219, 0.19, 0.204, 0.181, 0.174]"
93,"[0.361, 0.176, 0.169, 0.195, 0.188, 0.208, 0.22, 0.234, 0.22, 0.204]"
94,"[0.379, 0.213, 0.208, 0.226, 0.217, 0.222, 0.205, 0.204, 0.183, 0.177]"
95,"[0.364, 0.177, 0.171, 0.198, 0.188, 0.203, 0.225, 0.234, 0.221, 0.205]"
96,"[0.385, 0.211, 0.206, 0.224, 0.217, 0.221, 0.201, 0.203, 0.184, 0.179]"
97,"[0.344, 0.179, 0.172, 0.198, 0.194, 0.21, 0.231, 0.232, 0.218, 0.203]"
98,"[0.363, 0.21, 0.205, 0.223, 0.216, 0.219, 0.195, 0.204, 0.185, 0.178]"
99,"[0.344, 0.178, 0.177, 0.198, 0.191, 0.207, 0.205, 0.235, 0.219, 0.203]"
