eigenvector_centrality,[0]
0,"[0.094, 0.125, 0.083, 0.218, 0.172, 0.123, 0.158, 0.092, 0.175, 0.11]"
1,"[0.022, 0.115, 0.083, 0.162, 0.138, 0.108, 0.22, 0.265, 0.102, 0.103]"
2,"[0.203, 0.115, 0.088, 0.09, 0.196, 0.113, 0.147, 0.092, 0.1, 0.102]"
3,"[0.11, 0.108, 0.083, 0.195, 0.161, 0.194, 0.213, 0.288, 0.231, 0.118]"
4,"[0.266, 0.185, 0.273, 0.204, 0.182, 0.21, 0.196, 0.092, 0.221, 0.102]"
5,"[0.191, 0.107, 0.159, 0.291, 0.29, 0.207, 0.241, 0.354, 0.232, 0.242]"
6,"[0.196, 0.184, 0.313, 0.236, 0.198, 0.215, 0.267, 0.211, 0.322, 0.102]"
7,"[0.209, 0.107, 0.215, 0.195, 0.204, 0.232, 0.23, 0.395, 0.225, 0.2]"
8,"[0.153, 0.213, 0.374, 0.306, 0.235, 0.277, 0.263, 0.266, 0.305, 0.102]"
9,"[0.164, 0.107, 0.211, 0.158, 0.16, 0.174, 0.164, 0.382, 0.155, 0.295]"
10,"[0.108, 0.229, 0.285, 0.253, 0.23, 0.238, 0.268, 0.316, 0.237, 0.108]"
11,"[0.106, 0.111, 0.215, 0.191, 0.198, 0.242, 0.234, 0.265, 0.204, 0.25]"
12,"[0.12, 0.21, 0.193, 0.251, 0.244, 0.239, 0.28, 0.334, 0.231, 0.312]"
13,"[0.105, 0.258, 0.277, 0.259, 0.287, 0.27, 0.275, 0.221, 0.26, 0.256]"
14,"[0.221, 0.23, 0.133, 0.298, 0.294, 0.313, 0.332, 0.336, 0.29, 0.274]"
15,"[0.108, 0.264, 0.257, 0.258, 0.288, 0.267, 0.268, 0.318, 0.26, 0.339]"
16,"[0.244, 0.307, 0.23, 0.379, 0.338, 0.341, 0.37, 0.366, 0.37, 0.277]"
17,"[0.207, 0.246, 0.218, 0.244, 0.269, 0.237, 0.257, 0.368, 0.253, 0.424]"
18,"[0.189, 0.355, 0.282, 0.351, 0.338, 0.357, 0.359, 0.366, 0.364, 0.278]"
19,"[0.247, 0.204, 0.188, 0.235, 0.274, 0.244, 0.254, 0.391, 0.27, 0.422]"
20,"[0.144, 0.374, 0.33, 0.362, 0.342, 0.388, 0.371, 0.367, 0.382, 0.326]"
21,"[0.273, 0.181, 0.164, 0.259, 0.285, 0.265, 0.256, 0.433, 0.283, 0.435]"
22,"[0.112, 0.41, 0.374, 0.394, 0.374, 0.418, 0.403, 0.377, 0.412, 0.358]"
23,"[0.303, 0.169, 0.199, 0.288, 0.307, 0.303, 0.289, 0.443, 0.289, 0.442]"
24,"[0.11, 0.432, 0.397, 0.412, 0.403, 0.433, 0.422, 0.389, 0.429, 0.377]"
25,"[0.261, 0.208, 0.222, 0.291, 0.335, 0.341, 0.315, 0.443, 0.302, 0.438]"
26,"[0.423, 0.461, 0.459, 0.516, 0.494, 0.508, 0.502, 0.399, 0.504, 0.381]"
27,"[0.497, 0.437, 0.431, 0.481, 0.43, 0.447, 0.469, 0.466, 0.481, 0.449]"
28,"[0.492, 0.444, 0.448, 0.431, 0.412, 0.433, 0.438, 0.443, 0.438, 0.395]"
29,"[0.389, 0.385, 0.454, 0.39, 0.382, 0.403, 0.418, 0.441, 0.399, 0.43]"
30,"[0.356, 0.333, 0.345, 0.246, 0.267, 0.298, 0.266, 0.46, 0.26, 0.364]"
31,"[0.392, 0.39, 0.361, 0.249, 0.254, 0.29, 0.271, 0.342, 0.261, 0.27]"
32,"[0.266, 0.314, 0.301, 0.195, 0.218, 0.24, 0.236, 0.319, 0.222, 0.341]"
33,"[0.461, 0.278, 0.205, 0.144, 0.167, 0.192, 0.186, 0.286, 0.174, 0.292]"
34,"[0.271, 0.252, 0.208, 0.157, 0.175, 0.191, 0.191, 0.196, 0.186, 0.235]"
35,"[0.41, 0.209, 0.161, 0.105, 0.134, 0.145, 0.149, 0.195, 0.141, 0.209]"
36,"[0.255, 0.216, 0.176, 0.132, 0.156, 0.169, 0.174, 0.165, 0.164, 0.185]"
37,"[0.415, 0.187, 0.155, 0.085, 0.107, 0.112, 0.1, 0.152, 0.113, 0.184]"
38,"[0.228, 0.196, 0.159, 0.115, 0.145, 0.154, 0.157, 0.155, 0.149, 0.17]"
39,"[0.369, 0.181, 0.143, 0.081, 0.103, 0.108, 0.095, 0.139, 0.109, 0.17]"
40,"[0.106, 0.188, 0.154, 0.096, 0.115, 0.124, 0.117, 0.148, 0.12, 0.157]"
41,"[0.341, 0.184, 0.148, 0.082, 0.104, 0.11, 0.096, 0.135, 0.109, 0.165]"
42,"[0.106, 0.183, 0.155, 0.091, 0.104, 0.113, 0.101, 0.136, 0.112, 0.143]"
43,"[0.332, 0.183, 0.146, 0.082, 0.103, 0.108, 0.095, 0.145, 0.109, 0.162]"
44,"[0.249, 0.178, 0.153, 0.093, 0.109, 0.115, 0.109, 0.133, 0.115, 0.157]"
45,"[0.29, 0.187, 0.152, 0.101, 0.121, 0.126, 0.115, 0.14, 0.122, 0.156]"
46,"[0.35, 0.182, 0.146, 0.09, 0.114, 0.119, 0.113, 0.138, 0.117, 0.155]"
47,"[0.294, 0.174, 0.144, 0.093, 0.105, 0.116, 0.101, 0.14, 0.114, 0.15]"
48,"[0.391, 0.18, 0.142, 0.083, 0.103, 0.11, 0.098, 0.143, 0.11, 0.148]"
49,"[0.302, 0.171, 0.13, 0.09, 0.106, 0.114, 0.098, 0.142, 0.111, 0.14]"
50,"[0.41, 0.179, 0.145, 0.086, 0.104, 0.11, 0.097, 0.141, 0.115, 0.152]"
51,"[0.272, 0.169, 0.138, 0.089, 0.106, 0.116, 0.099, 0.144, 0.117, 0.133]"
52,"[0.44, 0.178, 0.124, 0.082, 0.103, 0.109, 0.095, 0.142, 0.108, 0.155]"
