none,[]
0,"[0.09580838323353294, 0.116, 0.1, 0.082, 0.112, 0.094, 0.124, 0.108, 0.106, 0.082, 0.112, 0.106, 0.09, 0.084, 0.19, 0.084, 0.082, 0.114, 0.104, 0.11823647294589178]"
1,"[0.08383233532934131, 0.094, 0.1, 0.082, 0.112, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.086, 0.1, 0.096, 0.11, 0.082, 0.142, 0.084, 0.104, 0.10220440881763528]"
2,"[0.08383233532934131, 0.094, 0.132, 0.082, 0.112, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.088, 0.102, 0.098, 0.104, 0.10220440881763528]"
3,"[0.08383233532934131, 0.094, 0.086, 0.082, 0.112, 0.102, 0.124, 0.108, 0.106, 0.082, 0.112, 0.092, 0.1, 0.084, 0.11, 0.116, 0.102, 0.108, 0.104, 0.10220440881763528]"
4,"[0.08383233532934131, 0.094, 0.086, 0.082, 0.112, 0.102, 0.124, 0.114, 0.106, 0.082, 0.116, 0.092, 0.102, 0.084, 0.11, 0.1, 0.102, 0.098, 0.104, 0.1282565130260521]"
5,"[0.08383233532934131, 0.112, 0.086, 0.082, 0.112, 0.118, 0.102, 0.126, 0.158, 0.116, 0.112, 0.13, 0.1, 0.084, 0.112, 0.116, 0.112, 0.108, 0.106, 0.10220440881763528]"
6,"[0.11177644710578842, 0.098, 0.086, 0.124, 0.09, 0.196, 0.126, 0.104, 0.112, 0.076, 0.1, 0.084, 0.106, 0.12, 0.106, 0.122, 0.12, 0.148, 0.11, 0.10020040080160321]"
7,"[0.11177644710578842, 0.098, 0.102, 0.128, 0.092, 0.126, 0.098, 0.118, 0.112, 0.076, 0.11, 0.082, 0.098, 0.124, 0.104, 0.114, 0.12, 0.08, 0.104, 0.08817635270541083]"
8,"[0.09381237524950099, 0.09, 0.128, 0.13, 0.12, 0.138, 0.12, 0.104, 0.082, 0.096, 0.1, 0.096, 0.098, 0.132, 0.096, 0.108, 0.106, 0.102, 0.104, 0.10020040080160321]"
9,"[0.09580838323353294, 0.104, 0.122, 0.094, 0.096, 0.124, 0.11, 0.1, 0.142, 0.086, 0.086, 0.1, 0.128, 0.112, 0.092, 0.134, 0.132, 0.08, 0.104, 0.1062124248496994]"
