out_deg_centrality,[4 0 1 2]
0,"[0.11776447105788423, 0.132, 0.118, 0.174, 0.09, 0.118, 0.156, 0.094, 0.182, 0.098, 0.158, 0.084, 0.106, 0.084, 0.082, 0.108, 0.082, 0.098, 0.11, 0.09018036072144289]"
1,"[0.10778443113772455, 0.098, 0.08, 0.164, 0.09, 0.118, 0.102, 0.104, 0.114, 0.076, 0.1, 0.09, 0.098, 0.106, 0.096, 0.092, 0.134, 0.092, 0.104, 0.10020040080160321]"
2,"[0.08782435129740519, 0.098, 0.094, 0.12, 0.09, 0.118, 0.098, 0.104, 0.112, 0.076, 0.1, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.08, 0.104, 0.10020040080160321]"
3,"[0.10778443113772455, 0.098, 0.112, 0.098, 0.09, 0.118, 0.098, 0.104, 0.114, 0.076, 0.1, 0.068, 0.098, 0.106, 0.096, 0.092, 0.106, 0.092, 0.104, 0.10220440881763528]"
4,"[0.10778443113772455, 0.098, 0.098, 0.098, 0.09, 0.114, 0.098, 0.104, 0.112, 0.076, 0.1, 0.084, 0.098, 0.106, 0.086, 0.108, 0.106, 0.102, 0.104, 0.10020040080160321]"
5,"[0.10778443113772455, 0.078, 0.124, 0.098, 0.09, 0.118, 0.12, 0.104, 0.07, 0.076, 0.1, 0.076, 0.098, 0.106, 0.096, 0.108, 0.106, 0.09, 0.104, 0.10420841683366733]"
6,"[0.10978043912175649, 0.098, 0.156, 0.1, 0.09, 0.112, 0.1, 0.104, 0.112, 0.086, 0.1, 0.084, 0.098, 0.106, 0.096, 0.108, 0.106, 0.132, 0.104, 0.10020040080160321]"
7,"[0.10778443113772455, 0.078, 0.088, 0.1, 0.09, 0.118, 0.116, 0.104, 0.07, 0.076, 0.1, 0.094, 0.098, 0.106, 0.096, 0.108, 0.106, 0.092, 0.104, 0.10420841683366733]"
8,"[0.10778443113772455, 0.098, 0.06, 0.1, 0.09, 0.118, 0.102, 0.104, 0.112, 0.076, 0.112, 0.084, 0.098, 0.106, 0.096, 0.11, 0.106, 0.08, 0.104, 0.10020040080160321]"
9,"[0.10778443113772455, 0.082, 0.094, 0.076, 0.09, 0.118, 0.108, 0.122, 0.07, 0.076, 0.1, 0.166, 0.098, 0.106, 0.096, 0.094, 0.106, 0.08, 0.104, 0.10420841683366733]"
10,"[0.10778443113772455, 0.098, 0.098, 0.12, 0.09, 0.118, 0.106, 0.104, 0.112, 0.076, 0.112, 0.084, 0.098, 0.106, 0.096, 0.118, 0.106, 0.08, 0.104, 0.10020040080160321]"
11,"[0.10778443113772455, 0.108, 0.106, 0.12, 0.09, 0.118, 0.098, 0.132, 0.07, 0.076, 0.106, 0.114, 0.098, 0.106, 0.096, 0.11, 0.106, 0.08, 0.102, 0.10420841683366733]"
12,"[0.10778443113772455, 0.098, 0.094, 0.12, 0.09, 0.118, 0.1, 0.096, 0.112, 0.076, 0.112, 0.084, 0.098, 0.122, 0.096, 0.116, 0.106, 0.08, 0.104, 0.10020040080160321]"
13,"[0.10778443113772455, 0.082, 0.106, 0.12, 0.09, 0.118, 0.098, 0.134, 0.07, 0.078, 0.1, 0.172, 0.104, 0.106, 0.096, 0.108, 0.106, 0.08, 0.074, 0.10420841683366733]"
14,"[0.10978043912175649, 0.098, 0.094, 0.12, 0.098, 0.104, 0.1, 0.086, 0.112, 0.076, 0.112, 0.084, 0.098, 0.106, 0.096, 0.116, 0.106, 0.084, 0.104, 0.10020040080160321]"
15,"[0.10778443113772455, 0.082, 0.114, 0.12, 0.09, 0.118, 0.098, 0.106, 0.07, 0.096, 0.068, 0.172, 0.118, 0.106, 0.096, 0.108, 0.106, 0.08, 0.102, 0.10420841683366733]"
16,"[0.06986027944111776, 0.098, 0.094, 0.12, 0.112, 0.102, 0.1, 0.092, 0.112, 0.076, 0.112, 0.084, 0.098, 0.106, 0.096, 0.116, 0.106, 0.076, 0.104, 0.10020040080160321]"
