none,[]
0,"[0.07784431137724551, 0.24, 0.194, 0.1, 0.108, 0.088, 0.108, 0.102, 0.07, 0.1, 0.078, 0.092, 0.12, 0.1, 0.102, 0.088, 0.134, 0.092, 0.102, 0.11823647294589178]"
1,"[0.07784431137724551, 0.082, 0.118, 0.1, 0.13, 0.106, 0.1, 0.094, 0.088, 0.098, 0.078, 0.092, 0.12, 0.098, 0.092, 0.116, 0.134, 0.092, 0.102, 0.10420841683366733]"
2,"[0.07784431137724551, 0.082, 0.118, 0.1, 0.13, 0.102, 0.1, 0.094, 0.07, 0.098, 0.078, 0.092, 0.12, 0.098, 0.092, 0.116, 0.134, 0.092, 0.102, 0.10420841683366733]"
3,"[0.07784431137724551, 0.082, 0.118, 0.1, 0.13, 0.102, 0.1, 0.094, 0.07, 0.098, 0.078, 0.092, 0.12, 0.098, 0.092, 0.116, 0.134, 0.092, 0.102, 0.10420841683366733]"
4,"[0.07784431137724551, 0.082, 0.118, 0.1, 0.13, 0.102, 0.1, 0.094, 0.07, 0.098, 0.078, 0.092, 0.12, 0.098, 0.092, 0.116, 0.134, 0.092, 0.102, 0.10420841683366733]"
5,"[0.07784431137724551, 0.082, 0.118, 0.1, 0.13, 0.102, 0.1, 0.094, 0.07, 0.098, 0.078, 0.092, 0.12, 0.098, 0.092, 0.116, 0.134, 0.092, 0.102, 0.10420841683366733]"
6,"[0.07784431137724551, 0.082, 0.118, 0.1, 0.13, 0.102, 0.1, 0.094, 0.07, 0.098, 0.078, 0.092, 0.12, 0.098, 0.092, 0.116, 0.134, 0.092, 0.102, 0.10420841683366733]"
7,"[0.07984031936127745, 0.082, 0.118, 0.1, 0.14, 0.102, 0.1, 0.094, 0.07, 0.098, 0.078, 0.092, 0.132, 0.098, 0.092, 0.116, 0.134, 0.092, 0.102, 0.10420841683366733]"
8,"[0.11177644710578842, 0.218, 0.244, 0.19, 0.178, 0.192, 0.232, 0.176, 0.132, 0.152, 0.1, 0.26, 0.158, 0.104, 0.12, 0.214, 0.244, 0.2, 0.136, 0.16633266533066132]"
9,"[0.2694610778443114, 0.256, 0.162, 0.22, 0.238, 0.17, 0.28, 0.324, 0.304, 0.264, 0.354, 0.194, 0.2, 0.376, 0.364, 0.216, 0.282, 0.198, 0.356, 0.35671342685370744]"
10,"[0.25349301397205587, 0.408, 0.41, 0.3, 0.22, 0.384, 0.282, 0.2, 0.316, 0.362, 0.262, 0.298, 0.376, 0.228, 0.2, 0.32, 0.26, 0.436, 0.222, 0.28857715430861725]"
11,"[0.4311377245508982, 0.232, 0.17, 0.21, 0.292, 0.134, 0.368, 0.306, 0.414, 0.35, 0.372, 0.178, 0.184, 0.332, 0.294, 0.224, 0.294, 0.21, 0.34, 0.33266533066132264]"
12,"[0.35528942115768464, 0.36, 0.328, 0.302, 0.222, 0.244, 0.342, 0.16, 0.298, 0.364, 0.14, 0.312, 0.332, 0.144, 0.114, 0.318, 0.37, 0.452, 0.182, 0.23847695390781562]"
13,"[0.47704590818363274, 0.14, 0.196, 0.138, 0.332, 0.116, 0.296, 0.328, 0.328, 0.226, 0.352, 0.168, 0.114, 0.312, 0.34, 0.168, 0.354, 0.236, 0.358, 0.35470941883767537]"
14,"[0.4151696606786427, 0.372, 0.298, 0.264, 0.19, 0.248, 0.29, 0.184, 0.28, 0.386, 0.13, 0.316, 0.358, 0.156, 0.11, 0.322, 0.35, 0.38, 0.182, 0.22244488977955912]"
15,"[0.3812375249500998, 0.222, 0.348, 0.12, 0.394, 0.124, 0.364, 0.392, 0.318, 0.214, 0.344, 0.164, 0.114, 0.316, 0.328, 0.152, 0.378, 0.31, 0.346, 0.3727454909819639]"
16,"[0.3872255489021956, 0.434, 0.288, 0.25, 0.224, 0.254, 0.31, 0.262, 0.336, 0.458, 0.13, 0.312, 0.42, 0.164, 0.184, 0.366, 0.362, 0.334, 0.182, 0.32665330661322645]"
17,"[0.37524950099800397, 0.302, 0.426, 0.114, 0.368, 0.218, 0.332, 0.378, 0.272, 0.262, 0.342, 0.168, 0.138, 0.324, 0.326, 0.168, 0.34, 0.334, 0.34, 0.43687374749499]"
18,"[0.35728542914171657, 0.456, 0.288, 0.252, 0.32, 0.258, 0.338, 0.35, 0.398, 0.448, 0.156, 0.324, 0.42, 0.178, 0.266, 0.432, 0.35, 0.366, 0.182, 0.39879759519038077]"
19,"[0.32335329341317365, 0.392, 0.348, 0.154, 0.356, 0.254, 0.332, 0.366, 0.268, 0.306, 0.342, 0.172, 0.198, 0.362, 0.33, 0.21, 0.352, 0.346, 0.366, 0.43887775551102204]"
20,"[0.3652694610778443, 0.436, 0.288, 0.262, 0.316, 0.25, 0.376, 0.39, 0.396, 0.404, 0.232, 0.36, 0.412, 0.214, 0.382, 0.43, 0.33, 0.366, 0.184, 0.37675350701402804]"
21,"[0.32934131736526945, 0.418, 0.348, 0.186, 0.364, 0.25, 0.336, 0.362, 0.27, 0.37, 0.368, 0.188, 0.294, 0.378, 0.316, 0.264, 0.346, 0.358, 0.348, 0.4228456913827655]"
22,"[0.3652694610778443, 0.38, 0.292, 0.278, 0.316, 0.254, 0.374, 0.39, 0.4, 0.382, 0.29, 0.366, 0.396, 0.282, 0.396, 0.4, 0.29, 0.368, 0.236, 0.3587174348697395]"
23,"[0.32335329341317365, 0.442, 0.364, 0.21, 0.364, 0.274, 0.336, 0.362, 0.272, 0.412, 0.382, 0.254, 0.358, 0.38, 0.326, 0.324, 0.352, 0.36, 0.336, 0.3927855711422846]"
24,"[0.37325349301397204, 0.36, 0.3, 0.298, 0.306, 0.248, 0.358, 0.386, 0.404, 0.4, 0.356, 0.366, 0.394, 0.324, 0.402, 0.4, 0.294, 0.398, 0.26, 0.3306613226452906]"
25,"[0.31137724550898205, 0.448, 0.368, 0.224, 0.362, 0.31, 0.346, 0.374, 0.284, 0.418, 0.378, 0.294, 0.408, 0.384, 0.35, 0.366, 0.354, 0.352, 0.336, 0.37074148296593185]"
26,"[0.38323353293413176, 0.348, 0.304, 0.312, 0.304, 0.248, 0.332, 0.364, 0.402, 0.434, 0.36, 0.364, 0.382, 0.288, 0.362, 0.39, 0.324, 0.348, 0.276, 0.3306613226452906]"
27,"[0.30538922155688625, 0.458, 0.37, 0.204, 0.364, 0.328, 0.37, 0.378, 0.306, 0.39, 0.372, 0.328, 0.408, 0.376, 0.382, 0.392, 0.36, 0.38, 0.33, 0.3587174348697395]"
28,"[0.40119760479041916, 0.358, 0.324, 0.316, 0.296, 0.262, 0.338, 0.354, 0.408, 0.46, 0.334, 0.354, 0.37, 0.288, 0.378, 0.386, 0.368, 0.364, 0.308, 0.342685370741483]"
29,"[0.3253493013972056, 0.43, 0.378, 0.214, 0.376, 0.326, 0.4, 0.406, 0.34, 0.39, 0.366, 0.354, 0.388, 0.366, 0.39, 0.378, 0.378, 0.388, 0.33, 0.35070140280561124]"
30,"[0.4031936127744511, 0.368, 0.372, 0.332, 0.29, 0.27, 0.342, 0.358, 0.432, 0.44, 0.316, 0.346, 0.378, 0.316, 0.41, 0.382, 0.374, 0.352, 0.322, 0.35671342685370744]"
31,"[0.3592814371257485, 0.39, 0.386, 0.222, 0.388, 0.32, 0.402, 0.41, 0.336, 0.372, 0.382, 0.342, 0.388, 0.368, 0.4, 0.362, 0.386, 0.392, 0.324, 0.35671342685370744]"
32,"[0.405189620758483, 0.412, 0.384, 0.34, 0.294, 0.266, 0.352, 0.34, 0.454, 0.44, 0.334, 0.338, 0.388, 0.318, 0.416, 0.394, 0.382, 0.354, 0.32, 0.35671342685370744]"
33,"[0.35728542914171657, 0.388, 0.392, 0.226, 0.392, 0.302, 0.414, 0.416, 0.34, 0.376, 0.412, 0.33, 0.35, 0.392, 0.394, 0.334, 0.386, 0.398, 0.328, 0.3847695390781563]"
34,"[0.4031936127744511, 0.472, 0.384, 0.344, 0.292, 0.294, 0.346, 0.324, 0.464, 0.438, 0.328, 0.33, 0.392, 0.31, 0.412, 0.4, 0.372, 0.35, 0.32, 0.3466933867735471]"
35,"[0.36926147704590817, 0.366, 0.394, 0.23, 0.388, 0.29, 0.4, 0.42, 0.346, 0.378, 0.42, 0.318, 0.324, 0.418, 0.422, 0.33, 0.386, 0.398, 0.322, 0.39478957915831664]"
36,"[0.4091816367265469, 0.51, 0.394, 0.37, 0.294, 0.36, 0.342, 0.334, 0.476, 0.442, 0.324, 0.348, 0.4, 0.29, 0.402, 0.384, 0.358, 0.378, 0.3, 0.3466933867735471]"
37,"[0.36926147704590817, 0.364, 0.402, 0.22, 0.392, 0.256, 0.394, 0.42, 0.354, 0.37, 0.422, 0.306, 0.304, 0.42, 0.43, 0.322, 0.388, 0.386, 0.332, 0.4408817635270541]"
38,"[0.4151696606786427, 0.508, 0.4, 0.37, 0.29, 0.368, 0.342, 0.33, 0.484, 0.444, 0.296, 0.37, 0.388, 0.27, 0.398, 0.388, 0.328, 0.4, 0.282, 0.3466933867735471]"
39,"[0.3852295409181637, 0.34, 0.4, 0.212, 0.388, 0.258, 0.378, 0.412, 0.362, 0.368, 0.426, 0.294, 0.29, 0.412, 0.428, 0.304, 0.396, 0.374, 0.338, 0.43286573146292584]"
40,"[0.41916167664670656, 0.474, 0.412, 0.37, 0.288, 0.378, 0.33, 0.336, 0.486, 0.446, 0.296, 0.376, 0.382, 0.262, 0.394, 0.398, 0.29, 0.404, 0.262, 0.35470941883767537]"
41,"[0.4031936127744511, 0.318, 0.41, 0.21, 0.392, 0.272, 0.38, 0.408, 0.356, 0.37, 0.43, 0.294, 0.282, 0.416, 0.42, 0.28, 0.39, 0.344, 0.352, 0.4348697394789579]"
42,"[0.43313373253493015, 0.466, 0.424, 0.382, 0.286, 0.39, 0.326, 0.336, 0.48, 0.452, 0.29, 0.38, 0.374, 0.258, 0.37, 0.392, 0.272, 0.402, 0.254, 0.37074148296593185]"
43,"[0.4091816367265469, 0.326, 0.414, 0.21, 0.392, 0.294, 0.37, 0.384, 0.34, 0.382, 0.45, 0.3, 0.266, 0.436, 0.412, 0.268, 0.388, 0.306, 0.356, 0.4348697394789579]"
44,"[0.4351297405189621, 0.482, 0.436, 0.392, 0.31, 0.412, 0.33, 0.348, 0.48, 0.44, 0.296, 0.394, 0.372, 0.278, 0.346, 0.39, 0.286, 0.424, 0.252, 0.3807615230460922]"
45,"[0.405189620758483, 0.322, 0.412, 0.236, 0.386, 0.314, 0.366, 0.376, 0.33, 0.41, 0.432, 0.304, 0.276, 0.438, 0.418, 0.274, 0.388, 0.298, 0.36, 0.4348697394789579]"
46,"[0.43313373253493015, 0.486, 0.464, 0.398, 0.326, 0.426, 0.348, 0.378, 0.48, 0.434, 0.314, 0.376, 0.372, 0.292, 0.33, 0.392, 0.322, 0.434, 0.258, 0.3667334669338677]"
47,"[0.4151696606786427, 0.354, 0.408, 0.256, 0.382, 0.368, 0.348, 0.38, 0.338, 0.422, 0.412, 0.332, 0.306, 0.45, 0.434, 0.29, 0.39, 0.304, 0.364, 0.44288577154308617]"
48,"[0.4291417165668663, 0.488, 0.484, 0.418, 0.344, 0.45, 0.342, 0.39, 0.492, 0.426, 0.336, 0.368, 0.368, 0.324, 0.34, 0.394, 0.364, 0.446, 0.27, 0.36072144288577157]"
49,"[0.4251497005988024, 0.39, 0.412, 0.31, 0.384, 0.406, 0.334, 0.386, 0.346, 0.416, 0.42, 0.366, 0.352, 0.432, 0.442, 0.322, 0.39, 0.322, 0.366, 0.44889779559118237]"
50,"[0.4411177644710579, 0.49, 0.492, 0.436, 0.35, 0.468, 0.348, 0.408, 0.492, 0.434, 0.37, 0.362, 0.384, 0.354, 0.34, 0.402, 0.396, 0.446, 0.312, 0.33266533066132264]"
51,"[0.4431137724550898, 0.418, 0.418, 0.366, 0.388, 0.422, 0.346, 0.384, 0.352, 0.422, 0.426, 0.376, 0.38, 0.412, 0.454, 0.354, 0.392, 0.342, 0.38, 0.44889779559118237]"
52,"[0.43912175648702595, 0.48, 0.512, 0.448, 0.356, 0.47, 0.356, 0.426, 0.496, 0.434, 0.402, 0.382, 0.404, 0.366, 0.356, 0.41, 0.408, 0.454, 0.336, 0.3346693386773547]"
53,"[0.4491017964071856, 0.454, 0.432, 0.396, 0.394, 0.444, 0.354, 0.414, 0.364, 0.418, 0.432, 0.39, 0.412, 0.41, 0.454, 0.37, 0.402, 0.344, 0.396, 0.46693386773547096]"
54,"[0.4411177644710579, 0.462, 0.506, 0.454, 0.366, 0.476, 0.368, 0.44, 0.504, 0.46, 0.42, 0.392, 0.416, 0.376, 0.366, 0.422, 0.43, 0.45, 0.352, 0.34468937875751504]"
55,"[0.4630738522954092, 0.462, 0.448, 0.406, 0.404, 0.446, 0.368, 0.44, 0.374, 0.432, 0.442, 0.392, 0.418, 0.392, 0.46, 0.374, 0.416, 0.35, 0.412, 0.4729458917835671]"
56,"[0.4491017964071856, 0.446, 0.5, 0.456, 0.39, 0.482, 0.392, 0.454, 0.518, 0.49, 0.424, 0.41, 0.422, 0.386, 0.372, 0.436, 0.432, 0.452, 0.368, 0.34468937875751504]"
57,"[0.47305389221556887, 0.446, 0.456, 0.434, 0.432, 0.444, 0.398, 0.462, 0.388, 0.458, 0.448, 0.398, 0.438, 0.416, 0.458, 0.398, 0.422, 0.364, 0.418, 0.45691382765531063]"
58,"[0.4590818363273453, 0.428, 0.502, 0.462, 0.414, 0.488, 0.456, 0.448, 0.536, 0.496, 0.422, 0.43, 0.43, 0.398, 0.384, 0.446, 0.44, 0.448, 0.38, 0.3587174348697395]"
59,"[0.46506986027944114, 0.442, 0.458, 0.424, 0.446, 0.43, 0.42, 0.474, 0.414, 0.458, 0.444, 0.406, 0.44, 0.44, 0.454, 0.396, 0.428, 0.378, 0.432, 0.4468937875751503]"
60,"[0.4750499001996008, 0.428, 0.508, 0.464, 0.436, 0.458, 0.478, 0.444, 0.534, 0.504, 0.43, 0.436, 0.45, 0.414, 0.414, 0.454, 0.442, 0.442, 0.37, 0.374749498997996]"
61,"[0.4530938123752495, 0.432, 0.48, 0.42, 0.448, 0.424, 0.432, 0.482, 0.424, 0.458, 0.448, 0.42, 0.45, 0.46, 0.446, 0.398, 0.438, 0.384, 0.448, 0.45490981963927857]"
62,"[0.48502994011976047, 0.442, 0.502, 0.464, 0.442, 0.434, 0.484, 0.446, 0.532, 0.51, 0.426, 0.442, 0.466, 0.416, 0.428, 0.474, 0.444, 0.428, 0.386, 0.3787575150300601]"
63,"[0.4491017964071856, 0.426, 0.48, 0.418, 0.446, 0.4, 0.438, 0.488, 0.422, 0.448, 0.454, 0.43, 0.448, 0.47, 0.446, 0.41, 0.452, 0.398, 0.464, 0.46292585170340683]"
64,"[0.499001996007984, 0.448, 0.494, 0.462, 0.434, 0.422, 0.478, 0.446, 0.526, 0.51, 0.426, 0.45, 0.478, 0.42, 0.448, 0.48, 0.446, 0.436, 0.39, 0.3907815631262525]"
65,"[0.43912175648702595, 0.426, 0.49, 0.412, 0.444, 0.334, 0.448, 0.48, 0.434, 0.45, 0.464, 0.452, 0.456, 0.47, 0.448, 0.418, 0.474, 0.418, 0.464, 0.45691382765531063]"
66,"[0.5069860279441117, 0.452, 0.486, 0.464, 0.422, 0.41, 0.478, 0.438, 0.526, 0.524, 0.42, 0.446, 0.476, 0.422, 0.46, 0.488, 0.45, 0.436, 0.394, 0.39879759519038077]"
67,"[0.437125748502994, 0.43, 0.502, 0.424, 0.45, 0.336, 0.45, 0.484, 0.462, 0.446, 0.47, 0.462, 0.464, 0.478, 0.454, 0.418, 0.47, 0.422, 0.46, 0.46092184368737477]"
68,"[0.5169660678642715, 0.456, 0.476, 0.46, 0.42, 0.406, 0.472, 0.444, 0.518, 0.526, 0.418, 0.442, 0.466, 0.428, 0.468, 0.48, 0.444, 0.444, 0.394, 0.3967935871743487]"
69,"[0.4231536926147705, 0.44, 0.486, 0.422, 0.45, 0.342, 0.45, 0.484, 0.466, 0.444, 0.468, 0.454, 0.47, 0.464, 0.458, 0.418, 0.466, 0.432, 0.458, 0.4709418837675351]"
70,"[0.49500998003992014, 0.466, 0.468, 0.466, 0.422, 0.402, 0.468, 0.442, 0.516, 0.514, 0.422, 0.44, 0.45, 0.406, 0.464, 0.47, 0.446, 0.454, 0.392, 0.4028056112224449]"
71,"[0.4151696606786427, 0.45, 0.434, 0.394, 0.446, 0.354, 0.454, 0.478, 0.474, 0.448, 0.466, 0.448, 0.47, 0.456, 0.456, 0.424, 0.46, 0.436, 0.446, 0.46693386773547096]"
72,"[0.46706586826347307, 0.468, 0.458, 0.464, 0.422, 0.4, 0.476, 0.446, 0.532, 0.516, 0.422, 0.422, 0.438, 0.372, 0.462, 0.458, 0.448, 0.452, 0.398, 0.41082164328657317]"
