none,[]
0,"[0.08383233532934131, 0.086, 0.108, 0.082, 0.112, 0.094, 0.1, 0.112, 0.106, 0.128, 0.126, 0.106, 0.11, 0.096, 0.144, 0.112, 0.092, 0.114, 0.116, 0.09018036072144289]"
1,"[0.03792415169660679, 0.144, 0.086, 0.044, 0.112, 0.102, 0.124, 0.108, 0.11, 0.082, 0.112, 0.11, 0.096, 0.216, 0.082, 0.168, 0.094, 0.114, 0.104, 0.10420841683366733]"
2,"[0.08383233532934131, 0.086, 0.04, 0.082, 0.112, 0.102, 0.124, 0.096, 0.106, 0.066, 0.104, 0.106, 0.09, 0.102, 0.11, 0.088, 0.102, 0.09, 0.118, 0.10220440881763528]"
3,"[0.08383233532934131, 0.094, 0.086, 0.078, 0.112, 0.102, 0.124, 0.108, 0.096, 0.082, 0.084, 0.11, 0.1, 0.084, 0.11, 0.222, 0.022, 0.176, 0.104, 0.10220440881763528]"
4,"[0.08383233532934131, 0.118, 0.068, 0.082, 0.112, 0.102, 0.124, 0.126, 0.106, 0.082, 0.118, 0.166, 0.1, 0.084, 0.11, 0.082, 0.102, 0.246, 0.146, 0.10220440881763528]"
5,"[0.08383233532934131, 0.094, 0.086, 0.114, 0.112, 0.102, 0.124, 0.108, 0.106, 0.082, 0.108, 0.1, 0.1, 0.084, 0.11, 0.116, 0.116, 0.098, 0.104, 0.10220440881763528]"
6,"[0.08383233532934131, 0.132, 0.206, 0.082, 0.12, 0.182, 0.124, 0.214, 0.106, 0.082, 0.112, 0.092, 0.204, 0.12, 0.11, 0.146, 0.102, 0.094, 0.15, 0.10220440881763528]"
7,"[0.17964071856287425, 0.108, 0.086, 0.3, 0.112, 0.1, 0.222, 0.108, 0.14, 0.082, 0.158, 0.094, 0.106, 0.132, 0.14, 0.132, 0.162, 0.102, 0.104, 0.1683366733466934]"
8,"[0.08782435129740519, 0.17, 0.322, 0.096, 0.156, 0.366, 0.146, 0.344, 0.21, 0.182, 0.156, 0.164, 0.272, 0.228, 0.184, 0.176, 0.128, 0.232, 0.2, 0.12024048096192384]"
9,"[0.29740518962075846, 0.146, 0.084, 0.342, 0.128, 0.098, 0.332, 0.12, 0.19, 0.186, 0.206, 0.164, 0.234, 0.34, 0.218, 0.176, 0.38, 0.162, 0.14, 0.3186372745490982]"
10,"[0.13373253493013973, 0.408, 0.358, 0.112, 0.208, 0.39, 0.144, 0.406, 0.39, 0.346, 0.24, 0.29, 0.404, 0.336, 0.456, 0.216, 0.144, 0.266, 0.298, 0.20240480961923848]"
11,"[0.4311377245508982, 0.182, 0.082, 0.412, 0.144, 0.1, 0.352, 0.112, 0.222, 0.274, 0.218, 0.18, 0.166, 0.42, 0.202, 0.188, 0.398, 0.164, 0.174, 0.4348697394789579]"
12,"[0.10578842315369262, 0.408, 0.39, 0.086, 0.334, 0.368, 0.136, 0.392, 0.396, 0.324, 0.254, 0.338, 0.374, 0.306, 0.472, 0.426, 0.142, 0.264, 0.434, 0.14829659318637275]"
13,"[0.3473053892215569, 0.14, 0.088, 0.366, 0.114, 0.1, 0.334, 0.106, 0.198, 0.29, 0.25, 0.216, 0.14, 0.412, 0.196, 0.132, 0.298, 0.232, 0.172, 0.33266533066132264]"
14,"[0.16167664670658682, 0.372, 0.348, 0.084, 0.34, 0.314, 0.138, 0.334, 0.296, 0.234, 0.244, 0.37, 0.346, 0.278, 0.432, 0.384, 0.128, 0.262, 0.356, 0.15430861723446893]"
15,"[0.28542914171656686, 0.19, 0.132, 0.322, 0.13, 0.104, 0.32, 0.112, 0.216, 0.246, 0.434, 0.192, 0.17, 0.462, 0.202, 0.13, 0.312, 0.216, 0.25, 0.2685370741482966]"
