eigenvector_centrality,"[0, 3]"
0,"[0.08977556109725686, 0.1, 0.11, 0.095, 0.1, 0.0825, 0.11, 0.12, 0.1225, 0.09, 0.11, 0.1175, 0.14, 0.0925, 0.0875, 0.1175, 0.1, 0.095, 0.0925, 0.1125, 0.145, 0.105, 0.09, 0.1225, 0.12280701754385964]"
1,"[0.08977556109725686, 0.0775, 0.11, 0.095, 0.1, 0.0825, 0.11, 0.12, 0.09, 0.09, 0.0825, 0.0825, 0.095, 0.0925, 0.11, 0.1175, 0.1, 0.0725, 0.0925, 0.1125, 0.145, 0.105, 0.1425, 0.0875, 0.09523809523809523]"
2,"[0.0798004987531172, 0.0775, 0.11, 0.095, 0.15, 0.085, 0.11, 0.12, 0.1125, 0.09, 0.11, 0.08, 0.095, 0.0925, 0.11, 0.1175, 0.1175, 0.0725, 0.1125, 0.1125, 0.145, 0.105, 0.075, 0.12, 0.09523809523809523]"
3,"[0.08977556109725686, 0.0775, 0.1125, 0.095, 0.1, 0.1325, 0.11, 0.0925, 0.1125, 0.085, 0.0825, 0.0975, 0.095, 0.0925, 0.11, 0.1175, 0.1175, 0.12, 0.1125, 0.1125, 0.0875, 0.105, 0.075, 0.12, 0.09523809523809523]"
4,"[0.0798004987531172, 0.0775, 0.1175, 0.095, 0.1075, 0.1325, 0.1275, 0.0925, 0.1125, 0.085, 0.0825, 0.08, 0.095, 0.0925, 0.0875, 0.1175, 0.1175, 0.1275, 0.1125, 0.1925, 0.17, 0.165, 0.075, 0.12, 0.13032581453634084]"
5,"[0.0798004987531172, 0.0775, 0.1125, 0.095, 0.1075, 0.1325, 0.11, 0.0925, 0.1125, 0.085, 0.0825, 0.08, 0.095, 0.0775, 0.0875, 0.1175, 0.1175, 0.0725, 0.1125, 0.1125, 0.145, 0.1025, 0.075, 0.12, 0.09523809523809523]"
6,"[0.0798004987531172, 0.0775, 0.1125, 0.095, 0.1075, 0.1325, 0.11, 0.0925, 0.1125, 0.085, 0.0825, 0.08, 0.095, 0.0775, 0.0875, 0.1175, 0.1175, 0.0725, 0.1125, 0.1125, 0.145, 0.105, 0.075, 0.12, 0.11027568922305764]"
7,"[0.0798004987531172, 0.0775, 0.1125, 0.095, 0.1075, 0.1325, 0.11, 0.0925, 0.1125, 0.085, 0.0825, 0.0825, 0.095, 0.0775, 0.0875, 0.1175, 0.1175, 0.0725, 0.1425, 0.1125, 0.145, 0.105, 0.11, 0.12, 0.17293233082706766]"
8,"[0.08229426433915212, 0.09, 0.1125, 0.1325, 0.1075, 0.0975, 0.1275, 0.0925, 0.1125, 0.085, 0.0875, 0.09, 0.095, 0.1175, 0.0875, 0.12, 0.1175, 0.08, 0.1875, 0.1175, 0.1575, 0.1, 0.1, 0.12, 0.14035087719298245]"
9,"[0.15211970074812967, 0.0875, 0.1125, 0.1125, 0.11, 0.14, 0.13, 0.135, 0.1225, 0.1975, 0.125, 0.125, 0.1875, 0.0925, 0.1125, 0.1675, 0.1275, 0.1275, 0.2075, 0.165, 0.2025, 0.1875, 0.1775, 0.15, 0.2832080200501253]"
10,"[0.14962593516209477, 0.2825, 0.2475, 0.2525, 0.2375, 0.19, 0.18, 0.225, 0.215, 0.1275, 0.26, 0.2575, 0.2225, 0.2825, 0.15, 0.265, 0.2475, 0.3225, 0.2175, 0.2, 0.4175, 0.1575, 0.12, 0.1775, 0.19799498746867167]"
11,"[0.33915211970074816, 0.13, 0.24, 0.23, 0.4, 0.255, 0.425, 0.38, 0.3725, 0.3275, 0.215, 0.215, 0.275, 0.2725, 0.245, 0.3075, 0.305, 0.2225, 0.315, 0.2475, 0.25, 0.4325, 0.285, 0.2875, 0.38345864661654133]"
12,"[0.2194513715710723, 0.2875, 0.2775, 0.34, 0.2675, 0.2675, 0.23, 0.2675, 0.2975, 0.18, 0.4075, 0.3825, 0.44, 0.4, 0.3525, 0.3875, 0.3625, 0.4275, 0.2425, 0.415, 0.4125, 0.2125, 0.1575, 0.21, 0.16040100250626566]"
13,"[0.26932668329177056, 0.1125, 0.22, 0.2575, 0.4325, 0.2275, 0.365, 0.34, 0.41, 0.2325, 0.265, 0.165, 0.2925, 0.2275, 0.2575, 0.2725, 0.2175, 0.29, 0.2475, 0.245, 0.3075, 0.315, 0.225, 0.2475, 0.2606516290726817]"
14,"[0.17206982543640897, 0.2625, 0.27, 0.315, 0.3, 0.2575, 0.2625, 0.1975, 0.315, 0.205, 0.465, 0.2625, 0.5825, 0.3175, 0.45, 0.2325, 0.235, 0.3775, 0.2225, 0.385, 0.35, 0.1475, 0.1475, 0.185, 0.17543859649122806]"
15,"[0.26433915211970077, 0.175, 0.255, 0.1875, 0.36, 0.2375, 0.3475, 0.2425, 0.33, 0.255, 0.2675, 0.195, 0.325, 0.1675, 0.2275, 0.2475, 0.23, 0.255, 0.26, 0.205, 0.3225, 0.31, 0.2475, 0.2275, 0.21553884711779447]"
16,"[0.23192019950124687, 0.2875, 0.29, 0.3225, 0.235, 0.2575, 0.255, 0.265, 0.2925, 0.1425, 0.405, 0.2925, 0.52, 0.35, 0.39, 0.2375, 0.255, 0.39, 0.215, 0.4075, 0.365, 0.16, 0.21, 0.26, 0.18295739348370926]"
17,"[0.2518703241895262, 0.16, 0.2325, 0.1925, 0.365, 0.285, 0.34, 0.2525, 0.31, 0.2775, 0.23, 0.1525, 0.265, 0.1675, 0.23, 0.26, 0.2175, 0.2175, 0.2875, 0.2375, 0.2825, 0.315, 0.27, 0.2475, 0.22556390977443608]"
18,"[0.23940149625935161, 0.2975, 0.295, 0.325, 0.225, 0.2725, 0.21, 0.2075, 0.29, 0.2175, 0.4025, 0.3, 0.4375, 0.335, 0.36, 0.2625, 0.265, 0.3825, 0.18, 0.415, 0.3825, 0.1325, 0.225, 0.2875, 0.2706766917293233]"
19,"[0.27680798004987534, 0.1125, 0.3, 0.26, 0.325, 0.3125, 0.3375, 0.26, 0.3475, 0.315, 0.2625, 0.155, 0.28, 0.1725, 0.2775, 0.255, 0.21, 0.2275, 0.3025, 0.25, 0.245, 0.295, 0.28, 0.2575, 0.23809523809523808]"
20,"[0.2518703241895262, 0.3075, 0.3075, 0.325, 0.2025, 0.285, 0.2, 0.1975, 0.295, 0.2975, 0.415, 0.3025, 0.4225, 0.325, 0.375, 0.2725, 0.275, 0.3625, 0.1725, 0.4125, 0.3425, 0.12, 0.1775, 0.265, 0.24812030075187969]"
21,"[0.28428927680798005, 0.1375, 0.35, 0.34, 0.2925, 0.2725, 0.32, 0.265, 0.3575, 0.3275, 0.2825, 0.1625, 0.3025, 0.19, 0.31, 0.285, 0.2175, 0.2525, 0.2975, 0.3, 0.2475, 0.29, 0.2825, 0.2625, 0.2506265664160401]"
22,"[0.26433915211970077, 0.31, 0.335, 0.315, 0.225, 0.2825, 0.1925, 0.2475, 0.295, 0.3725, 0.3925, 0.3, 0.4125, 0.3275, 0.3725, 0.2775, 0.275, 0.3475, 0.1775, 0.42, 0.315, 0.11, 0.18, 0.23, 0.2556390977443609]"
