eigenvector_centrality,"[9, 4]"
0,"[0.10473815461346633, 0.1, 0.1125, 0.095, 0.0975, 0.1325, 0.0875, 0.1175, 0.075, 0.1175, 0.1075, 0.08, 0.0725, 0.0775, 0.12, 0.085, 0.1175, 0.1125, 0.1125, 0.0875, 0.1075, 0.08, 0.1, 0.0925, 0.09774436090225563]"
1,"[0.11970074812967581, 0.1075, 0.0975, 0.1075, 0.135, 0.1025, 0.08, 0.0925, 0.1125, 0.0925, 0.1075, 0.0875, 0.08, 0.1025, 0.075, 0.0725, 0.1025, 0.1, 0.1175, 0.1025, 0.1075, 0.08, 0.075, 0.0875, 0.09523809523809523]"
2,"[0.10473815461346633, 0.0775, 0.1125, 0.095, 0.12, 0.1325, 0.11, 0.085, 0.0775, 0.0925, 0.1075, 0.0875, 0.08, 0.0775, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.1, 0.1075, 0.08, 0.1, 0.0975, 0.09774436090225563]"
3,"[0.11221945137157108, 0.0775, 0.0975, 0.1075, 0.12, 0.1025, 0.105, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.1225, 0.075, 0.095, 0.1025, 0.1125, 0.1075, 0.12, 0.1075, 0.08, 0.1, 0.0975, 0.09523809523809523]"
4,"[0.11221945137157108, 0.0775, 0.1125, 0.1075, 0.12, 0.105, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.0775, 0.075, 0.0975, 0.1025, 0.1125, 0.1625, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.11027568922305764]"
5,"[0.12967581047381546, 0.165, 0.1, 0.1075, 0.12, 0.115, 0.1075, 0.1825, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.14, 0.075, 0.0975, 0.1025, 0.1125, 0.115, 0.105, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
6,"[0.11221945137157108, 0.125, 0.135, 0.1075, 0.12, 0.085, 0.1075, 0.1675, 0.11, 0.0925, 0.1075, 0.0875, 0.08, 0.1925, 0.075, 0.0975, 0.1025, 0.1125, 0.105, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.17794486215538846]"
7,"[0.11471321695760599, 0.1, 0.18, 0.1075, 0.12, 0.085, 0.1075, 0.1325, 0.1125, 0.0925, 0.1075, 0.0875, 0.08, 0.185, 0.075, 0.1, 0.1025, 0.1125, 0.11, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.11528822055137844]"
8,"[0.11471321695760599, 0.1025, 0.1275, 0.1075, 0.1225, 0.095, 0.1125, 0.165, 0.1125, 0.0925, 0.1075, 0.0875, 0.08, 0.165, 0.0775, 0.1, 0.115, 0.115, 0.1, 0.1, 0.1075, 0.0825, 0.1025, 0.0975, 0.13533834586466165]"
9,"[0.1396508728179551, 0.255, 0.2875, 0.1875, 0.2075, 0.1675, 0.15, 0.155, 0.145, 0.1575, 0.1225, 0.175, 0.2175, 0.2075, 0.1325, 0.185, 0.14, 0.1875, 0.1825, 0.125, 0.1925, 0.1025, 0.1275, 0.145, 0.16791979949874686]"
