none,[]
0,"[0.09975062344139651, 0.1075, 0.075, 0.085, 0.0825, 0.085, 0.16, 0.0975, 0.0925, 0.1125, 0.18, 0.115, 0.105, 0.0925, 0.105, 0.1325, 0.0925, 0.0725, 0.0925, 0.0875, 0.085, 0.09, 0.125, 0.0875, 0.12781954887218044]"
1,"[0.10972568578553615, 0.1075, 0.08, 0.0925, 0.085, 0.1, 0.12, 0.1225, 0.085, 0.09, 0.1125, 0.115, 0.105, 0.115, 0.085, 0.085, 0.0925, 0.12, 0.08, 0.1625, 0.1075, 0.115, 0.1025, 0.1225, 0.12280701754385964]"
2,"[0.08229426433915212, 0.1075, 0.075, 0.085, 0.095, 0.085, 0.1275, 0.1225, 0.095, 0.1125, 0.1125, 0.115, 0.105, 0.115, 0.1075, 0.0875, 0.0925, 0.0775, 0.0925, 0.0875, 0.1075, 0.1025, 0.1025, 0.1225, 0.12280701754385964]"
3,"[0.09975062344139651, 0.095, 0.0775, 0.085, 0.095, 0.1, 0.125, 0.1225, 0.0875, 0.0875, 0.1125, 0.115, 0.105, 0.115, 0.085, 0.085, 0.0925, 0.13, 0.09, 0.1825, 0.1075, 0.1025, 0.1, 0.1225, 0.12280701754385964]"
4,"[0.08229426433915212, 0.0975, 0.11, 0.095, 0.095, 0.13, 0.1275, 0.1275, 0.085, 0.0875, 0.1125, 0.115, 0.105, 0.115, 0.085, 0.0875, 0.1075, 0.1, 0.095, 0.08, 0.09, 0.1025, 0.1025, 0.1225, 0.12280701754385964]"
5,"[0.09975062344139651, 0.095, 0.1125, 0.0925, 0.0825, 0.1, 0.1275, 0.1225, 0.085, 0.0875, 0.1175, 0.115, 0.1175, 0.1025, 0.105, 0.0775, 0.0925, 0.1025, 0.0925, 0.1275, 0.0825, 0.1025, 0.12, 0.0875, 0.12280701754385964]"
6,"[0.08229426433915212, 0.0975, 0.11, 0.0925, 0.1, 0.13, 0.08, 0.135, 0.085, 0.1375, 0.1225, 0.1, 0.08, 0.115, 0.085, 0.0875, 0.1075, 0.1, 0.095, 0.1325, 0.0825, 0.1025, 0.1025, 0.1225, 0.12280701754385964]"
7,"[0.09975062344139651, 0.1125, 0.11, 0.0925, 0.0825, 0.1, 0.1275, 0.1225, 0.085, 0.09, 0.12, 0.115, 0.07, 0.125, 0.105, 0.1275, 0.1, 0.1, 0.08, 0.1275, 0.0825, 0.1025, 0.12, 0.0875, 0.14536340852130325]"
8,"[0.1172069825436409, 0.1575, 0.11, 0.1025, 0.1, 0.13, 0.08, 0.0975, 0.085, 0.09, 0.1125, 0.1, 0.1, 0.1, 0.1025, 0.0875, 0.1075, 0.155, 0.0925, 0.1325, 0.0825, 0.13, 0.0725, 0.0875, 0.07769423558897243]"
9,"[0.08977556109725686, 0.1175, 0.11, 0.0925, 0.0825, 0.1, 0.1275, 0.12, 0.085, 0.09, 0.1225, 0.145, 0.0725, 0.1075, 0.105, 0.0925, 0.1225, 0.1, 0.08, 0.195, 0.0825, 0.1025, 0.12, 0.0875, 0.07769423558897243]"
