eigenvector_centrality,"[0, 9]"
0,"[0.07481296758104738, 0.0875, 0.0975, 0.1825, 0.12, 0.135, 0.2125, 0.0925, 0.1125, 0.1075, 0.0775, 0.1, 0.08, 0.0775, 0.075, 0.1075, 0.1025, 0.2, 0.0925, 0.0875, 0.12, 0.11, 0.1, 0.0975, 0.09523809523809523]"
1,"[0.11221945137157108, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.1225, 0.105, 0.0925, 0.0775, 0.0875, 0.1275, 0.11, 0.0925, 0.0975, 0.1175, 0.11, 0.1, 0.0975, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
2,"[0.07481296758104738, 0.0875, 0.0975, 0.1075, 0.12, 0.0875, 0.0675, 0.0925, 0.0775, 0.1075, 0.0775, 0.1, 0.08, 0.1125, 0.075, 0.1075, 0.1175, 0.11, 0.0925, 0.0875, 0.12, 0.11, 0.1, 0.0975, 0.10275689223057644]"
3,"[0.11221945137157108, 0.135, 0.1, 0.115, 0.0975, 0.0875, 0.0675, 0.15, 0.0775, 0.1075, 0.0775, 0.0875, 0.1275, 0.11, 0.0925, 0.0975, 0.1175, 0.1325, 0.0925, 0.0875, 0.12, 0.11, 0.105, 0.0925, 0.09523809523809523]"
4,"[0.07481296758104738, 0.0875, 0.0975, 0.1075, 0.2, 0.1625, 0.16, 0.135, 0.0925, 0.185, 0.175, 0.1575, 0.08, 0.14, 0.085, 0.175, 0.115, 0.19, 0.0925, 0.0875, 0.215, 0.11, 0.1, 0.0975, 0.14285714285714285]"
5,"[0.11221945137157108, 0.0875, 0.1875, 0.1075, 0.21, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.185, 0.135, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.1, 0.1075, 0.08, 0.1, 0.0975, 0.11779448621553884]"
6,"[0.11221945137157108, 0.0875, 0.0975, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
7,"[0.11221945137157108, 0.0875, 0.1, 0.1075, 0.12, 0.085, 0.1075, 0.1225, 0.105, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.0975, 0.1025, 0.1125, 0.1, 0.0975, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
8,"[0.11221945137157108, 0.0875, 0.1225, 0.1075, 0.12, 0.085, 0.115, 0.1225, 0.1075, 0.0925, 0.1075, 0.0875, 0.08, 0.115, 0.075, 0.105, 0.1025, 0.12, 0.1, 0.1, 0.1075, 0.08, 0.1, 0.0975, 0.10275689223057644]"
9,"[0.1571072319201995, 0.175, 0.2, 0.165, 0.1775, 0.1475, 0.1975, 0.2175, 0.1525, 0.19, 0.1475, 0.17, 0.18, 0.2075, 0.1575, 0.1325, 0.195, 0.135, 0.13, 0.16, 0.19, 0.1175, 0.1475, 0.145, 0.18796992481203006]"
10,"[0.26433915211970077, 0.21, 0.295, 0.32, 0.255, 0.2625, 0.32, 0.285, 0.3675, 0.3075, 0.225, 0.24, 0.3775, 0.3525, 0.25, 0.36, 0.3475, 0.305, 0.39, 0.195, 0.2875, 0.355, 0.2925, 0.3775, 0.3132832080200501]"
11,"[0.33915211970074816, 0.3475, 0.3325, 0.295, 0.365, 0.37, 0.25, 0.49, 0.33, 0.425, 0.26, 0.3475, 0.2975, 0.3675, 0.3275, 0.2575, 0.2675, 0.2275, 0.225, 0.4, 0.39, 0.2325, 0.3675, 0.215, 0.3408521303258145]"
12,"[0.34663341645885287, 0.1825, 0.3675, 0.305, 0.245, 0.2875, 0.285, 0.3225, 0.34, 0.4125, 0.34, 0.26, 0.345, 0.315, 0.19, 0.44, 0.29, 0.25, 0.22, 0.1775, 0.315, 0.215, 0.285, 0.27, 0.2832080200501253]"
13,"[0.286783042394015, 0.2725, 0.31, 0.245, 0.2975, 0.2225, 0.1975, 0.3775, 0.27, 0.52, 0.22, 0.3375, 0.3275, 0.2475, 0.29, 0.1975, 0.215, 0.19, 0.2275, 0.25, 0.285, 0.1625, 0.2375, 0.1575, 0.22807017543859648]"
14,"[0.38403990024937656, 0.1525, 0.38, 0.3875, 0.13, 0.215, 0.2525, 0.2725, 0.285, 0.3775, 0.31, 0.2325, 0.2325, 0.185, 0.145, 0.3425, 0.275, 0.2975, 0.24, 0.13, 0.2525, 0.2625, 0.2175, 0.305, 0.3333333333333333]"
15,"[0.29177057356608477, 0.2975, 0.39, 0.2825, 0.28, 0.265, 0.2, 0.345, 0.23, 0.5275, 0.295, 0.38, 0.3425, 0.3075, 0.2725, 0.185, 0.205, 0.1875, 0.2025, 0.2925, 0.26, 0.1275, 0.2925, 0.1675, 0.21553884711779447]"
16,"[0.3566084788029925, 0.1675, 0.345, 0.39, 0.15, 0.205, 0.2625, 0.22, 0.27, 0.3975, 0.3175, 0.245, 0.2625, 0.2325, 0.25, 0.3525, 0.28, 0.3175, 0.29, 0.135, 0.24, 0.2625, 0.22, 0.31, 0.3483709273182957]"
17,"[0.33665835411471323, 0.31, 0.355, 0.3275, 0.29, 0.2775, 0.205, 0.3325, 0.2275, 0.4675, 0.335, 0.3625, 0.355, 0.3175, 0.29, 0.3, 0.1825, 0.215, 0.1975, 0.3025, 0.265, 0.115, 0.3, 0.195, 0.21553884711779447]"
18,"[0.33665835411471323, 0.1675, 0.36, 0.3825, 0.175, 0.2125, 0.275, 0.2425, 0.255, 0.425, 0.3375, 0.24, 0.325, 0.265, 0.3, 0.345, 0.2825, 0.3225, 0.2925, 0.1625, 0.225, 0.2675, 0.2375, 0.2825, 0.3558897243107769]"
19,"[0.39900249376558605, 0.3, 0.3, 0.3, 0.2825, 0.2775, 0.24, 0.335, 0.2525, 0.4625, 0.35, 0.3375, 0.3525, 0.31, 0.285, 0.375, 0.1275, 0.2725, 0.225, 0.3025, 0.2625, 0.13, 0.2925, 0.2325, 0.23057644110275688]"
20,"[0.34413965087281795, 0.18, 0.375, 0.38, 0.195, 0.255, 0.2775, 0.305, 0.25, 0.3925, 0.325, 0.2625, 0.4025, 0.2875, 0.3275, 0.3525, 0.285, 0.325, 0.3, 0.1925, 0.225, 0.2625, 0.245, 0.27, 0.3433583959899749]"
21,"[0.42144638403990026, 0.29, 0.285, 0.31, 0.2775, 0.265, 0.2775, 0.3175, 0.3525, 0.515, 0.36, 0.315, 0.335, 0.2875, 0.28, 0.44, 0.1275, 0.3375, 0.2525, 0.305, 0.26, 0.165, 0.29, 0.235, 0.2531328320802005]"
22,"[0.34413965087281795, 0.19, 0.3775, 0.39, 0.2575, 0.2925, 0.2775, 0.2925, 0.2475, 0.3725, 0.35, 0.2975, 0.445, 0.3275, 0.3275, 0.3525, 0.3, 0.3225, 0.285, 0.245, 0.25, 0.25, 0.2675, 0.2625, 0.3333333333333333]"
23,"[0.428927680798005, 0.28, 0.2925, 0.3, 0.2825, 0.2575, 0.32, 0.325, 0.3975, 0.505, 0.3675, 0.315, 0.3225, 0.2825, 0.2775, 0.455, 0.16, 0.3475, 0.2775, 0.3075, 0.265, 0.1925, 0.29, 0.24, 0.2756892230576441]"
24,"[0.32917705735660846, 0.2175, 0.3975, 0.3975, 0.3025, 0.34, 0.2925, 0.3, 0.2475, 0.3625, 0.335, 0.3175, 0.43, 0.35, 0.3375, 0.365, 0.2925, 0.3275, 0.28, 0.275, 0.2675, 0.235, 0.3125, 0.2675, 0.3383458646616541]"
25,"[0.44389027431421446, 0.28, 0.305, 0.34, 0.275, 0.26, 0.3525, 0.3625, 0.4125, 0.4825, 0.3625, 0.3375, 0.32, 0.3025, 0.2925, 0.4725, 0.2, 0.3825, 0.3075, 0.3025, 0.265, 0.2125, 0.2875, 0.2375, 0.2832080200501253]"
26,"[0.57356608478803, 0.275, 0.4575, 0.4825, 0.375, 0.37, 0.305, 0.3025, 0.2475, 0.56, 0.315, 0.305, 0.54, 0.495, 0.3875, 0.3475, 0.3025, 0.31, 0.27, 0.3275, 0.2775, 0.23, 0.4675, 0.2875, 0.3558897243107769]"
27,"[0.5037406483790524, 0.275, 0.305, 0.355, 0.27, 0.29, 0.335, 0.43, 0.4525, 0.465, 0.395, 0.3675, 0.335, 0.3075, 0.2875, 0.495, 0.2, 0.45, 0.385, 0.31, 0.26, 0.23, 0.2975, 0.26, 0.2907268170426065]"
28,"[0.3491271820448878, 0.3075, 0.3925, 0.425, 0.3725, 0.355, 0.2975, 0.31, 0.27, 0.4, 0.3225, 0.3125, 0.4725, 0.4525, 0.3625, 0.39, 0.31, 0.3075, 0.275, 0.2875, 0.28, 0.23, 0.4475, 0.275, 0.3609022556390977]"
29,"[0.5411471321695761, 0.2775, 0.3625, 0.39, 0.275, 0.26, 0.3875, 0.3725, 0.4175, 0.48, 0.35, 0.3425, 0.4275, 0.3425, 0.36, 0.465, 0.2325, 0.3775, 0.37, 0.3, 0.2525, 0.2325, 0.2925, 0.295, 0.3659147869674185]"
30,"[0.3541147132169576, 0.2525, 0.3925, 0.4, 0.3375, 0.4125, 0.31, 0.4275, 0.2775, 0.36, 0.3625, 0.3475, 0.3975, 0.38, 0.335, 0.4025, 0.2925, 0.335, 0.3, 0.2425, 0.2525, 0.235, 0.365, 0.2675, 0.3533834586466165]"
31,"[0.4688279301745636, 0.275, 0.395, 0.4575, 0.3775, 0.2975, 0.3775, 0.3575, 0.3175, 0.4975, 0.3475, 0.3525, 0.44, 0.415, 0.355, 0.41, 0.27, 0.4225, 0.2575, 0.315, 0.235, 0.225, 0.2925, 0.2775, 0.42355889724310775]"
32,"[0.3541147132169576, 0.1975, 0.395, 0.3975, 0.2925, 0.3575, 0.315, 0.395, 0.2925, 0.3775, 0.43, 0.36, 0.3725, 0.34, 0.3125, 0.4075, 0.275, 0.3625, 0.3125, 0.2125, 0.275, 0.2175, 0.275, 0.2775, 0.3533834586466165]"
33,"[0.49625935162094764, 0.2725, 0.415, 0.4625, 0.4, 0.2925, 0.24, 0.3475, 0.235, 0.515, 0.3275, 0.325, 0.415, 0.4075, 0.41, 0.3375, 0.32, 0.3675, 0.1725, 0.305, 0.24, 0.14, 0.265, 0.3675, 0.45864661654135336]"
34,"[0.3491271820448878, 0.16, 0.36, 0.33, 0.24, 0.245, 0.285, 0.365, 0.2775, 0.375, 0.43, 0.4325, 0.2975, 0.285, 0.265, 0.4575, 0.235, 0.3675, 0.3275, 0.2375, 0.285, 0.2275, 0.24, 0.2925, 0.3258145363408521]"
