eigenvector_centrality,"[11, 24, 12, 22, 7]"
0,"[0.11970074812967581, 0.095, 0.0975, 0.0925, 0.0825, 0.1025, 0.1475, 0.0925, 0.0925, 0.1425, 0.1, 0.1, 0.085, 0.1025, 0.1075, 0.1125, 0.1875, 0.26, 0.0925, 0.0875, 0.12, 0.115, 0.12, 0.095, 0.10275689223057644]"
1,"[0.11221945137157108, 0.095, 0.1375, 0.1075, 0.095, 0.085, 0.0925, 0.0925, 0.105, 0.16, 0.0925, 0.0975, 0.125, 0.1575, 0.0875, 0.1075, 0.1025, 0.095, 0.1, 0.0875, 0.12, 0.115, 0.095, 0.17, 0.10275689223057644]"
2,"[0.11471321695760599, 0.115, 0.0975, 0.0925, 0.0825, 0.085, 0.1875, 0.0925, 0.1, 0.1275, 0.1, 0.1, 0.085, 0.175, 0.1075, 0.205, 0.1025, 0.1, 0.095, 0.0925, 0.0675, 0.115, 0.12, 0.0975, 0.10275689223057644]"
3,"[0.11221945137157108, 0.0925, 0.1375, 0.1925, 0.095, 0.1075, 0.095, 0.0925, 0.1, 0.155, 0.1075, 0.1, 0.175, 0.0775, 0.0875, 0.1875, 0.1725, 0.095, 0.1475, 0.1375, 0.1275, 0.115, 0.1225, 0.0875, 0.10275689223057644]"
4,"[0.10972568578553615, 0.095, 0.0975, 0.0925, 0.0825, 0.085, 0.11, 0.0925, 0.0925, 0.0875, 0.1, 0.1, 0.095, 0.0775, 0.1075, 0.1125, 0.1025, 0.1875, 0.105, 0.0875, 0.0825, 0.115, 0.12, 0.095, 0.10275689223057644]"
5,"[0.11221945137157108, 0.0975, 0.1375, 0.095, 0.1, 0.085, 0.095, 0.0925, 0.1075, 0.145, 0.1075, 0.125, 0.125, 0.0775, 0.0875, 0.0975, 0.0975, 0.095, 0.12, 0.1275, 0.0825, 0.115, 0.12, 0.0875, 0.10275689223057644]"
6,"[0.1172069825436409, 0.105, 0.0975, 0.0925, 0.0825, 0.085, 0.11, 0.16, 0.0925, 0.0875, 0.1, 0.1, 0.1425, 0.0775, 0.1075, 0.1125, 0.1025, 0.2075, 0.0925, 0.0875, 0.0825, 0.115, 0.12, 0.095, 0.10275689223057644]"
7,"[0.11221945137157108, 0.0975, 0.11, 0.1, 0.1375, 0.085, 0.095, 0.0925, 0.085, 0.1225, 0.1075, 0.0975, 0.185, 0.0775, 0.0875, 0.0975, 0.1825, 0.095, 0.1525, 0.1275, 0.1225, 0.115, 0.1225, 0.0875, 0.10275689223057644]"
8,"[0.1546134663341646, 0.1, 0.0975, 0.0925, 0.0825, 0.185, 0.11, 0.0775, 0.0925, 0.0875, 0.1, 0.1, 0.19, 0.0975, 0.1075, 0.1125, 0.1025, 0.2125, 0.1375, 0.0875, 0.13, 0.115, 0.12, 0.095, 0.14786967418546365]"
