eigenvector_centrality,"[5, 11, 12, 8, 9]"
0,"[0.0798004987531172, 0.135, 0.11, 0.1075, 0.035, 0.115, 0.09, 0.0725, 0.1225, 0.11, 0.11, 0.11, 0.105, 0.1, 0.105, 0.1075, 0.1, 0.1125, 0.1, 0.0725, 0.12, 0.1025, 0.115, 0.1225, 0.12280701754385964]"
1,"[0.11970074812967581, 0.095, 0.075, 0.095, 0.095, 0.0875, 0.105, 0.1425, 0.0925, 0.11, 0.1125, 0.0975, 0.0725, 0.0775, 0.12, 0.0925, 0.0925, 0.0725, 0.1575, 0.1325, 0.085, 0.1075, 0.075, 0.0875, 0.09523809523809523]"
2,"[0.0798004987531172, 0.135, 0.11, 0.0925, 0.1, 0.115, 0.0925, 0.0725, 0.0925, 0.11, 0.1125, 0.11, 0.105, 0.1, 0.105, 0.1075, 0.1, 0.1, 0.1, 0.0725, 0.12, 0.1025, 0.115, 0.1225, 0.12280701754385964]"
3,"[0.09725685785536159, 0.1125, 0.1325, 0.095, 0.0825, 0.13, 0.125, 0.1225, 0.0925, 0.11, 0.1125, 0.11, 0.105, 0.0775, 0.105, 0.195, 0.1475, 0.0725, 0.1, 0.1325, 0.12, 0.1075, 0.075, 0.1225, 0.12280701754385964]"
4,"[0.0798004987531172, 0.0975, 0.095, 0.0925, 0.1225, 0.115, 0.125, 0.155, 0.1625, 0.09, 0.11, 0.11, 0.105, 0.1, 0.105, 0.205, 0.1, 0.1, 0.1, 0.0725, 0.12, 0.1025, 0.115, 0.1225, 0.12280701754385964]"
5,"[0.09975062344139651, 0.0975, 0.155, 0.095, 0.0825, 0.13, 0.125, 0.1225, 0.0925, 0.11, 0.1125, 0.11, 0.105, 0.115, 0.105, 0.1075, 0.0925, 0.08, 0.1, 0.1325, 0.12, 0.1075, 0.1025, 0.2, 0.12280701754385964]"
6,"[0.09975062344139651, 0.0975, 0.095, 0.085, 0.0825, 0.115, 0.1475, 0.16, 0.1225, 0.09, 0.11, 0.11, 0.105, 0.095, 0.105, 0.1075, 0.1, 0.1125, 0.1, 0.0725, 0.12, 0.1025, 0.115, 0.1225, 0.12280701754385964]"
7,"[0.2119700748129676, 0.1175, 0.075, 0.085, 0.0825, 0.13, 0.09, 0.1225, 0.0925, 0.11, 0.1125, 0.11, 0.0725, 0.115, 0.105, 0.1075, 0.0925, 0.1125, 0.1, 0.1325, 0.12, 0.1075, 0.1025, 0.1825, 0.12280701754385964]"
8,"[0.09975062344139651, 0.0975, 0.195, 0.125, 0.175, 0.115, 0.09, 0.1225, 0.1225, 0.09, 0.11, 0.11, 0.105, 0.1, 0.105, 0.1075, 0.1, 0.1125, 0.1, 0.0725, 0.12, 0.1025, 0.115, 0.1225, 0.12280701754385964]"
9,"[0.2144638403990025, 0.17, 0.075, 0.085, 0.0825, 0.13, 0.09, 0.1225, 0.0925, 0.11, 0.1125, 0.2075, 0.0725, 0.115, 0.105, 0.1075, 0.0925, 0.1125, 0.13, 0.1325, 0.12, 0.1075, 0.1025, 0.1825, 0.12280701754385964]"
