eigenvector_centrality,[ 1  3  2  5 12]
0,"[0.11970074812967581, 0.1, 0.075, 0.095, 0.0975, 0.165, 0.09, 0.1325, 0.0775, 0.085, 0.1125, 0.0875, 0.1275, 0.15, 0.11, 0.22, 0.1, 0.0775, 0.14, 0.1475, 0.1075, 0.0825, 0.0725, 0.1475, 0.19047619047619047]"
1,"[0.09975062344139651, 0.08, 0.0975, 0.085, 0.1175, 0.115, 0.12, 0.1225, 0.155, 0.11, 0.11, 0.09, 0.1275, 0.12, 0.1275, 0.1775, 0.265, 0.0775, 0.0925, 0.1125, 0.1025, 0.11, 0.275, 0.0925, 0.13283208020050125]"
2,"[0.11970074812967581, 0.0775, 0.1125, 0.115, 0.1075, 0.1575, 0.275, 0.1775, 0.1175, 0.205, 0.1125, 0.08, 0.225, 0.115, 0.1175, 0.17, 0.1, 0.0725, 0.1175, 0.1125, 0.1075, 0.1825, 0.0725, 0.1225, 0.10275689223057644]"
3,"[0.09975062344139651, 0.1, 0.1825, 0.085, 0.1025, 0.16, 0.11, 0.0975, 0.1175, 0.0925, 0.0775, 0.08, 0.13, 0.16, 0.12, 0.1075, 0.275, 0.0725, 0.105, 0.1125, 0.1025, 0.1525, 0.2425, 0.0925, 0.21804511278195488]"
4,"[0.17206982543640897, 0.19, 0.1125, 0.1975, 0.0825, 0.2175, 0.2525, 0.13, 0.1125, 0.1125, 0.1125, 0.08, 0.12, 0.115, 0.085, 0.1575, 0.1, 0.0725, 0.1175, 0.1125, 0.1075, 0.08, 0.0725, 0.1225, 0.08270676691729323]"
5,"[0.13466334164588528, 0.11, 0.15, 0.085, 0.225, 0.245, 0.11, 0.0925, 0.2125, 0.0925, 0.275, 0.185, 0.1275, 0.155, 0.125, 0.0975, 0.3, 0.1225, 0.12, 0.13, 0.1025, 0.15, 0.2075, 0.21, 0.11278195488721804]"
6,"[0.08229426433915212, 0.32, 0.1125, 0.2375, 0.0825, 0.215, 0.14, 0.115, 0.1175, 0.2175, 0.1125, 0.08, 0.08, 0.115, 0.085, 0.175, 0.3225, 0.0725, 0.1175, 0.1125, 0.2275, 0.08, 0.3325, 0.1225, 0.17543859649122806]"
7,"[0.17206982543640897, 0.105, 0.12, 0.085, 0.23, 0.14, 0.11, 0.0925, 0.245, 0.0925, 0.1125, 0.185, 0.1525, 0.1625, 0.1475, 0.0975, 0.2925, 0.2975, 0.095, 0.3275, 0.2, 0.15, 0.205, 0.165, 0.11278195488721804]"
8,"[0.17206982543640897, 0.3225, 0.1125, 0.2875, 0.0825, 0.205, 0.13, 0.1075, 0.1675, 0.315, 0.1125, 0.09, 0.08, 0.12, 0.085, 0.22, 0.3125, 0.0775, 0.1225, 0.1125, 0.2325, 0.08, 0.3075, 0.1225, 0.23057644110275688]"
9,"[0.16708229426433915, 0.085, 0.1025, 0.085, 0.085, 0.3025, 0.11, 0.1075, 0.1775, 0.0925, 0.145, 0.2825, 0.2375, 0.1825, 0.12, 0.0975, 0.2425, 0.225, 0.0925, 0.305, 0.165, 0.1875, 0.185, 0.13, 0.11278195488721804]"
10,"[0.15211970074812967, 0.32, 0.1125, 0.2, 0.165, 0.1825, 0.2025, 0.095, 0.1575, 0.2725, 0.1125, 0.0925, 0.08, 0.18, 0.085, 0.2225, 0.3125, 0.0975, 0.1175, 0.115, 0.205, 0.0825, 0.2525, 0.1225, 0.24812030075187969]"
11,"[0.16458852867830423, 0.08, 0.205, 0.085, 0.095, 0.3025, 0.1725, 0.155, 0.1625, 0.0975, 0.1825, 0.1975, 0.2275, 0.195, 0.12, 0.0975, 0.1925, 0.2375, 0.0925, 0.22, 0.195, 0.185, 0.1825, 0.16, 0.11528822055137844]"
12,"[0.14962593516209477, 0.325, 0.1125, 0.2425, 0.0975, 0.125, 0.2025, 0.21, 0.16, 0.315, 0.1125, 0.0925, 0.08, 0.15, 0.085, 0.17, 0.2475, 0.09, 0.1175, 0.145, 0.2075, 0.1375, 0.205, 0.1225, 0.2832080200501253]"
13,"[0.16209476309226933, 0.0775, 0.205, 0.085, 0.17, 0.2525, 0.2, 0.1625, 0.1675, 0.1625, 0.1975, 0.2, 0.215, 0.2025, 0.12, 0.1, 0.165, 0.2275, 0.0925, 0.22, 0.255, 0.19, 0.155, 0.205, 0.3433583959899749]"
