none,[]
0,"[0.12437810945273632, 0.075, 0.095, 0.085, 0.08, 0.07, 0.08, 0.07, 0.1, 0.065, 0.095, 0.085, 0.135, 0.1, 0.135, 0.135, 0.1, 0.11, 0.1, 0.1, 0.135, 0.1, 0.095, 0.1, 0.095, 0.08, 0.085, 0.105, 0.09, 0.085, 0.085, 0.095, 0.11, 0.11, 0.145, 0.13, 0.08, 0.08, 0.105, 0.075, 0.155, 0.09, 0.16, 0.11, 0.065, 0.095, 0.09, 0.1, 0.165, 0.12562814070351758]"
1,"[0.07462686567164178, 0.07, 0.105, 0.06, 0.155, 0.14, 0.08, 0.135, 0.135, 0.12, 0.07, 0.12, 0.12, 0.11, 0.065, 0.08, 0.11, 0.15, 0.09, 0.09, 0.11, 0.14, 0.15, 0.1, 0.095, 0.08, 0.085, 0.085, 0.08, 0.07, 0.13, 0.11, 0.1, 0.1, 0.075, 0.07, 0.08, 0.115, 0.135, 0.085, 0.06, 0.215, 0.08, 0.13, 0.11, 0.11, 0.1, 0.085, 0.1, 0.10552763819095477]"
2,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.105, 0.12, 0.095, 0.07, 0.095, 0.065, 0.08, 0.095, 0.12, 0.11, 0.055, 0.09, 0.1, 0.135, 0.1, 0.13, 0.075, 0.09, 0.135, 0.1, 0.095, 0.095, 0.07, 0.115, 0.075, 0.07, 0.115, 0.11, 0.11, 0.11, 0.075, 0.115, 0.08, 0.105, 0.065, 0.07, 0.085, 0.135, 0.08, 0.13, 0.065, 0.11, 0.09, 0.1, 0.09, 0.15577889447236182]"
3,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.155, 0.14, 0.09, 0.065, 0.095, 0.12, 0.07, 0.12, 0.12, 0.1, 0.095, 0.09, 0.11, 0.135, 0.09, 0.07, 0.11, 0.09, 0.135, 0.1, 0.095, 0.095, 0.08, 0.085, 0.105, 0.07, 0.105, 0.1, 0.11, 0.1, 0.075, 0.115, 0.085, 0.105, 0.105, 0.085, 0.06, 0.12, 0.08, 0.08, 0.065, 0.085, 0.075, 0.135, 0.08, 0.12562814070351758]"
4,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.105, 0.14, 0.08, 0.07, 0.095, 0.06, 0.08, 0.12, 0.12, 0.11, 0.095, 0.09, 0.1, 0.075, 0.1, 0.07, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.12, 0.105, 0.07, 0.105, 0.145, 0.11, 0.125, 0.075, 0.115, 0.075, 0.105, 0.065, 0.07, 0.085, 0.135, 0.08, 0.13, 0.065, 0.085, 0.09, 0.095, 0.08, 0.10050251256281408]"
5,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.105, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.125, 0.11, 0.095, 0.09, 0.09, 0.135, 0.09, 0.07, 0.07, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.095, 0.07, 0.1, 0.075, 0.11, 0.08, 0.105, 0.105, 0.085, 0.06, 0.09, 0.08, 0.13, 0.09, 0.085, 0.055, 0.135, 0.08, 0.10050251256281408]"
6,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.105, 0.14, 0.1, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.11, 0.12, 0.09, 0.1, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.095, 0.095, 0.095, 0.07, 0.095, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.08, 0.105, 0.225, 0.085, 0.15, 0.135, 0.08, 0.13, 0.065, 0.085, 0.09, 0.135, 0.08, 0.10050251256281408]"
7,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.105, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.105, 0.1, 0.095, 0.09, 0.09, 0.135, 0.085, 0.07, 0.115, 0.09, 0.06, 0.1, 0.095, 0.095, 0.115, 0.085, 0.105, 0.07, 0.105, 0.1, 0.09, 0.125, 0.075, 0.115, 0.11, 0.105, 0.08, 0.085, 0.125, 0.09, 0.08, 0.065, 0.09, 0.085, 0.09, 0.135, 0.16, 0.10050251256281408]"
8,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.14, 0.12, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.11, 0.115, 0.09, 0.1, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.085, 0.095, 0.095, 0.07, 0.12, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.08, 0.105, 0.14, 0.085, 0.225, 0.135, 0.08, 0.13, 0.065, 0.085, 0.1, 0.135, 0.08, 0.10050251256281408]"
9,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.115, 0.14, 0.12, 0.16, 0.095, 0.12, 0.145, 0.12, 0.105, 0.1, 0.095, 0.09, 0.09, 0.135, 0.085, 0.07, 0.115, 0.09, 0.055, 0.065, 0.095, 0.095, 0.115, 0.085, 0.105, 0.07, 0.125, 0.13, 0.11, 0.125, 0.075, 0.115, 0.095, 0.105, 0.08, 0.085, 0.125, 0.135, 0.08, 0.065, 0.13, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
10,"[0.0845771144278607, 0.1, 0.095, 0.06, 0.085, 0.14, 0.12, 0.12, 0.095, 0.19, 0.145, 0.12, 0.12, 0.11, 0.14, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.065, 0.095, 0.095, 0.07, 0.115, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.12, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.1, 0.135, 0.08, 0.10050251256281408]"
11,"[0.0845771144278607, 0.075, 0.085, 0.06, 0.115, 0.14, 0.12, 0.135, 0.095, 0.12, 0.145, 0.12, 0.105, 0.1, 0.095, 0.09, 0.09, 0.135, 0.085, 0.07, 0.115, 0.115, 0.125, 0.1, 0.095, 0.095, 0.115, 0.085, 0.105, 0.07, 0.115, 0.13, 0.1, 0.125, 0.075, 0.115, 0.12, 0.105, 0.14, 0.085, 0.16, 0.135, 0.08, 0.065, 0.125, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
12,"[0.0845771144278607, 0.1, 0.095, 0.06, 0.085, 0.08, 0.12, 0.135, 0.095, 0.14, 0.145, 0.08, 0.12, 0.11, 0.145, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.06, 0.065, 0.095, 0.095, 0.07, 0.115, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.12, 0.14, 0.085, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.1, 0.135, 0.08, 0.10050251256281408]"
13,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.115, 0.14, 0.12, 0.07, 0.095, 0.12, 0.135, 0.12, 0.105, 0.1, 0.095, 0.09, 0.09, 0.135, 0.085, 0.07, 0.115, 0.1, 0.1, 0.1, 0.095, 0.095, 0.115, 0.085, 0.105, 0.07, 0.2, 0.13, 0.1, 0.105, 0.11, 0.115, 0.12, 0.105, 0.14, 0.13, 0.125, 0.135, 0.08, 0.065, 0.125, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
14,"[0.0845771144278607, 0.1, 0.095, 0.06, 0.085, 0.08, 0.12, 0.135, 0.095, 0.14, 0.145, 0.12, 0.12, 0.095, 0.145, 0.09, 0.09, 0.135, 0.1, 0.07, 0.075, 0.09, 0.065, 0.08, 0.095, 0.095, 0.07, 0.115, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.12, 0.14, 0.085, 0.125, 0.135, 0.08, 0.13, 0.065, 0.085, 0.1, 0.095, 0.08, 0.19095477386934673]"
15,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.115, 0.14, 0.12, 0.07, 0.095, 0.12, 0.19, 0.12, 0.105, 0.1, 0.095, 0.09, 0.09, 0.135, 0.085, 0.07, 0.11, 0.1, 0.1, 0.1, 0.13, 0.095, 0.115, 0.085, 0.105, 0.07, 0.2, 0.13, 0.155, 0.105, 0.11, 0.115, 0.12, 0.105, 0.14, 0.125, 0.125, 0.135, 0.08, 0.065, 0.125, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
16,"[0.0845771144278607, 0.1, 0.095, 0.06, 0.085, 0.15, 0.12, 0.135, 0.095, 0.14, 0.145, 0.12, 0.12, 0.095, 0.135, 0.09, 0.09, 0.135, 0.1, 0.125, 0.075, 0.095, 0.06, 0.065, 0.095, 0.095, 0.07, 0.09, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.21, 0.14, 0.085, 0.125, 0.135, 0.08, 0.13, 0.065, 0.085, 0.15, 0.135, 0.08, 0.18090452261306533]"
17,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.115, 0.14, 0.12, 0.07, 0.095, 0.215, 0.145, 0.12, 0.105, 0.1, 0.095, 0.145, 0.09, 0.135, 0.085, 0.07, 0.11, 0.1, 0.1, 0.1, 0.125, 0.095, 0.115, 0.085, 0.105, 0.1, 0.14, 0.13, 0.09, 0.105, 0.11, 0.115, 0.12, 0.105, 0.14, 0.13, 0.125, 0.135, 0.08, 0.065, 0.125, 0.085, 0.105, 0.135, 0.155, 0.11055276381909548]"
18,"[0.0845771144278607, 0.1, 0.095, 0.06, 0.085, 0.095, 0.215, 0.16, 0.095, 0.19, 0.145, 0.12, 0.12, 0.095, 0.2, 0.09, 0.09, 0.055, 0.1, 0.125, 0.075, 0.09, 0.06, 0.2, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.13, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.08, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.14, 0.195, 0.08, 0.10552763819095477]"
19,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.115, 0.14, 0.12, 0.07, 0.095, 0.12, 0.08, 0.12, 0.145, 0.1, 0.095, 0.09, 0.09, 0.135, 0.125, 0.07, 0.11, 0.12, 0.1, 0.1, 0.14, 0.095, 0.115, 0.085, 0.105, 0.1, 0.115, 0.13, 0.095, 0.105, 0.08, 0.115, 0.19, 0.105, 0.155, 0.085, 0.125, 0.135, 0.08, 0.185, 0.125, 0.085, 0.105, 0.135, 0.11, 0.11055276381909548]"
20,"[0.0845771144278607, 0.105, 0.095, 0.06, 0.085, 0.095, 0.185, 0.125, 0.095, 0.12, 0.145, 0.12, 0.12, 0.095, 0.2, 0.09, 0.19, 0.055, 0.1, 0.125, 0.075, 0.09, 0.06, 0.195, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.1, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.09, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.095, 0.085, 0.08, 0.11055276381909548]"
21,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.235, 0.14, 0.12, 0.07, 0.095, 0.12, 0.08, 0.12, 0.095, 0.1, 0.095, 0.08, 0.09, 0.135, 0.1, 0.07, 0.11, 0.09, 0.1, 0.1, 0.125, 0.095, 0.12, 0.085, 0.105, 0.1, 0.115, 0.13, 0.115, 0.105, 0.075, 0.105, 0.08, 0.105, 0.225, 0.085, 0.125, 0.135, 0.08, 0.125, 0.125, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
22,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.095, 0.2, 0.195, 0.095, 0.12, 0.145, 0.12, 0.12, 0.095, 0.105, 0.09, 0.11, 0.055, 0.1, 0.15, 0.075, 0.09, 0.06, 0.1, 0.095, 0.095, 0.07, 0.085, 0.105, 0.07, 0.105, 0.1, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.07, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.1, 0.085, 0.08, 0.11055276381909548]"
23,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.155, 0.14, 0.12, 0.07, 0.095, 0.205, 0.08, 0.12, 0.095, 0.1, 0.095, 0.105, 0.09, 0.135, 0.1, 0.07, 0.11, 0.09, 0.1, 0.1, 0.125, 0.095, 0.125, 0.085, 0.105, 0.1, 0.215, 0.13, 0.115, 0.105, 0.075, 0.105, 0.08, 0.105, 0.24, 0.085, 0.06, 0.135, 0.08, 0.125, 0.125, 0.085, 0.105, 0.135, 0.08, 0.11055276381909548]"
24,"[0.0845771144278607, 0.075, 0.095, 0.06, 0.085, 0.095, 0.2, 0.07, 0.095, 0.12, 0.145, 0.12, 0.12, 0.095, 0.105, 0.09, 0.11, 0.055, 0.1, 0.125, 0.075, 0.09, 0.06, 0.1, 0.095, 0.1, 0.07, 0.085, 0.105, 0.07, 0.105, 0.095, 0.11, 0.125, 0.075, 0.07, 0.12, 0.105, 0.14, 0.07, 0.155, 0.135, 0.08, 0.13, 0.065, 0.085, 0.09, 0.21, 0.08, 0.11055276381909548]"
